,Unnamed: 0,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Images
670,670,528.0,Chris Youngblood,23.0,POR,SG,2.0,0.0,5.5,1.0,1.5,0.667,1.0,1.5,0.667,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,3.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642959.png
671,671,529.0,Dalano Banton,26.0,2TM,PG,6.0,0.0,10.3,0.7,2.0,0.333,0.0,0.2,0.0,0.7,1.8,0.364,0.333,0.7,0.7,1.0,0.3,0.5,0.8,1.8,0.3,0.8,1.3,0.5,2.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630625.png
672,672,529.0,Dalano Banton,26.0,LAC,PG,2.0,0.0,5.0,1.5,2.0,0.75,0.0,0.0,,1.5,2.0,0.75,0.75,0.0,0.0,,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,3.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630625.png
673,673,529.0,Dalano Banton,26.0,BOS,PG,4.0,0.0,13.0,0.3,2.0,0.125,0.0,0.3,0.0,0.3,1.8,0.143,0.125,1.0,1.0,1.0,0.3,0.8,1.0,2.3,0.3,1.3,1.8,0.8,1.5,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630625.png
674,674,530.0,Isaiah Crawford,24.0,HOU,SF,14.0,0.0,6.6,0.7,1.7,0.417,0.2,0.9,0.231,0.5,0.8,0.636,0.479,0.4,0.4,0.833,0.2,0.9,1.1,0.4,0.1,0.2,0.3,0.3,2.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642384.png
675,675,531.0,Trentyn Flowers,20.0,CHI,SF,2.0,0.0,3.0,1.0,1.5,0.667,0.0,0.5,0.0,1.0,1.0,1.0,0.667,0.0,0.0,,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,2.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642280.png
676,676,532.0,Colby Jones,23.0,DET,SG,1.0,0.0,7.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641732.png
677,677,533.0,Johnny Juzang,24.0,MIN,SG,21.0,0.0,4.2,0.8,1.8,0.421,0.3,1.1,0.25,0.5,0.7,0.714,0.5,0.2,0.4,0.625,0.2,0.6,0.8,0.3,0.1,0.0,0.2,0.1,2.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630548.png
678,678,534.0,Jayson Kent,23.0,POR,SF,5.0,0.0,4.4,0.8,1.4,0.571,0.2,0.8,0.25,0.6,0.6,1.0,0.643,0.2,0.2,1.0,0.0,1.0,1.0,0.0,0.2,0.2,0.0,0.2,2.0,,
679,679,535.0,Maxi Kleber,34.0,LAL,PF,43.0,1.0,10.7,0.8,1.7,0.452,0.1,0.6,0.231,0.6,1.1,0.574,0.493,0.3,0.6,0.538,0.8,1.1,2.0,0.6,0.4,0.3,0.4,1.4,2.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628467.png
680,680,536.0,Jordan McLaughlin,29.0,SAS,PG,44.0,0.0,6.4,0.8,1.8,0.418,0.4,0.9,0.425,0.4,0.9,0.41,0.525,0.1,0.2,0.857,0.2,0.6,0.7,0.9,0.5,0.0,0.3,0.3,2.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1629162.png
681,681,537.0,Alex Morales,28.0,ORL,PG,4.0,0.0,6.0,0.8,1.8,0.429,0.0,0.3,0.0,0.8,1.5,0.5,0.429,0.5,0.5,1.0,0.3,0.5,0.8,1.0,0.0,0.0,1.0,1.8,2.0,,
682,682,538.0,Sean Pedulla,23.0,LAC,PG,7.0,0.0,4.4,0.7,2.1,0.333,0.4,1.4,0.3,0.3,0.7,0.4,0.433,0.0,0.0,,0.0,0.4,0.4,0.7,0.0,0.0,0.1,0.6,1.9,,
683,683,539.0,Adou Thiero,21.0,LAL,SF,25.0,0.0,6.0,0.6,1.2,0.516,0.0,0.1,0.333,0.6,1.1,0.536,0.532,0.6,0.9,0.636,0.4,0.8,1.1,0.4,0.3,0.1,0.4,0.8,1.9,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642876.png
684,684,540.0,Bobi Klintman,22.0,DET,SF,12.0,0.0,5.9,0.8,2.3,0.333,0.3,1.1,0.308,0.4,1.2,0.357,0.407,0.0,0.3,0.0,0.4,1.2,1.6,0.5,0.3,0.0,0.5,0.9,1.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641752.png
685,685,541.0,Isaiah Livers,27.0,PHO,PF,36.0,0.0,9.6,0.6,1.8,0.344,0.3,1.1,0.3,0.3,0.7,0.417,0.438,0.3,0.3,0.75,0.5,1.2,1.7,0.6,0.4,0.2,0.3,0.8,1.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630587.png
686,686,542.0,Cody Martin,30.0,IND,SF,4.0,0.0,13.8,0.5,2.5,0.2,0.0,1.3,0.0,0.5,1.3,0.4,0.2,0.8,1.5,0.5,0.3,3.3,3.5,0.5,1.0,0.5,1.0,1.3,1.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628998.png
687,687,543.0,Orlando Robinson,25.0,ORL,C,4.0,1.0,6.3,0.8,1.3,0.6,0.3,0.5,0.5,0.5,0.8,0.667,0.7,0.0,0.0,,0.5,0.5,1.0,0.8,0.3,0.0,0.0,0.8,1.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631115.png
688,688,544.0,Jahmir Young,25.0,MIA,PG,14.0,0.0,4.1,0.7,1.8,0.4,0.2,0.6,0.333,0.5,1.1,0.438,0.46,0.1,0.1,1.0,0.1,0.1,0.3,0.6,0.1,0.0,0.2,0.5,1.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642443.png
689,689,545.0,Brooks Barnhizer,23.0,OKC,SG,40.0,0.0,8.7,0.7,1.8,0.38,0.2,0.6,0.292,0.5,1.2,0.426,0.43,0.2,0.3,0.7,0.5,1.5,2.0,0.6,0.3,0.1,0.3,0.7,1.7,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642964.png
690,690,546.0,Pacôme Dadiet,20.0,NYK,SG,29.0,0.0,4.7,0.6,1.7,0.333,0.2,1.1,0.219,0.3,0.6,0.563,0.406,0.3,0.4,0.818,0.1,0.8,0.9,0.4,0.1,0.0,0.1,0.3,1.7,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642359.png
691,691,547.0,Wendell Moore Jr.,24.0,DET,SG,6.0,0.0,10.0,0.7,1.2,0.571,0.0,0.2,0.0,0.7,1.0,0.667,0.571,0.3,0.3,1.0,0.2,0.8,1.0,0.7,0.3,0.3,0.2,0.5,1.7,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631111.png
692,692,548.0,Mason Plumlee,35.0,2TM,C,20.0,3.0,8.6,0.6,0.7,0.786,0.0,0.0,,0.6,0.7,0.786,0.786,0.5,0.7,0.643,0.9,1.8,2.7,1.0,0.5,0.0,0.6,0.9,1.6,,https://cdn.nba.com/headshots/nba/latest/1040x760/203486.png
693,693,548.0,Mason Plumlee,35.0,CHO,C,14.0,2.0,8.9,0.6,0.9,0.75,0.0,0.0,,0.6,0.9,0.75,0.75,0.6,0.9,0.667,0.7,2.1,2.9,1.1,0.4,0.0,0.6,0.7,1.9,,https://cdn.nba.com/headshots/nba/latest/1040x760/203486.png
694,694,548.0,Mason Plumlee,35.0,SAS,C,6.0,1.0,7.8,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.2,0.3,0.5,1.2,1.0,2.2,0.7,0.7,0.0,0.5,1.2,0.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/203486.png
695,695,549.0,Harrison Ingram,23.0,SAS,SF,7.0,0.0,3.7,0.7,0.9,0.833,0.1,0.1,1.0,0.6,0.7,0.8,0.917,0.0,0.0,,0.4,0.0,0.4,0.1,0.0,0.0,0.1,0.3,1.6,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631127.png
696,696,550.0,Jacob Toppin,25.0,ATL,SF,5.0,0.0,3.4,0.8,1.2,0.667,0.0,0.0,,0.8,1.2,0.667,0.667,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,1.6,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631210.png
697,697,551.0,Xavier Tillman Sr.,27.0,2TM,C,30.0,1.0,6.1,0.7,1.5,0.435,0.1,0.6,0.167,0.6,0.9,0.607,0.467,0.0,0.1,0.25,0.6,0.8,1.4,0.4,0.3,0.2,0.3,0.5,1.5,,
698,698,551.0,Xavier Tillman Sr.,27.0,BOS,C,14.0,1.0,7.9,1.0,2.2,0.452,0.2,1.1,0.2,0.8,1.1,0.688,0.5,0.0,0.0,,0.7,1.1,1.8,0.4,0.4,0.1,0.4,0.6,2.2,,
699,699,551.0,Xavier Tillman Sr.,27.0,CHO,C,16.0,0.0,4.5,0.4,0.9,0.4,0.0,0.2,0.0,0.4,0.8,0.5,0.4,0.1,0.3,0.25,0.6,0.6,1.1,0.5,0.2,0.2,0.2,0.4,0.8,,
