,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
0,1,Precious Achiuwa,PF,21,MIA,3,0,12,12.1,16.2,.750,0.0,0.0,,12.1,16.2,.750,4.0,16.2,.250,0.0,24.3,24.3,0.0,0.0,8.1,16.2,4.0,28.3,,56,99
1,2,Bam Adebayo,C,23,MIA,4,4,136,9.3,20.3,.456,0.0,0.0,,9.3,20.3,.456,3.6,4.6,.769,5.0,8.2,13.2,6.1,1.8,0.7,3.9,3.9,22.1,,100,115
2,3,Ty-Shon Alexander,SG,22,PHO,1,0,1,50.5,50.5,1.000,0.0,0.0,,50.5,50.5,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,,200,119
3,4,Grayson Allen,SG,25,MEM,5,0,116,5.0,13.7,.364,3.3,8.7,.381,1.7,5.0,.333,0.0,0.4,.000,1.2,4.2,5.4,0.4,0.8,0.4,0.4,5.4,13.3,,102,128
4,5,Kyle Anderson,PF,27,MEM,5,5,142,6.1,14.3,.429,1.0,4.1,.250,5.1,10.2,.500,1.0,1.4,.750,1.4,7.1,8.5,5.4,4.8,0.0,1.4,3.1,14.3,,108,117
5,6,Giannis Antetokounmpo,PF,26,MIL,21,21,800,15.5,27.2,.569,0.8,4.3,.186,14.7,22.9,.642,7.5,12.8,.587,3.7,13.0,16.7,6.7,1.3,1.5,4.0,3.8,39.3,,119,105
6,7,Thanasis Antetokounmpo,SF,28,MIL,13,0,45,2.2,7.7,.286,0.0,0.0,,2.2,7.7,.286,5.5,6.6,.833,3.3,7.7,11.0,3.3,5.5,2.2,3.3,13.2,9.9,,97,97
7,8,Carmelo Anthony*,PF,36,POR,6,0,143,8.8,21.2,.417,4.9,13.1,.378,3.9,8.1,.478,3.5,3.9,.909,0.7,6.0,6.7,3.2,0.7,0.4,2.5,5.3,26.1,,111,125
8,9,Trevor Ariza,SF,35,MIA,4,4,96,3.5,11.6,.304,2.5,8.6,.294,1.0,3.0,.333,0.0,0.0,,1.0,10.6,11.6,1.0,1.5,0.5,1.5,5.6,9.6,,78,114
9,10,Deandre Ayton,C,22,PHO,22,22,801,9.7,14.8,.658,0.0,0.0,,9.7,14.8,.658,2.5,3.3,.736,4.2,12.2,16.4,1.6,1.1,1.5,1.8,4.0,21.9,,131,107
