,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
0,1,Jordan Adams,SG,20,MEM,4,0,10,10.4,15.7,.667,5.2,5.2,1.000,5.2,10.4,.500,10.4,20.9,.500,0.0,5.2,5.2,0.0,5.2,0.0,0.0,0.0,36.5,,142,100
1,2,Arron Afflalo,SG,29,POR,3,3,60,1.7,10.4,.167,0.9,3.5,.250,0.9,7.0,.125,0.0,0.9,.000,0.0,6.1,6.1,1.7,0.0,0.0,2.6,5.2,4.3,,41,113
2,3,Alexis Ajinça,C,26,NOP,3,0,10,20.9,20.9,1.000,0.0,0.0,,20.9,20.9,1.000,0.0,0.0,,0.0,5.2,5.2,5.2,5.2,0.0,0.0,10.4,41.8,,202,109
3,4,LaMarcus Aldridge,PF,29,POR,5,5,208,9.3,28.1,.330,0.8,2.8,.273,8.5,25.3,.337,8.0,9.0,.889,5.3,8.8,14.0,2.3,0.5,3.0,2.0,4.0,27.3,,96,107
4,5,Tony Allen,SG,33,MEM,10,9,279,5.2,10.7,.491,0.2,1.3,.143,5.1,9.4,.540,1.7,2.2,.750,2.6,7.1,9.7,2.8,4.5,2.1,2.4,5.1,12.3,,101,97
5,6,Al-Farouq Aminu,SF,24,DAL,5,2,150,5.3,9.7,.548,2.2,3.5,.636,3.1,6.3,.500,4.7,6.0,.789,4.4,6.9,11.3,1.9,3.1,2.5,1.9,4.7,17.6,,138,106
6,7,Alan Anderson,SG,32,BRK,6,0,142,9.0,14.7,.610,3.6,5.8,.625,5.4,9.0,.600,2.2,3.2,.667,0.7,6.8,7.6,2.5,1.4,0.4,2.9,3.2,23.7,,121,108
7,8,Ryan Anderson,PF,26,NOP,4,0,95,8.8,19.8,.444,2.7,6.6,.417,6.0,13.2,.458,3.3,3.3,1.000,3.8,5.5,9.3,4.9,0.0,1.1,2.2,6.6,23.6,,116,120
8,9,Giannis Antetokounmpo,SG,20,MIL,6,6,201,6.7,18.2,.366,0.0,0.3,.000,6.7,17.9,.371,4.4,5.9,.739,3.1,7.7,10.8,4.1,0.8,2.3,2.8,4.6,17.7,,89,106
9,10,Pero Antić,C,32,ATL,15,1,199,4.1,12.9,.320,2.8,8.3,.344,1.3,4.6,.278,5.2,6.4,.800,2.3,8.8,11.1,1.0,0.5,0.8,1.3,9.8,16.2,,107,105
10,11,Trevor Ariza,SF,29,HOU,17,17,655,5.4,12.7,.426,2.6,6.9,.375,2.8,5.8,.488,2.7,3.0,.905,1.3,6.6,7.9,3.2,2.2,0.1,1.7,3.7,16.2,,115,109
11,12,Ömer Aşık,C,28,NOP,4,4,79,1.3,6.6,.200,0.0,0.0,,1.3,6.6,.200,2.6,4.6,.571,7.9,11.2,19.2,4.0,3.3,0.0,3.3,6.6,5.3,,90,109
12,13,Jeff Ayres,PF,27,SAS,3,0,12,0.0,4.2,.000,0.0,0.0,,0.0,4.2,.000,0.0,0.0,,0.0,12.7,12.7,8.5,0.0,0.0,0.0,0.0,0.0,,87,109
13,14,Leandro Barbosa,SG,32,GSW,21,0,229,8.7,19.7,.443,1.8,5.1,.348,6.9,14.5,.477,4.0,4.9,.818,1.8,4.3,6.0,4.0,1.3,0.2,2.7,5.4,23.3,,106,104
14,15,J.J. Barea,PG,30,DAL,5,2,154,7.6,17.4,.439,1.2,4.9,.250,6.4,12.5,.512,1.5,1.8,.833,1.5,5.8,7.3,11.3,1.2,0.0,4.3,5.2,18.0,,103,114
15,16,Harrison Barnes,SF,22,GSW,21,21,681,6.6,15.1,.440,1.7,4.7,.355,5.0,10.4,.478,1.9,2.6,.735,3.4,4.9,8.3,2.4,1.3,0.8,1.7,3.4,16.8,,109,104
