,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
0,1,Precious Achiuwa,C,25,NYK,8,0,34,8.9,20.7,.429,0.0,1.5,.000,8.9,19.2,.462,3.0,5.9,.500,4.4,8.9,13.3,0.0,1.5,0.0,1.5,3.0,20.7,,97,114
1,2,Steven Adams,C,31,HOU,7,0,155,4.0,6.7,.600,0.0,0.0,,4.0,6.7,.600,5.3,10.0,.533,7.7,7.7,15.4,1.3,1.0,2.7,1.7,2.3,13.4,,130,112
2,3,Bam Adebayo,C,27,MIA,4,4,153,9.6,21.9,.438,2.4,7.2,.333,7.2,14.7,.488,2.4,3.8,.636,5.5,9.6,15.1,5.8,1.4,0.3,4.1,3.1,24.0,,105,135
3,4,Santi Aldama,PF,24,MEM,4,1,122,8.2,17.1,.477,3.9,9.3,.417,4.3,7.8,.550,0.0,0.0,,0.8,8.6,9.3,2.7,0.0,0.4,1.9,2.7,20.2,,110,121
4,5,Nickeil Alexander-Walker,SG,26,MIN,15,0,310,7.2,18.4,.389,3.6,10.3,.349,3.6,8.1,.440,2.4,2.8,.882,1.3,3.1,4.4,5.7,1.0,0.8,3.7,3.9,20.3,,103,116
5,6,Jarrett Allen,C,26,CLE,9,9,261,8.4,11.6,.721,0.0,0.0,,8.4,11.6,.721,6.3,6.7,.943,4.0,10.5,14.4,2.3,2.5,1.5,3.2,2.9,23.0,,140,107
6,7,Kyle Anderson,SF,31,MIA,2,0,14,0.0,7.5,.000,0.0,0.0,,0.0,7.5,.000,0.0,0.0,,0.0,3.7,3.7,3.7,0.0,0.0,3.7,3.7,0.0,,21,142
7,8,Giannis Antetokounmpo,PF,30,MIL,5,5,188,15.9,26.3,.606,0.3,1.3,.200,15.7,24.9,.628,11.7,16.7,.698,5.0,15.4,20.4,8.8,1.3,1.3,6.1,3.2,43.8,,124,116
8,9,Cole Anthony,PG,24,ORL,5,0,51,4.1,14.5,.286,0.0,6.2,.000,4.1,8.3,.500,3.1,4.1,.750,3.1,4.1,7.2,6.2,0.0,1.0,9.3,12.4,11.4,,62,121
9,10,OG Anunoby,PF,27,NYK,18,18,705,7.3,17.6,.417,2.9,8.6,.339,4.4,9.0,.492,3.3,4.1,.810,1.7,4.2,5.9,1.7,2.6,1.6,2.1,3.5,20.9,,109,112
10,11,Marvin Bagley III,PF,25,MEM,2,0,28,13.6,15.3,.889,1.7,1.7,1.000,11.9,13.6,.875,0.0,0.0,,3.4,6.8,10.2,0.0,3.4,1.7,5.1,5.1,28.8,,121,114
11,12,Paolo Banchero,PF,22,ORL,5,5,197,14.5,33.2,.435,3.2,7.2,.444,11.3,26.0,.433,7.2,11.0,.659,3.2,8.0,11.3,5.6,0.8,1.1,4.0,4.8,39.4,,105,117
12,13,Desmond Bane,SG,26,MEM,4,4,139,6.8,21.5,.317,2.4,10.9,.219,4.4,10.6,.419,4.8,5.1,.933,1.7,7.5,9.2,4.4,1.0,0.7,5.1,3.1,20.8,,85,120
13,14,Nicolas Batum,PF,36,LAC,7,0,172,3.9,10.0,.394,3.9,10.0,.394,0.0,0.0,,0.0,0.0,,1.2,7.0,8.2,4.2,1.8,3.6,0.9,3.9,11.8,,125,112
14,15,Malik Beasley,SG,28,DET,6,0,163,8.5,22.7,.373,6.1,17.9,.339,2.4,4.8,.500,2.4,2.4,1.000,0.3,4.2,4.5,2.1,0.9,0.3,2.1,3.0,25.4,,107,115
