,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
0,1,Steven Adams,C,20,OKC,18,0,331,4.9,7.1,.689,0.0,0.0,,4.9,7.1,.689,1.3,3.6,.348,3.5,8.2,11.6,0.6,0.2,3.8,1.6,7.5,11.0,,118,108
1,2,LaMarcus Aldridge,PF,28,POR,11,11,441,13.0,28.8,.452,0.2,0.3,.667,12.8,28.4,.449,6.9,8.6,.800,3.5,10.0,13.5,1.8,0.8,2.1,2.2,4.6,33.1,,108,111
2,3,Lavoy Allen,PF,24,IND,4,0,15,7.2,14.5,.500,0.0,0.0,,7.2,14.5,.500,0.0,0.0,,3.6,14.5,18.1,3.6,0.0,0.0,0.0,3.6,14.5,,119,105
3,4,Ray Allen*,SG,38,MIA,20,1,527,6.2,15.1,.413,3.5,9.0,.388,2.7,6.1,.448,3.6,3.9,.919,1.4,5.7,7.1,3.4,1.5,0.4,2.5,4.3,19.5,,110,112
4,5,Tony Allen,SG,32,MEM,7,1,230,8.2,16.9,.486,0.0,1.6,.000,8.2,15.3,.538,3.8,4.9,.762,5.4,7.3,12.7,2.3,2.8,0.2,2.8,5.4,20.2,,106,106
5,6,Chris Andersen,C,35,MIA,18,0,317,5.8,10.0,.579,0.0,0.2,.000,5.8,9.8,.589,4.6,6.7,.684,4.6,14.2,18.8,0.9,0.9,3.2,1.6,6.0,16.2,,127,105
6,7,Alan Anderson,SF,31,BRK,12,2,261,5.3,13.2,.403,1.9,6.6,.290,3.4,6.6,.516,2.6,3.8,.667,2.1,4.7,6.8,3.2,2.1,0.0,2.1,6.8,15.1,,104,113
7,8,Pero Antić,C,31,ATL,7,7,170,2.2,13.1,.167,0.9,7.8,.120,1.2,5.3,.235,1.6,2.5,.625,3.1,5.3,8.4,1.6,1.6,0.9,2.5,8.1,6.8,,59,104
8,9,Trevor Ariza,SF,28,WAS,11,11,407,7.0,14.5,.481,3.4,7.5,.446,3.6,7.0,.519,2.8,3.6,.778,2.8,10.3,13.2,2.6,2.3,0.5,1.9,3.5,20.2,,123,99
9,10,Hilton Armstrong,C,29,GSW,7,0,17,11.7,23.4,.500,0.0,2.9,.000,11.7,20.5,.571,0.0,5.8,.000,8.8,2.9,11.7,5.8,0.0,5.8,11.7,17.5,23.4,,76,114
10,11,Ömer Aşık,C,27,HOU,6,4,163,5.1,10.5,.485,0.0,0.0,,5.1,10.5,.485,1.0,1.0,1.000,6.7,8.9,15.6,1.3,1.0,1.3,3.5,9.2,11.1,,101,113
11,12,D.J. Augustin,PG,26,CHI,5,0,141,8.4,28.6,.292,2.8,10.3,.269,5.6,18.3,.304,6.8,7.6,.895,1.6,1.6,3.2,9.5,1.2,0.0,3.6,6.4,26.3,,94,113
12,13,Jeff Ayres,PF,26,SAS,17,0,65,4.8,10.4,.462,0.0,0.0,,4.8,10.4,.462,4.0,6.4,.625,4.8,10.4,15.1,4.0,0.0,0.0,0.8,4.8,13.5,,125,107
13,14,Harrison Barnes,SF,21,GSW,7,0,156,6.1,15.3,.396,2.5,6.7,.381,3.5,8.6,.407,2.9,5.1,.563,2.2,6.7,8.9,2.5,0.3,1.0,1.6,4.1,17.5,,107,117
14,15,Matt Barnes,SF,33,LAC,13,13,404,5.6,13.2,.421,2.4,7.4,.317,3.2,5.8,.553,1.6,2.4,.684,2.7,4.5,7.2,2.8,1.5,0.4,2.1,5.1,15.1,,107,114
15,16,Will Barton,SG,23,POR,7,0,81,10.6,21.3,.500,3.8,6.9,.545,6.9,14.4,.478,3.1,3.8,.833,3.1,4.4,7.5,1.9,0.6,1.3,3.8,4.4,28.2,,113,117
16,17,Shane Battier,SF,35,MIA,16,6,202,3.3,7.2,.462,2.5,5.5,.450,0.8,1.7,.500,1.1,1.4,.800,0.3,2.5,2.8,1.4,1.4,0.3,1.4,6.3,10.2,,114,115
17,18,Nicolas Batum,SF,25,POR,11,11,459,7.4,15.7,.472,2.3,6.6,.350,5.1,9.1,.561,1.3,1.7,.800,1.1,8.2,9.3,5.9,1.5,0.6,3.1,2.3,18.5,,109,113
18,19,Aron Baynes,C,27,SAS,14,0,101,6.2,12.3,.500,0.0,0.5,.000,6.2,11.8,.522,4.1,5.1,.800,6.2,9.7,15.9,0.0,1.5,0.0,3.6,7.7,16.4,,106,104
19,20,Bradley Beal,SG,20,WAS,11,11,458,9.0,21.1,.424,2.6,6.3,.415,6.3,14.8,.427,4.7,5.9,.796,1.8,4.8,6.6,6.0,2.1,0.8,2.7,3.7,25.2,,110,102
20,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
21,21,Michael Beasley,SF,25,MIA,4,0,23,12.1,24.2,.500,0.0,0.0,,12.1,24.2,.500,2.4,7.3,.333,4.8,4.8,9.7,4.8,0.0,0.0,2.4,7.3,26.6,,103,116
22,22,Marco Belinelli,SF,27,SAS,23,0,356,6.4,14.4,.444,2.3,5.5,.421,4.1,8.9,.459,3.1,3.2,.955,0.6,7.0,7.6,2.8,0.4,0.0,1.7,3.3,18.2,,113,108
23,23,Patrick Beverley,PG,25,HOU,6,6,202,4.9,12.8,.380,1.8,5.6,.318,3.1,7.2,.429,1.8,2.6,.700,3.3,3.1,6.4,2.8,0.8,0.5,1.0,5.4,13.3,,116,119
24,24,Bismack Biyombo,C,21,CHA,3,1,48,3.3,5.5,.600,0.0,0.0,,3.3,5.5,.600,2.2,6.6,.333,5.5,6.6,12.1,1.1,0.0,2.2,0.0,4.4,8.8,,130,113
25,25,DeJuan Blair,PF,24,DAL,6,0,81,10.3,17.4,.593,0.0,0.0,,10.3,17.4,.593,5.2,8.4,.615,9.0,14.8,23.8,0.6,7.7,0.0,3.2,9.0,25.8,,120,95
26,26,Steve Blake,PG,33,GSW,6,0,45,4.4,13.3,.333,3.3,11.0,.300,1.1,2.2,.500,0.0,1.1,.000,1.1,3.3,4.4,2.2,0.0,0.0,2.2,2.2,12.1,,88,121
27,27,Andray Blatche,PF,27,BRK,12,0,172,8.4,18.7,.448,0.0,0.6,.000,8.4,18.1,.464,8.1,9.7,.833,8.1,11.3,19.4,1.3,1.9,0.6,3.2,7.1,24.9,,113,109
28,28,Matt Bonner,PF,33,SAS,22,2,136,3.8,8.0,.476,1.5,4.6,.333,2.3,3.4,.667,1.1,1.5,.750,0.8,4.6,5.3,4.2,0.8,0.4,0.8,4.6,10.3,,128,108
29,29,Trevor Booker,PF,26,WAS,9,1,146,4.9,10.9,.448,0.0,0.7,.000,4.9,10.1,.481,1.5,2.2,.667,6.0,8.6,14.6,3.0,0.7,3.4,1.1,9.4,11.2,,114,99
30,30,Carlos Boozer,PF,32,CHI,5,5,121,9.3,21.8,.426,0.0,0.0,,9.3,21.8,.426,3.7,4.2,.889,3.7,14.4,18.1,2.3,0.5,0.0,3.2,6.0,22.3,,95,106
31,31,Chris Bosh*,C,29,MIA,20,20,686,9.4,18.6,.507,2.4,6.0,.405,7.0,12.6,.555,2.9,3.9,.750,1.9,7.1,9.1,1.7,1.4,1.6,1.1,4.1,24.2,,119,110
32,32,Elton Brand,C,34,ATL,7,0,81,1.3,7.8,.167,0.0,0.0,,1.3,7.8,.167,2.6,3.3,.800,4.6,10.5,15.0,3.9,0.7,3.9,0.0,6.5,5.2,,101,99
33,33,Reggie Bullock,SF,22,LAC,2,0,5,10.0,10.0,1.000,0.0,0.0,,10.0,10.0,1.000,0.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,,206,121
34,34,Caron Butler,SF,33,OKC,18,2,419,4.3,13.4,.324,2.6,7.3,.356,1.7,6.1,.286,2.7,3.5,.786,1.4,5.8,7.2,1.9,0.6,0.2,1.4,4.1,14.0,,101,113
35,35,Jimmy Butler,SG,24,CHI,5,5,218,5.7,14.7,.386,1.5,5.1,.300,4.1,9.5,.432,4.6,5.9,.783,1.5,5.1,6.7,2.8,1.5,0.0,0.8,3.3,17.5,,113,110
