,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Bradley Beal,25,WAS,SG,82,82,3028,11.9,25.2,.475,3.3,9.3,.351,8.7,15.8,.548,.540,5.7,7.0,.808,1.4,5.0,6.4,7.0,1.9,0.9,3.5,3.5,32.8,113,114,AS
1,2,James Harden,29,HOU,PG,78,78,2867,14.4,32.7,.442,6.5,17.6,.368,8.0,15.1,.528,.541,12.9,14.7,.879,1.1,7.7,8.9,10.0,2.7,1.0,6.6,4.2,48.2,118,108,"MVP-2,AS,NBA1"
2,3,Kemba Walker,28,CHO,PG,82,82,2863,12.4,28.6,.434,4.4,12.4,.356,8.0,16.2,.494,.511,6.5,7.6,.844,0.9,5.2,6.1,8.2,1.7,0.6,3.6,2.2,35.7,112,114,"AS,NBA3"
3,4,Tobias Harris,26,2TM,PF,82,82,2847,10.1,20.8,.487,2.6,6.5,.397,7.5,14.3,.528,.549,4.4,5.1,.866,1.1,9.6,10.7,3.8,0.8,0.6,2.5,3.1,27.3,114,111,
4,4,Tobias Harris,26,LAC,PF,55,55,1903,10.5,21.2,.496,2.8,6.4,.434,7.7,14.8,.523,.561,4.8,5.4,.877,0.9,9.8,10.7,3.7,1.0,0.6,2.7,3.1,28.6,115,111,
5,4,Tobias Harris,26,PHI,PF,27,27,944,9.4,20.0,.469,2.2,6.8,.326,7.2,13.2,.542,.524,3.7,4.4,.841,1.6,9.1,10.7,4.0,0.6,0.7,2.1,3.1,24.6,112,112,
6,5,Paul George,28,OKC,SF,77,77,2841,11.6,26.5,.438,4.8,12.4,.386,6.8,14.1,.484,.529,7.4,8.9,.839,1.7,8.6,10.3,5.2,2.8,0.6,3.4,3.5,35.5,116,105,"MVP-3,DPOY-3,AS,NBA1,DEF1"
7,6,Damian Lillard,28,POR,PG,80,80,2838,11.6,26.2,.444,4.0,11.0,.369,7.6,15.2,.499,.522,8.0,8.8,.912,1.2,5.2,6.3,9.4,1.5,0.6,3.6,2.5,35.3,121,112,"MVP-6,AS,NBA2"
8,7,P.J. Tucker,33,HOU,PF,82,82,2802,3.6,9.2,.396,2.6,6.8,.377,1.1,2.4,.449,.535,0.7,1.0,.695,2.1,6.3,8.4,1.7,2.3,0.7,1.1,4.4,10.5,114,110,
9,8,Kevin Durant,30,GSW,SF,78,78,2702,12.7,24.4,.521,2.4,6.8,.353,10.3,17.5,.587,.571,7.9,8.9,.885,0.6,8.2,8.8,8.0,1.0,1.5,4.0,2.7,35.7,121,110,"MVP-8,AS,NBA2"
10,9,Ben Simmons,22,PHI,PG,79,79,2700,9.4,16.8,.563,0.0,0.1,.000,9.4,16.7,.566,.563,4.5,7.5,.600,3.0,9.2,12.2,10.7,2.0,1.1,4.8,3.7,23.4,114,108,AS
11,10,DeMar DeRozan,29,SAS,SG,77,77,2688,11.5,23.9,.481,0.1,0.8,.156,11.3,23.0,.492,.483,6.6,8.0,.830,1.0,7.4,8.4,8.6,1.6,0.7,3.6,3.2,29.7,110,111,
12,11,LaMarcus Aldridge,33,SAS,C,81,81,2687,12.4,24.0,.519,0.2,0.8,.238,12.3,23.2,.528,.522,6.3,7.5,.847,4.6,9.0,13.5,3.5,0.8,1.9,2.6,3.3,31.4,117,110,AS
13,12,Steven Adams,25,OKC,C,80,80,2669,8.4,14.1,.595,0.0,0.0,.000,8.4,14.1,.596,.595,2.6,5.1,.500,6.8,6.5,13.3,2.2,2.0,1.3,2.4,3.6,19.4,120,106,
14,13,Klay Thompson,28,GSW,SG,78,78,2652,11.8,25.2,.467,4.3,10.7,.402,7.4,14.4,.516,.553,2.3,2.8,.816,0.7,4.7,5.4,3.3,1.5,0.8,2.1,2.8,30.1,110,112,"AS,DEF2"
15,14,Andre Drummond,25,DET,C,79,79,2647,10.4,19.6,.533,0.1,0.7,.132,10.4,18.9,.548,.536,4.5,7.7,.590,7.9,15.1,22.9,2.1,2.5,2.6,3.3,5.1,25.5,113,100,
16,15,Aaron Gordon,23,ORL,PF,78,78,2633,8.7,19.4,.449,2.2,6.4,.349,6.5,13.0,.499,.507,3.4,4.7,.731,2.4,8.3,10.7,5.4,1.1,1.0,3.0,3.2,23.2,107,109,
17,16,Russell Westbrook,30,OKC,PG,73,73,2630,11.2,26.1,.428,2.1,7.3,.290,9.1,18.8,.481,.468,5.3,8.0,.656,1.9,12.4,14.3,13.9,2.5,0.6,5.8,4.3,29.7,105,103,"MVP-10,AS,NBA3"
18,17,Blake Griffin,29,DET,PF,75,75,2622,11.6,25.2,.462,3.6,9.8,.362,8.1,15.4,.525,.532,7.8,10.3,.753,1.9,8.7,10.6,7.6,1.0,0.5,4.8,3.7,34.6,113,110,"AS,NBA3"
