,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
0,1,Ray Allen*,SG,37,MIA,23,0,573,7.1,16.5,.430,3.7,9.2,.406,3.4,7.3,.461,4.5,5.2,.870,1.2,4.9,6.1,2.8,1.2,0.3,2.6,4.0,22.4,,114,107
1,2,Tony Allen,SG,31,MEM,15,15,422,7.0,16.1,.432,0.3,1.0,.250,6.7,15.1,.444,5.7,7.5,.759,4.8,7.0,11.7,3.5,3.9,0.6,2.4,6.2,19.8,,109,100
2,3,Chris Andersen,C,34,MIA,20,0,303,8.3,10.3,.807,0.0,0.0,,8.3,10.3,.807,6.5,8.9,.735,5.8,8.0,13.8,0.5,1.6,4.0,2.0,9.6,23.2,,150,99
3,4,James Anderson,SG,23,HOU,2,0,18,2.8,14.0,.200,0.0,8.4,.000,2.8,5.6,.500,0.0,0.0,,2.8,8.4,11.2,0.0,0.0,0.0,0.0,5.6,5.6,,58,115
4,5,Carmelo Anthony*,PF,28,NYK,12,12,481,14.5,35.7,.406,2.0,6.6,.298,12.6,29.1,.431,8.9,10.0,.885,1.3,7.8,9.1,2.2,1.5,0.2,3.6,5.3,39.9,,100,100
5,6,Joel Anthony,C,30,MIA,14,0,71,2.3,7.7,.300,0.0,0.0,,2.3,7.7,.300,0.0,0.0,,7.7,8.5,16.3,0.0,1.5,3.1,2.3,10.1,4.6,,87,100
6,7,Darrell Arthur,PF,24,MEM,15,0,175,7.8,16.5,.472,0.0,0.6,.000,7.8,15.8,.490,2.5,2.8,.889,4.3,7.5,11.8,1.9,0.6,1.2,2.2,11.2,18.0,,105,106
7,8,Ömer Aşık,C,26,HOU,6,6,208,5.3,9.5,.564,0.0,0.0,,5.3,9.5,.564,7.3,11.4,.638,5.1,11.2,16.3,0.7,0.7,2.4,2.9,5.3,18.0,,117,109
8,9,D.J. Augustin,PG,25,IND,19,1,316,4.7,12.4,.380,3.3,8.3,.396,1.4,4.0,.348,4.3,5.4,.806,0.3,2.3,2.6,2.3,1.2,0.0,1.7,4.5,17.0,,118,109
9,10,Gustavo Ayón,C,27,MIL,3,0,7,15.1,30.2,.500,0.0,0.0,,15.1,30.2,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,,95,120
10,11,Jeff Ayres,PF,25,IND,9,0,71,6.2,18.6,.333,0.0,0.8,.000,6.2,17.8,.348,0.0,0.0,,3.1,10.8,13.9,0.8,0.0,1.5,2.3,10.8,12.4,,75,104
11,12,Harrison Barnes,SF,20,GSW,12,12,461,8.0,17.9,.444,2.1,5.8,.365,5.9,12.2,.482,3.3,3.9,.857,2.0,6.5,8.5,1.7,0.8,0.6,1.8,3.7,21.4,,111,108
12,13,Matt Barnes,SF,32,LAC,6,0,162,8.1,14.8,.545,2.4,5.7,.412,5.7,9.1,.630,5.4,6.4,.842,2.4,7.7,10.1,1.0,1.3,0.7,1.7,7.7,23.9,,131,113
13,14,Brandon Bass,PF,27,BOS,6,5,204,3.8,7.8,.483,0.0,0.0,,3.8,7.8,.483,3.2,4.1,.800,2.2,8.6,10.8,1.9,0.5,0.3,1.4,4.6,10.8,,111,101
14,15,Shane Battier,SF,34,MIA,22,0,392,3.8,13.0,.290,3.6,12.3,.295,0.1,0.7,.200,3.2,3.9,.821,1.3,4.1,5.3,1.7,0.7,0.8,0.7,6.9,14.4,,108,108
15,16,Jerryd Bayless,PG,24,MEM,15,0,320,8.3,23.3,.358,3.1,10.0,.305,5.3,13.2,.397,3.9,4.4,.885,0.2,4.9,5.1,5.4,1.2,0.8,2.7,5.9,23.6,,97,107
16,17,Aron Baynes,C,26,SAS,4,1,23,9.3,16.3,.571,0.0,0.0,,9.3,16.3,.571,0.0,0.0,,4.7,7.0,11.6,0.0,0.0,0.0,2.3,9.3,18.6,,107,106
17,18,Kent Bazemore,SG,23,GSW,9,0,16,3.2,25.5,.125,0.0,3.2,.000,3.2,22.3,.143,0.0,12.8,.000,3.2,12.8,16.0,6.4,3.2,0.0,6.4,9.6,6.4,,34,99
18,19,Marco Belinelli,SG,26,CHI,12,7,325,7.4,18.1,.411,2.7,7.9,.340,4.7,10.1,.467,4.9,5.6,.879,0.0,5.9,5.9,5.2,0.8,0.0,2.5,4.4,22.5,,110,113
19,20,Patrick Beverley,PG,24,HOU,6,5,200,7.1,16.4,.431,2.0,6.1,.333,5.1,10.4,.488,1.8,1.8,1.000,2.8,5.6,8.3,4.3,1.8,1.0,1.5,6.1,17.9,,114,111
20,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
21,21,Andris Biedriņš,C,26,GSW,3,0,17,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,6.0,15.0,21.0,3.0,0.0,6.0,3.0,18.0,0.0,,98,98
22,22,Chauncey Billups*,SG,36,LAC,6,6,115,5.2,17.1,.306,2.8,8.1,.353,2.4,9.0,.263,4.3,5.2,.818,0.9,4.7,5.7,2.8,0.5,0.5,3.8,4.7,17.5,,87,117
23,23,DeJuan Blair,PF,23,SAS,12,0,76,14.8,24.0,.618,0.0,0.0,,14.8,24.0,.618,3.5,6.3,.556,4.2,12.7,16.9,4.9,3.5,0.7,0.7,9.9,33.1,,131,94
24,24,Steve Blake,PG,32,LAL,2,2,75,7.6,19.5,.393,3.5,8.3,.417,4.2,11.1,.375,0.7,0.7,1.000,0.0,5.6,5.6,3.5,2.8,2.1,2.8,5.6,19.5,,91,109
25,25,Andray Blatche,C,26,BRK,7,0,138,11.4,22.9,.500,0.0,0.0,,11.4,22.9,.500,5.5,6.7,.824,3.9,9.5,13.4,3.5,0.8,1.2,2.0,5.5,28.4,,116,105
26,26,Eric Bledsoe,PG,23,LAC,6,0,97,8.4,16.9,.500,0.6,5.1,.111,7.9,11.8,.667,4.5,6.7,.667,1.1,7.3,8.4,10.1,1.1,1.7,2.8,5.6,21.9,,116,113
27,27,Keith Bogans,SG,32,BRK,2,0,23,0.0,2.4,.000,0.0,2.4,.000,0.0,0.0,,0.0,0.0,,0.0,4.7,4.7,4.7,0.0,0.0,2.4,7.1,0.0,,45,111
28,28,Andrew Bogut,C,28,GSW,12,12,327,6.1,10.5,.582,0.0,0.0,,6.1,10.5,.582,1.2,3.6,.348,6.1,14.4,20.5,3.4,0.9,2.8,3.4,6.1,13.4,,107,100
29,29,Matt Bonner,PF,32,SAS,20,1,267,5.6,11.8,.475,3.0,6.4,.469,2.6,5.4,.481,2.0,2.4,.833,1.8,6.0,7.8,1.2,1.0,1.0,0.4,7.0,16.2,,131,104
30,30,Carlos Boozer,PF,31,CHI,12,12,431,10.6,21.4,.494,0.0,0.1,.000,10.6,21.3,.497,4.0,5.7,.689,4.5,10.2,14.7,2.3,1.3,0.1,3.7,4.6,25.1,,102,109
31,31,Chris Bosh*,C,28,MIA,23,23,751,8.0,17.6,.458,1.1,2.7,.405,7.0,14.9,.468,3.2,4.4,.733,2.8,9.4,12.2,2.5,1.7,2.6,2.0,4.9,20.4,,108,100
32,32,Avery Bradley,PG,22,BOS,6,6,191,4.9,12.1,.405,0.6,2.3,.250,4.3,9.8,.441,1.2,1.2,1.000,0.9,2.9,3.8,2.3,3.2,0.3,3.2,3.2,11.5,,79,99
