,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,LeBron James,33,CLE,PF,82,82,3026,13.9,25.6,.542,2.4,6.6,.367,11.5,19.0,.603,.590,6.3,8.6,.731,1.6,9.9,11.5,12.1,1.9,1.1,5.6,2.2,36.4,118,109,"MVP-2,AS,NBA1"
1,2,Khris Middleton,26,MIL,SF,82,82,2982,9.9,21.3,.466,2.4,6.8,.359,7.5,14.5,.517,.524,5.4,6.1,.884,0.8,6.4,7.2,5.5,2.0,0.4,3.2,4.5,27.6,111,111,
2,3,Andrew Wiggins,22,MIN,SF,82,82,2979,9.6,21.8,.438,1.9,5.7,.331,7.7,16.1,.475,.481,3.4,5.3,.643,1.4,4.6,6.0,2.7,1.5,0.9,2.3,2.7,24.4,101,113,
3,4,Bradley Beal,24,WAS,SG,82,82,2977,11.4,24.8,.460,3.3,8.8,.375,8.1,15.9,.507,.527,4.9,6.2,.791,1.0,5.0,6.1,6.2,1.6,0.6,3.6,2.7,31.0,109,110,AS
4,5,Jrue Holiday,27,NOP,SG,81,81,2927,10.0,20.3,.494,2.0,5.8,.337,8.1,14.5,.557,.543,3.0,3.9,.786,1.0,4.9,6.0,7.9,2.0,1.0,3.5,3.3,25.1,110,109,"DPOY-7,DEF1"
5,6,CJ McCollum,26,POR,SG,81,81,2923,11.4,25.6,.443,3.2,8.1,.397,8.1,17.5,.465,.506,3.6,4.3,.836,0.9,4.6,5.5,4.6,1.3,0.6,2.6,2.9,29.5,108,109,
6,7,Karl-Anthony Towns,22,MIN,C,82,82,2918,11.0,20.1,.545,2.1,4.9,.421,8.9,15.2,.585,.596,5.9,6.9,.858,4.1,13.3,17.3,3.4,1.1,2.0,2.7,4.9,29.9,127,107,"AS,NBA3"
7,8,Russell Westbrook,29,OKC,PG,80,80,2914,12.9,28.7,.449,1.7,5.6,.298,11.2,23.2,.485,.477,7.1,9.6,.737,2.6,11.1,13.7,14.0,2.5,0.3,6.5,3.4,34.5,109,104,"MVP-5,AS,NBA2"
8,9,Paul George,27,OKC,SF,79,79,2891,9.9,23.0,.430,4.2,10.5,.401,5.7,12.5,.454,.521,5.8,7.1,.822,1.2,6.4,7.7,4.5,2.8,0.7,3.6,4.0,29.8,112,106,"DPOY-4,AS,NBA3"
9,10,Giannis Antetokounmpo,23,MIL,PF,75,75,2756,13.4,25.4,.529,0.8,2.5,.307,12.6,22.8,.554,.545,8.8,11.6,.760,2.8,10.8,13.6,6.5,2.0,1.9,4.0,4.2,36.4,116,106,"MVP-6,AS,NBA2"
10,11,Kemba Walker,27,CHO,PG,80,80,2736,10.5,24.3,.431,4.1,10.7,.384,6.4,13.6,.469,.516,6.5,7.5,.864,0.6,3.9,4.4,7.9,1.6,0.4,3.2,1.7,31.6,115,111,AS
11,12,Ben Simmons,21,PHI,PG,81,81,2732,9.6,17.6,.545,0.0,0.2,.000,9.6,17.4,.551,.545,3.4,6.0,.560,2.6,9.0,11.6,11.6,2.5,1.2,4.9,3.7,22.5,111,102,ROY-1
12,13,Anthony Davis,24,NOP,PF,75,75,2727,13.7,25.6,.534,1.0,2.8,.340,12.7,22.8,.558,.552,8.7,10.5,.828,3.3,11.3,14.6,3.0,2.0,3.4,2.8,2.8,36.9,119,102,"MVP-3,DPOY-3,AS,NBA1,DEF1"
13,14,Taj Gibson,32,MIN,PF,82,82,2726,7.8,13.5,.577,0.1,0.6,.200,7.7,12.9,.595,.581,2.6,3.4,.768,3.6,7.2,10.7,1.8,1.1,1.1,1.6,4.0,18.3,123,112,
14,15,DeMar DeRozan,28,TOR,SG,80,80,2711,11.7,25.7,.456,1.6,5.2,.310,10.1,20.5,.494,.488,8.4,10.2,.825,1.1,4.7,5.7,7.6,1.5,0.4,3.2,2.7,33.5,114,109,"MVP-8,AS,NBA2"
15,16,Josh Richardson,24,MIA,SF,81,81,2689,7.5,16.5,.451,2.4,6.3,.378,5.1,10.3,.495,.523,2.2,2.7,.845,1.3,4.0,5.3,4.3,2.3,1.4,2.6,3.7,19.5,106,106,
16,17,Will Barton,27,DEN,SG,81,40,2683,8.6,19.0,.452,2.9,7.8,.370,5.7,11.2,.510,.528,3.4,4.2,.805,1.3,6.3,7.6,6.1,1.5,1.0,2.8,3.1,23.4,113,112,6MOY-4
17,18,Damian Lillard,27,POR,PG,73,73,2670,11.6,26.4,.439,4.2,11.7,.361,7.3,14.6,.501,.519,9.2,10.0,.916,1.2,4.9,6.1,9.0,1.4,0.5,3.8,2.2,36.6,120,109,"MVP-4,AS,NBA1"
