,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
0,1,Nickeil Alexander-Walker,SG,27,ATL,6,6,213,6.3,16.6,.380,4.2,10.0,.419,2.1,6.5,.321,2.3,3.5,.667,0.7,2.6,3.3,3.7,0.7,1.2,4.0,2.8,19.1,,93,126
1,2,Grayson Allen,SG,30,PHO,2,0,38,8.0,17.3,.462,5.3,14.6,.364,2.7,2.7,1.000,4.0,5.3,.750,1.3,4.0,5.3,5.3,0.0,2.7,0.0,4.0,25.2,,146,132
2,3,Jarrett Allen,C,27,CLE,18,18,529,8.3,13.1,.635,0.0,0.0,,8.3,13.1,.635,5.2,9.1,.579,5.4,6.9,12.3,1.8,1.7,3.0,1.6,3.4,21.8,,132,112
3,4,Jose Alvarado,PG,27,NYK,18,0,170,8.6,19.8,.433,3.5,10.0,.353,5.0,9.7,.515,1.5,1.8,.833,0.6,6.8,7.4,6.2,3.0,0.6,3.0,6.2,22.1,,109,103
4,5,Kyle Anderson,SF,32,MIN,8,0,61,4.7,13.4,.353,0.0,0.8,.000,4.7,12.6,.375,2.4,6.3,.375,1.6,3.9,5.5,11.8,1.6,0.0,4.7,4.7,11.8,,85,116
5,6,OG Anunoby,PF,28,NYK,17,17,586,9.5,17.0,.561,3.8,7.7,.489,5.7,9.2,.620,6.5,7.6,.854,1.3,7.9,9.2,2.4,2.2,1.6,0.9,3.9,29.3,,147,103
6,7,Deni Avdija,SF,25,POR,5,5,174,10.1,22.4,.449,2.0,5.8,.350,8.1,16.7,.483,9.8,13.5,.723,0.9,7.8,8.6,6.6,0.6,0.9,4.9,5.5,31.9,,108,119
7,8,Deandre Ayton,C,27,LAL,10,10,285,8.3,15.2,.548,0.0,0.0,,8.3,15.2,.548,1.5,2.4,.615,6.7,10.7,17.4,1.6,0.4,1.5,2.4,5.1,18.1,,114,113
8,9,Paolo Banchero,PF,23,ORL,7,7,273,11.1,26.4,.420,2.6,7.7,.333,8.5,18.6,.455,9.2,13.6,.676,1.7,10.0,11.6,8.1,1.8,0.9,4.4,3.3,33.9,,106,106
9,10,Desmond Bane,SG,27,ORL,7,7,253,8.6,21.9,.391,5.0,11.5,.431,3.6,10.3,.346,3.2,4.0,.800,2.0,4.6,6.6,2.6,2.6,0.4,2.2,5.6,25.3,,107,109
