,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
0,1,Steven Adams,C,25,OKC,5,5,159,8.5,12.7,.667,0.0,0.3,.000,8.5,12.4,.683,0.9,2.4,.375,3.6,7.3,10.9,2.1,1.5,1.5,2.7,3.9,17.9,,115,111
1,2,LaMarcus Aldridge,C,33,SAS,7,7,244,11.8,26.0,.455,0.6,2.4,.273,11.2,23.7,.473,5.8,7.1,.818,4.1,10.3,14.4,4.1,1.1,1.5,1.5,4.5,30.1,,113,112
2,3,Grayson Allen,SG,23,UTA,2,0,14,7.0,24.5,.286,0.0,10.5,.000,7.0,14.0,.500,17.5,24.5,.714,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,31.5,,100,118
3,4,Jarrett Allen,C,20,BRK,5,5,110,8.0,13.4,.594,0.0,0.0,,8.0,13.4,.594,7.1,8.4,.850,6.3,8.0,14.3,4.6,1.3,1.3,3.4,5.5,23.1,,130,116
4,5,Al-Farouq Aminu,PF,28,POR,16,16,399,4.8,13.7,.349,1.9,6.4,.294,2.9,7.3,.397,3.4,4.5,.750,3.6,8.9,12.6,2.6,1.1,1.3,2.0,4.3,14.8,,104,112
5,6,Giannis Antetokounmpo,PF,24,MIL,15,15,514,12.1,24.5,.494,1.7,5.2,.327,10.4,19.3,.539,10.0,15.8,.637,3.4,13.8,17.2,6.8,1.7,2.8,4.7,4.5,35.9,,112,97
6,7,D.J. Augustin,PG,31,ORL,5,5,141,7.1,14.6,.488,3.6,7.5,.476,3.6,7.1,.500,5.0,5.7,.875,0.4,2.5,2.9,6.8,0.7,0.4,2.5,2.5,22.8,,126,116
7,8,Will Barton,SF,28,DEN,14,3,328,7.5,21.4,.348,2.4,8.7,.273,5.1,12.7,.400,2.9,4.1,.692,2.4,8.3,10.6,3.8,0.6,1.4,2.2,3.0,20.2,,95,113
8,9,Aron Baynes,C,32,BOS,9,5,115,3.4,5.9,.571,0.8,2.5,.333,2.5,3.4,.750,0.4,0.8,.500,2.5,8.0,10.5,1.3,1.3,0.8,2.1,8.4,8.0,,106,104
9,10,Malik Beasley,SG,22,DEN,14,0,281,6.7,17.2,.387,3.5,8.7,.404,3.2,8.5,.370,4.1,5.7,.710,2.0,6.9,8.9,2.6,0.6,0.2,1.3,3.7,20.9,,113,116
10,11,Marco Belinelli,SG,32,SAS,7,0,131,5.6,15.2,.368,3.2,8.4,.381,2.4,6.8,.353,2.0,2.4,.833,0.0,5.2,5.2,3.2,0.0,0.8,0.8,2.8,16.4,,107,119
11,12,Jordan Bell,C,24,GSW,15,2,106,7.9,14.4,.548,0.0,0.0,,7.9,14.4,.548,3.3,4.7,.700,3.3,5.6,8.8,5.1,1.9,3.3,0.9,6.0,19.1,,129,110
12,13,Dāvis Bertāns,PF,26,SAS,5,0,79,3.3,10.0,.333,2.0,7.3,.273,1.3,2.7,.500,2.0,3.3,.600,0.0,5.3,5.3,3.3,0.0,0.7,0.7,6.6,10.6,,103,118
13,14,Patrick Beverley,PG,30,LAC,6,6,195,4.8,11.3,.426,3.1,7.2,.433,1.7,4.1,.412,1.4,1.9,.750,1.9,9.6,11.6,6.8,1.4,1.4,2.4,5.1,14.2,,116,119
14,15,Khem Birch,C,26,ORL,5,0,92,5.5,9.8,.556,0.0,0.0,,5.5,9.8,.556,3.3,3.8,.857,4.9,12.0,16.9,2.2,0.5,2.7,3.3,4.4,14.2,,110,109
15,16,Eric Bledsoe,PG,29,MIL,15,15,423,8.7,21.1,.411,1.9,8.2,.236,6.7,12.9,.522,4.1,5.8,.706,2.3,4.1,6.4,7.3,1.8,0.7,3.6,3.2,23.4,,102,105
