,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
0,1,Steven Adams,C,22,OKC,18,18,553,6.2,10.1,.613,0.0,0.1,.000,6.2,10.0,.618,4.2,6.7,.630,5.7,9.9,15.6,1.2,0.8,1.3,1.5,5.0,16.6,,131,106
1,2,Cole Aldrich,C,27,LAC,6,0,77,6.7,10.0,.667,0.0,0.0,,6.7,10.0,.667,2.0,4.0,.500,5.3,14.6,20.0,2.0,4.0,2.0,1.3,7.3,15.3,,131,92
2,3,LaMarcus Aldridge,PF,30,SAS,10,10,337,13.6,26.2,.521,0.3,0.3,1.000,13.3,25.9,.515,6.4,7.1,.891,3.4,9.5,12.9,1.6,0.6,2.2,1.7,2.8,34.0,,117,102
3,4,Lavoy Allen,PF,26,IND,6,3,51,3.2,10.6,.300,0.0,0.0,,3.2,10.6,.300,0.0,0.0,,4.2,10.6,14.8,2.1,1.1,1.1,1.1,2.1,6.4,,85,102
4,5,Tony Allen,SG,34,MEM,4,2,94,5.7,18.9,.303,0.6,4.0,.143,5.2,14.9,.346,5.2,7.5,.692,3.4,2.9,6.3,1.7,2.9,1.1,3.4,6.3,17.2,,81,115
5,6,Al-Farouq Aminu,SF,25,POR,11,11,372,7.5,17.2,.438,3.8,9.4,.400,3.8,7.8,.483,2.8,3.9,.724,3.1,9.7,12.7,2.7,1.1,1.3,2.8,4.2,21.6,,110,109
6,7,Chris Andersen,C,37,MEM,4,2,79,3.4,8.2,.417,0.0,0.0,,3.4,8.2,.417,3.4,5.5,.625,8.9,12.3,21.1,2.0,1.4,2.0,3.4,2.7,10.2,,99,112
7,8,Justin Anderson,SF,22,DAL,5,1,95,9.4,20.4,.459,2.2,7.2,.308,7.2,13.2,.542,5.0,7.7,.643,5.0,6.1,11.0,3.9,2.2,1.7,2.8,6.6,25.9,,110,119
8,9,Kyle Anderson,SF,22,SAS,10,0,129,3.2,10.1,.320,0.4,1.2,.333,2.8,8.9,.318,2.4,2.8,.857,0.8,8.9,9.7,2.8,2.4,1.2,1.6,4.5,9.3,,87,99
9,10,Trevor Ariza,SF,30,HOU,5,5,181,3.5,13.7,.255,1.1,7.5,.143,2.4,6.2,.391,0.8,1.1,.750,1.9,3.8,5.7,1.1,3.5,0.3,3.2,4.3,8.9,,63,110
