,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Andrew Wiggins,21,MIN,SF,82,82,3048,11.8,26.1,.452,1.7,4.8,.356,10.1,21.3,.473,.484,6.9,9.0,.760,1.7,3.8,5.5,3.1,1.4,0.5,3.1,3.0,32.2,107,115,
1,2,Karl-Anthony Towns,21,MIN,C,82,82,3030,13.4,24.8,.542,1.7,4.6,.367,11.7,20.2,.582,.576,6.0,7.2,.832,5.0,11.9,16.9,3.7,0.9,1.7,3.5,4.0,34.5,121,110,
2,3,James Harden,27,HOU,PG,81,81,2947,11.0,25.0,.440,4.3,12.3,.347,6.7,12.7,.530,.525,12.1,14.3,.847,1.5,9.2,10.7,14.8,2.0,0.6,7.6,3.5,38.4,118,107,"MVP-2,AS,NBA1"
3,4,Giannis Antetokounmpo,22,MIL,SF,80,80,2845,11.7,22.5,.521,0.9,3.2,.272,10.8,19.3,.563,.541,8.4,10.9,.770,2.5,10.0,12.5,7.7,2.3,2.7,4.2,4.4,32.7,116,104,"MVP-7,MIP-1,AS,NBA2,DEF2"
4,5,John Wall,26,WAS,PG,78,78,2836,11.2,24.9,.451,1.5,4.7,.327,9.7,20.2,.480,.482,7.3,9.2,.801,1.0,4.6,5.7,14.4,2.7,0.9,5.6,2.6,31.4,111,108,"MVP-7,AS,NBA3"
5,6,Jimmy Butler,27,CHI,SF,76,75,2809,10.2,22.5,.455,1.6,4.4,.367,8.6,18.0,.477,.492,10.5,12.1,.865,2.3,6.1,8.4,7.5,2.6,0.6,2.9,2.0,32.6,123,106,"AS,NBA3"
6,7,Harrison Barnes,24,DAL,PF,79,79,2803,11.1,23.8,.468,1.4,4.1,.351,9.7,19.6,.492,.498,4.5,5.2,.861,1.7,5.6,7.3,2.2,1.2,0.3,1.9,2.4,28.2,106,111,
7,8,Russell Westbrook,28,OKC,PG,81,81,2802,14.4,34.0,.425,3.5,10.2,.343,10.9,23.8,.459,.476,12.4,14.7,.845,2.4,12.7,15.1,14.7,2.3,0.5,7.7,3.3,44.8,112,104,"MVP-1,AS,NBA1"
8,9,CJ McCollum,25,POR,SG,80,80,2796,12.3,25.6,.480,3.3,7.8,.421,9.0,17.8,.506,.544,4.8,5.2,.912,1.1,4.1,5.1,5.1,1.3,0.7,3.1,3.6,32.6,114,113,
9,10,LeBron James,32,CLE,SF,74,74,2794,13.1,24.0,.548,2.2,6.1,.363,10.9,17.9,.611,.594,6.4,9.5,.674,1.7,9.7,11.4,11.5,1.6,0.8,5.4,2.4,34.9,119,108,"MVP-4,DPOY-5,AS,NBA1"
10,11,Trevor Ariza,31,HOU,SF,80,80,2773,5.6,13.8,.409,3.3,9.6,.344,2.3,4.2,.556,.528,1.6,2.2,.738,0.9,7.0,7.9,3.0,2.5,0.3,1.3,2.3,16.2,113,108,
11,12,Rudy Gobert,24,UTA,C,81,81,2744,7.9,11.9,.661,0.0,0.0,.000,7.9,11.9,.662,.661,5.9,9.1,.653,6.0,13.8,19.8,1.9,0.9,4.1,2.8,4.7,21.7,129,99,"DPOY-2,NBA2,DEF1"
