,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,James Harden,25,HOU,SG,81,81,2981,10.8,24.5,.440,3.5,9.3,.375,7.3,15.3,.480,.511,11.9,13.7,.868,1.3,6.4,7.7,9.4,2.6,1.0,5.4,3.5,37.0,118,103,"MVP-2,AS,NBA1"
1,2,Andrew Wiggins,19,MIN,SF,82,82,2969,8.5,19.5,.437,0.7,2.2,.310,7.8,17.3,.453,.454,6.1,8.0,.760,2.3,4.1,6.4,2.9,1.5,0.9,3.0,3.3,23.8,103,114,ROY-1
2,3,Trevor Ariza,29,HOU,SF,82,82,2930,6.2,15.4,.402,3.3,9.4,.350,2.9,6.0,.485,.509,2.1,2.4,.853,1.3,6.5,7.8,3.5,2.6,0.3,2.4,3.2,17.8,107,103,DPOY-13
3,4,Damian Lillard,24,POR,PG,82,82,2925,10.3,23.7,.434,3.4,10.0,.343,6.9,13.7,.500,.506,6.0,6.9,.864,0.9,5.7,6.6,8.8,1.7,0.4,3.9,2.9,30.0,112,105,AS
4,5,Chris Paul,29,LAC,PG,82,82,2857,10.1,20.8,.485,2.5,6.2,.398,7.6,14.6,.523,.545,5.1,5.7,.900,0.9,5.7,6.7,14.9,2.8,0.3,3.4,3.6,27.7,126,105,"MVP-6,DPOY-15,AS,NBA2,DEF1"
5,6,John Wall,24,WAS,PG,79,79,2837,9.4,21.1,.445,1.2,3.9,.300,8.2,17.1,.478,.473,5.1,6.5,.785,0.7,6.0,6.6,14.3,2.5,0.8,5.5,3.3,25.1,105,102,"AS,DEF2"
6,7,DeAndre Jordan,26,LAC,C,82,82,2820,6.8,9.6,.710,0.0,0.1,.250,6.8,9.5,.713,.711,3.4,8.5,.397,7.1,14.9,22.0,1.1,1.5,3.3,2.0,4.4,17.0,126,98,"DPOY-3,NBA3,DEF1"
7,8,Eric Bledsoe,25,PHO,PG,81,81,2800,8.3,18.6,.447,1.6,4.8,.324,6.8,13.8,.491,.489,6.3,7.9,.800,1.3,6.2,7.5,8.8,2.3,0.8,4.9,3.4,24.5,107,106,
8,9,Joe Johnson,33,BRK,SG,80,80,2791,8.3,19.0,.435,2.2,6.3,.359,6.0,12.8,.472,.494,2.6,3.3,.801,1.0,6.1,7.1,5.4,1.1,0.3,2.5,2.2,21.4,105,110,
9,10,Kyrie Irving,22,CLE,PG,75,75,2730,11.0,23.5,.468,3.0,7.2,.415,8.0,16.3,.491,.532,6.0,7.0,.863,1.0,3.5,4.5,7.4,2.2,0.4,3.5,2.8,31.0,117,108,"AS,NBA3"
10,11,Monta Ellis,29,DAL,SG,80,80,2699,11.3,25.3,.445,1.5,5.3,.285,9.7,20.0,.487,.475,4.3,5.7,.752,0.6,2.9,3.6,6.1,2.8,0.5,3.7,3.7,28.3,100,107,
11,12,Tyreke Evans,25,NOP,SG,79,76,2690,10.2,22.8,.447,1.3,4.4,.304,8.8,18.3,.482,.477,3.9,5.7,.694,1.6,6.5,8.1,10.2,2.0,0.7,4.8,3.9,25.6,103,107,
12,13,Marc Gasol,30,MEM,C,81,81,2687,10.3,20.8,.494,0.1,0.3,.176,10.2,20.5,.500,.496,6.8,8.5,.795,2.2,10.0,12.2,6.0,1.4,2.5,3.4,4.0,27.4,111,100,"MVP-8,DPOY-10,AS,NBA1"
13,14,Pau Gasol,34,CHI,PF,78,78,2681,11.0,22.2,.494,0.2,0.5,.462,10.8,21.7,.495,.500,5.7,7.1,.803,4.2,13.5,17.7,4.1,0.5,2.8,3.0,2.8,27.9,112,101,"AS,NBA2"
14,15,Ben McLemore,21,SAC,SG,82,82,2670,6.8,15.7,.437,2.6,7.4,.358,4.2,8.3,.507,.521,2.5,3.0,.813,0.6,4.0,4.5,2.6,1.5,0.4,2.6,4.1,18.8,104,112,
15,16,Ty Lawson,27,DEN,PG,75,75,2665,7.6,17.4,.436,1.3,3.8,.341,6.3,13.5,.463,.474,5.0,6.8,.730,0.8,3.6,4.4,13.5,1.7,0.2,3.5,2.4,21.4,113,111,
16,17,Goran Dragić,28,2TM,PG,78,78,2640,9.7,19.3,.501,1.7,5.0,.347,7.9,14.3,.555,.546,3.5,4.5,.774,1.6,3.7,5.3,6.7,1.5,0.3,3.3,3.8,24.5,112,110,
17,17,Goran Dragić,28,PHO,SG,52,52,1735,9.8,19.5,.501,1.9,5.3,.355,7.9,14.2,.556,.549,2.8,3.7,.746,1.5,3.9,5.3,6.1,1.4,0.3,3.3,3.4,24.2,111,110,
18,17,Goran Dragić,28,MIA,PG,26,26,905,9.5,18.8,.502,1.4,4.3,.329,8.1,14.6,.552,.539,4.9,6.1,.808,1.8,3.4,5.2,8.1,1.6,0.4,3.4,4.4,25.2,115,110,
19,18,Gordon Hayward,24,UTA,SF,76,76,2618,9.8,22.0,.445,2.4,6.7,.364,7.4,15.4,.481,.500,7.6,9.4,.812,1.1,6.5,7.6,6.3,2.2,0.6,4.2,2.7,29.7,111,105,
20,19,Stephen Curry,26,GSW,PG,80,80,2613,12.2,25.1,.487,5.3,12.1,.443,6.9,13.0,.528,.594,5.8,6.3,.914,1.0,5.3,6.4,11.6,3.0,0.3,4.7,3.0,35.5,122,101,"MVP-1,AS,NBA1"
21,20,Kentavious Caldwell-Pope,21,DET,SG,82,82,2587,7.8,19.4,.401,3.1,8.9,.345,4.7,10.6,.449,.480,2.2,3.2,.696,0.9,4.2,5.1,2.2,1.9,0.4,1.9,3.2,20.9,101,109,
22,21,Markieff Morris,25,PHO,PF,82,82,2581,9.9,21.2,.465,1.1,3.5,.318,8.8,17.8,.494,.491,3.4,4.5,.763,2.1,7.6,9.8,3.7,2.0,0.8,3.3,4.7,24.3,102,105,
23,22,Victor Oladipo,22,ORL,SG,72,71,2573,9.4,21.6,.436,1.7,4.9,.339,7.7,16.7,.464,.474,5.2,6.4,.819,1.0,5.0,6.0,5.9,2.4,0.4,4.1,3.7,25.7,101,108,
24,23,Giannis Antetokounmpo,20,MIL,SG,81,71,2541,7.7,15.7,.491,0.1,0.9,.159,7.5,14.8,.511,.496,5.2,7.0,.741,2.0,8.9,10.9,4.2,1.5,1.7,3.5,5.1,20.7,105,101,
25,24,Kevin Love,26,CLE,PF,75,75,2532,8.5,19.5,.434,3.0,8.0,.367,5.5,11.5,.480,.509,5.3,6.6,.804,2.9,12.1,15.0,3.4,1.0,0.8,2.5,2.9,25.2,115,105,
26,25,Nikola Vučević,24,ORL,C,74,74,2529,12.8,24.4,.523,0.0,0.1,.333,12.7,24.3,.524,.524,3.3,4.4,.752,4.8,11.6,16.4,3.0,1.1,1.1,3.0,4.4,28.9,109,106,
27,26,Jimmy Butler,25,CHI,SG,65,65,2513,8.7,18.8,.462,1.5,4.0,.378,7.2,14.8,.484,.502,7.9,9.5,.834,2.3,5.5,7.8,4.4,2.3,0.7,1.9,2.2,26.8,122,104,"DPOY-10,MIP-1,AS,DEF2"
28,27,LaMarcus Aldridge,29,POR,PF,71,71,2512,13.4,28.7,.466,0.8,2.1,.352,12.6,26.6,.475,.479,6.2,7.3,.845,3.6,11.1,14.7,2.5,1.0,1.4,2.5,2.5,33.7,108,102,"MVP-7,AS,NBA2"
29,28,Andre Drummond,21,DET,C,82,82,2502,10.2,19.9,.514,0.0,0.0,.000,10.2,19.8,.515,.514,2.9,7.5,.389,9.0,13.8,22.8,1.1,1.5,3.2,2.5,5.9,23.4,107,100,
30,29,Arron Afflalo,29,2TM,SG,78,72,2502,7.5,17.8,.424,2.4,6.7,.354,5.2,11.1,.466,.491,3.4,4.0,.843,0.5,4.4,5.0,2.6,0.8,0.1,2.3,3.4,20.8,103,111,
31,29,Arron Afflalo,29,DEN,SG,53,53,1750,8.0,18.8,.428,2.3,6.9,.337,5.7,11.8,.481,.490,3.6,4.3,.841,0.6,4.5,5.1,2.9,0.9,0.1,2.4,3.1,22.0,104,112,
32,29,Arron Afflalo,29,POR,SG,25,19,752,6.4,15.4,.414,2.4,6.1,.400,3.9,9.3,.423,.493,2.7,3.2,.851,0.4,4.1,4.5,1.9,0.6,0.1,2.2,4.0,17.9,100,108,
