,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Kevin Durant,25,OKC,SF,81,81,3122,13.7,27.2,.503,3.1,7.9,.391,10.6,19.3,.549,.560,11.3,13.0,.873,0.9,8.7,9.6,7.2,1.7,1.0,4.6,2.8,41.8,123,104,"MVP-1,AS,NBA1"
1,2,Monta Ellis,28,DAL,SG,82,82,3023,9.8,21.7,.451,1.2,3.5,.330,8.6,18.1,.474,.478,5.8,7.3,.788,0.6,4.4,5.0,8.0,2.4,0.4,4.5,3.3,26.5,104,109,
2,3,DeMar DeRozan,24,TOR,SG,79,79,3017,10.5,24.4,.429,1.1,3.6,.305,9.4,20.7,.451,.452,9.0,10.9,.824,0.9,5.1,5.9,5.4,1.5,0.5,3.0,3.4,31.0,110,107,AS
3,4,Carmelo Anthony,29,NYK,PF,77,77,2982,13.2,29.3,.452,3.0,7.4,.402,10.3,21.9,.469,.503,8.2,9.6,.848,2.6,8.5,11.1,4.3,1.7,0.9,3.5,4.0,37.7,113,108,"MVP-15,AS"
4,5,John Wall,23,WAS,PG,82,82,2980,10.0,23.1,.433,1.9,5.3,.351,8.1,17.8,.458,.473,5.5,6.8,.805,0.7,5.1,5.8,12.5,2.6,0.7,5.1,3.8,27.4,106,104,AS
5,6,Nicolas Batum,25,POR,SF,82,82,2956,6.5,14.0,.465,2.5,6.9,.361,4.0,7.1,.566,.554,2.8,3.5,.803,2.0,8.5,10.5,7.2,1.3,1.0,3.6,2.7,18.3,113,106,
6,7,Damian Lillard,23,POR,PG,82,82,2937,9.5,22.5,.424,3.8,9.5,.394,5.8,12.9,.447,.508,6.4,7.3,.871,0.6,4.4,5.0,7.9,1.1,0.4,3.3,3.4,29.2,116,110,"AS,NBA3"
7,8,LeBron James,29,MIA,PF,77,77,2902,13.9,24.5,.567,2.1,5.5,.379,11.8,19.0,.622,.610,8.0,10.6,.750,1.5,8.2,9.7,8.8,2.2,0.5,4.9,2.3,37.9,121,105,"MVP-2,DPOY-6,AS,NBA1,DEF2"
8,9,Paul George,23,IND,SF,80,80,2898,10.3,24.4,.424,3.3,9.0,.364,7.1,15.4,.458,.490,7.2,8.3,.864,1.1,8.6,9.7,5.1,2.7,0.4,4.0,3.5,31.1,107,97,"MVP-9,DPOY-7,AS,NBA3,DEF1"
9,10,DeAndre Jordan,25,LAC,C,82,82,2870,6.1,9.0,.676,0.0,0.0,,6.1,9.0,.676,.676,2.8,6.5,.428,5.8,13.6,19.4,1.3,1.4,3.5,2.1,4.6,14.9,121,98,DPOY-3
10,11,Klay Thompson,23,GSW,SG,81,81,2868,9.7,21.9,.444,3.9,9.3,.417,5.8,12.6,.464,.533,2.6,3.2,.795,0.7,3.7,4.3,3.1,1.3,0.6,2.3,4.1,25.9,108,106,
11,12,Blake Griffin,24,LAC,PF,80,80,2863,12.5,23.7,.528,0.2,0.8,.273,12.3,23.0,.537,.533,8.4,11.8,.715,3.4,9.9,13.2,5.4,1.6,0.9,3.9,4.6,33.7,114,103,"MVP-3,AS,NBA2"
12,13,Kyle Lowry,27,TOR,PG,79,79,2862,8.3,19.7,.423,3.5,9.1,.380,4.9,10.6,.460,.511,5.7,7.0,.813,1.6,5.1,6.7,10.7,2.2,0.3,3.5,4.9,25.9,118,106,
13,14,Stephen Curry,25,GSW,PG,78,78,2846,11.4,24.2,.471,4.6,10.8,.424,6.9,13.5,.509,.566,5.4,6.1,.885,0.8,5.0,5.9,11.7,2.2,0.2,5.2,3.4,32.8,117,104,"MVP-6,AS,NBA2"
14,15,Joakim Noah,28,CHI,C,80,80,2820,7.2,15.1,.475,0.0,0.0,.000,7.2,15.1,.476,.475,4.7,6.3,.737,5.3,11.7,17.0,8.1,1.9,2.3,3.7,4.6,19.0,111,96,"MVP-4,DPOY-1,AS,NBA1,DEF1"
15,16,Jeff Green,27,BOS,SF,82,82,2805,8.8,21.5,.412,2.5,7.3,.341,6.4,14.2,.448,.469,5.2,6.5,.795,1.0,6.0,7.0,2.5,1.0,0.9,3.0,3.3,25.3,102,109,
16,17,Gordon Hayward,23,UTA,SF,77,77,2800,8.0,19.4,.413,1.6,5.3,.304,6.4,14.1,.453,.454,5.8,7.1,.816,1.2,6.2,7.3,7.5,2.1,0.8,4.0,2.9,23.4,104,111,
17,18,Kevin Love,25,MIN,PF,77,77,2797,11.5,25.1,.457,3.4,8.9,.376,8.1,16.2,.502,.524,9.2,11.2,.821,3.9,13.0,17.0,6.0,1.0,0.6,3.5,2.4,35.4,120,104,"MVP-11,AS,NBA2"
18,19,Chandler Parsons,25,HOU,SF,74,74,2783,8.3,17.7,.472,2.3,6.3,.370,6.0,11.4,.528,.538,2.9,4.0,.742,1.2,6.1,7.3,5.3,1.6,0.5,2.6,3.0,22.0,114,108,
19,20,Wesley Matthews,27,POR,SG,82,82,2780,8.1,18.4,.441,3.7,9.3,.393,4.4,9.1,.490,.541,4.6,5.5,.837,0.9,4.3,5.3,3.6,1.4,0.3,2.0,3.2,24.4,118,110,
20,21,James Harden,24,HOU,SG,73,73,2777,9.9,21.6,.456,3.2,8.7,.366,6.7,13.0,.515,.529,10.3,11.9,.866,1.1,5.1,6.2,8.0,2.1,0.5,4.8,3.2,33.2,120,107,"MVP-5,AS,NBA1"
21,22,Lance Stephenson,23,IND,SG,78,78,2752,8.1,16.4,.491,1.6,4.6,.352,6.4,11.8,.545,.540,2.6,3.7,.711,1.8,8.7,10.5,6.8,1.0,0.1,4.0,3.7,20.4,106,101,
