,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
0,1,Álex Abrines,SG,24,OKC,6,0,110,3.6,8.9,.400,2.7,5.8,.462,0.9,3.1,.286,0.9,0.9,1.000,1.3,5.8,7.1,0.9,2.2,0.9,0.4,4.9,10.7,,121,108
1,2,Steven Adams,C,24,OKC,6,6,200,6.6,11.3,.587,0.0,0.0,,6.6,11.3,.587,2.2,3.2,.692,4.7,6.4,11.0,2.2,1.0,1.0,1.0,3.7,15.5,,131,110
2,3,Bam Adebayo,C,20,MIA,5,0,77,4.3,9.3,.467,0.0,0.6,.000,4.3,8.7,.500,1.9,8.7,.214,5.6,6.8,12.4,0.0,0.0,1.2,1.2,5.0,10.6,,91,117
3,4,LaMarcus Aldridge,C,32,SAS,5,5,177,10.7,23.2,.463,0.9,1.5,.600,9.9,21.8,.453,11.9,12.2,.976,3.8,9.6,13.4,3.5,0.9,0.6,2.6,2.6,34.3,,121,113
4,5,Al-Farouq Aminu,PF,27,POR,4,4,131,10.0,19.3,.519,4.8,11.1,.433,5.2,8.2,.636,0.7,0.7,1.000,4.5,8.9,13.4,1.9,1.5,0.7,2.2,3.0,25.6,,126,116
5,6,Justin Anderson,SF,24,PHI,7,0,33,4.5,11.9,.375,3.0,10.4,.286,1.5,1.5,1.000,0.0,0.0,,1.5,11.9,13.4,0.0,1.5,0.0,3.0,11.9,11.9,,83,105
6,7,Kyle Anderson,SF,24,SAS,5,1,73,8.5,14.1,.600,0.0,2.8,.000,8.5,11.3,.750,2.1,2.8,.750,3.5,5.6,9.2,2.1,4.2,0.7,2.1,7.0,19.0,,117,108
7,8,Ryan Anderson,PF,29,HOU,11,0,95,3.7,10.6,.350,2.6,7.9,.333,1.1,2.6,.400,0.0,0.0,,2.1,4.8,6.9,3.2,1.6,0.5,1.6,5.3,10.0,,102,110
8,9,Giannis Antetokounmpo,PF,23,MIL,7,7,280,12.8,22.5,.570,0.7,2.6,.286,12.1,19.9,.607,7.1,10.2,.691,1.5,11.0,12.4,8.2,1.9,1.1,3.2,5.2,33.4,,122,106
9,10,Carmelo Anthony*,PF,33,OKC,6,6,194,6.8,18.2,.375,1.5,7.1,.214,5.3,11.1,.477,2.8,3.8,.733,0.8,7.8,8.6,0.5,2.5,1.0,1.5,3.5,18.0,,90,106
10,11,OG Anunoby,SF,20,TOR,10,10,238,6.2,11.1,.558,2.8,6.2,.448,3.4,4.9,.696,1.7,2.3,.727,1.9,2.6,4.5,1.5,1.3,0.9,1.3,4.9,16.8,,132,119
11,12,Trevor Ariza,SF,32,HOU,17,17,582,4.3,12.0,.360,2.2,7.8,.286,2.1,4.1,.500,2.0,2.7,.742,0.8,4.8,5.6,1.9,1.6,0.2,0.9,3.8,12.8,,103,110
12,13,Luke Babbitt,SF,28,MIA,2,0,3,0.0,15.9,.000,0.0,0.0,,0.0,15.9,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,124
