,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
0,1,Álex Abrines,SG,23,OKC,5,0,80,4.9,14.0,.348,3.0,10.3,.294,1.8,3.7,.500,1.8,2.4,.750,1.2,4.3,5.5,2.4,0.0,0.0,0.0,4.9,14.6,,114,121
1,2,Steven Adams,C,23,OKC,5,5,157,5.6,8.7,.643,0.0,0.0,,5.6,8.7,.643,1.2,3.4,.364,5.3,5.3,10.5,2.2,1.9,2.8,1.2,4.3,12.4,,127,113
2,3,LaMarcus Aldridge,PF,31,SAS,16,16,537,10.5,23.0,.458,0.2,1.3,.143,10.4,21.7,.478,4.0,5.3,.764,4.1,7.3,11.4,2.3,1.0,1.5,2.7,3.9,25.3,,105,113
3,4,Lavoy Allen,PF,27,IND,3,0,11,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,9.2,9.2,0.0,0.0,0.0,4.6,0.0,0.0,,0,123
4,5,Al-Farouq Aminu,PF,26,POR,4,0,113,7.1,15.4,.459,2.9,7.1,.412,4.2,8.3,.500,2.9,4.6,.636,2.1,8.7,10.8,1.7,1.2,1.7,3.7,3.7,19.9,,100,116
5,6,Kyle Anderson,SF,23,SAS,15,1,195,9.5,16.9,.563,0.8,2.6,.300,8.7,14.3,.611,2.1,2.9,.727,3.2,9.0,12.1,6.6,2.6,0.5,1.8,2.1,21.9,,128,110
6,7,Ryan Anderson,PF,28,HOU,11,9,336,5.3,13.6,.391,2.5,8.9,.283,2.8,4.7,.594,2.1,2.4,.875,2.2,6.2,8.4,1.0,0.6,0.3,1.3,3.6,15.3,,107,113
7,8,Giannis Antetokounmpo,SF,22,MIL,6,6,243,13.1,24.5,.536,0.9,2.2,.400,12.2,22.3,.549,5.5,10.0,.543,2.2,10.3,12.4,5.2,2.8,2.2,4.4,4.6,32.5,,104,98
8,9,Joel Anthony,C,34,SAS,3,0,15,10.3,13.7,.750,0.0,0.0,,10.3,13.7,.750,0.0,3.4,.000,6.9,6.9,13.7,0.0,0.0,6.9,3.4,6.9,20.6,,114,108
9,10,Trevor Ariza,SF,31,HOU,11,11,413,4.9,11.7,.423,2.8,7.4,.377,2.2,4.3,.500,1.6,1.7,.929,1.0,5.8,6.8,2.8,1.7,0.2,1.1,3.0,14.2,,118,111
10,11,Wade Baldwin,PG,20,MEM,3,0,12,0.0,4.7,.000,0.0,0.0,,0.0,4.7,.000,9.3,9.3,1.000,4.7,14.0,18.6,9.3,0.0,0.0,0.0,14.0,9.3,,159,118
11,12,Matt Barnes,SF,36,GSW,12,0,61,3.1,11.8,.267,0.8,6.3,.125,2.4,5.5,.429,0.0,0.0,,0.0,7.1,7.1,5.5,1.6,0.0,2.4,7.1,7.1,,72,107
12,13,Brandon Bass,PF,31,LAC,1,0,4,13.4,40.1,.333,0.0,0.0,,13.4,40.1,.333,0.0,0.0,,13.4,0.0,13.4,0.0,13.4,0.0,0.0,0.0,26.7,,88,88
13,14,Kent Bazemore,SF,27,ATL,6,0,150,6.8,17.2,.396,2.3,7.8,.292,4.6,9.4,.483,3.3,4.6,.714,1.3,6.2,7.5,6.5,1.3,1.6,5.2,4.9,19.2,,92,108
14,15,Bradley Beal,SG,23,WAS,13,13,505,12.0,25.5,.471,2.9,9.9,.287,9.1,15.5,.589,4.9,6.0,.820,1.5,2.9,4.3,3.4,2.1,0.8,2.7,3.7,31.7,,113,113
15,16,Michael Beasley,PF,28,MIL,4,0,48,7.7,22.1,.350,3.3,5.5,.600,4.4,16.6,.267,0.0,4.4,.000,2.2,7.7,9.9,1.1,1.1,1.1,2.2,8.8,18.8,,76,105
16,17,Dāvis Bertāns,PF,24,SAS,13,0,112,5.5,12.4,.444,3.7,9.2,.400,1.8,3.2,.571,1.8,2.8,.667,2.3,6.9,9.2,1.4,1.4,1.8,2.8,3.2,16.6,,110,112
17,18,Patrick Beverley,SG,28,HOU,11,11,325,6.9,16.7,.413,3.2,8.0,.404,3.7,8.7,.421,1.7,2.1,.786,3.2,6.1,9.3,5.1,2.5,0.3,2.8,5.8,18.7,,109,109
18,19,Bojan Bogdanović,SF,27,WAS,13,0,264,6.8,16.4,.414,3.0,8.5,.356,3.8,7.9,.476,5.1,6.0,.844,1.9,8.6,10.5,1.7,1.1,0.2,1.5,3.2,21.6,,117,113
19,20,Joel Bolomboy,PF,23,UTA,2,0,9,11.6,17.4,.667,0.0,0.0,,11.6,17.4,.667,0.0,0.0,,0.0,11.6,11.6,0.0,0.0,5.8,0.0,0.0,23.2,,126,106
20,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
21,21,Avery Bradley,SG,26,BOS,18,18,645,9.5,21.6,.441,3.2,9.0,.351,6.3,12.5,.506,1.7,2.1,.778,1.4,4.2,5.6,3.2,1.8,0.2,2.5,3.2,23.9,,102,116
