,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
178,171,Dennis Schröder,PG,31,DET,6,0,27.3,4.3,8.8,.491,1.7,3.5,.476,2.7,5.3,.500,.585,2.2,2.7,.813,0.7,1.7,2.3,3.7,1.2,0.2,1.2,2.0,12.5
179,172,Alperen Şengün,C,22,HOU,7,7,36.6,8.4,18.7,.450,0.4,1.1,.375,8.0,17.6,.455,.462,3.6,5.7,.625,3.0,8.9,11.9,5.3,1.9,0.4,2.1,3.7,20.9
180,173,Landry Shamet,SG,27,NYK,11,0,7.5,0.8,1.8,.450,0.6,1.4,.467,0.2,0.5,.400,.625,0.1,0.4,.250,0.0,0.4,0.4,0.7,0.1,0.0,0.4,0.5,2.4
181,174,Terrence Shannon Jr.,SG,24,MIN,9,0,6.3,1.4,3.0,.481,0.3,0.9,.375,1.1,2.1,.526,.537,1.3,1.3,1.000,0.1,1.0,1.1,0.3,0.4,0.0,0.3,1.0,4.6
182,175,Ben Sheppard,SG,23,IND,21,0,14.0,1.1,2.4,.471,0.7,1.8,.395,0.4,0.6,.692,.618,0.2,0.2,1.000,0.4,1.5,1.9,0.4,0.4,0.0,0.5,1.8,3.2
183,176,Reed Sheppard,PG,20,HOU,3,0,3.3,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0.0
184,177,Pascal Siakam,PF,30,IND,23,23,33.5,7.6,14.8,.513,1.5,3.6,.427,6.1,11.3,.541,.565,3.8,5.3,.713,1.3,5.0,6.3,3.4,1.2,0.7,1.3,2.9,20.5
185,178,Ben Simmons,PG,28,LAC,5,0,8.4,0.4,1.2,.333,0.0,0.0,,0.4,1.2,.333,.333,0.0,0.0,,0.6,0.8,1.4,0.8,0.2,0.8,0.4,2.2,0.8
186,179,Jericho Sims,C,26,MIL,5,0,11.6,1.2,1.2,1.000,0.0,0.0,,1.2,1.2,1.000,1.000,0.4,0.6,.667,2.2,1.8,4.0,0.2,0.0,0.2,1.0,1.0,2.8
187,180,Jabari Smith Jr.,PF,21,HOU,7,0,20.4,2.4,4.9,.500,1.4,3.1,.455,1.0,1.7,.583,.647,1.1,1.4,.800,1.0,2.9,3.9,0.6,0.1,0.7,1.4,0.9,7.4
188,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
189,181,Pat Spencer,PG,28,GSW,8,0,7.9,2.0,3.1,.640,0.1,0.4,.333,1.9,2.8,.682,.660,0.4,0.4,1.000,0.6,0.8,1.4,0.8,0.4,0.0,0.8,1.1,4.5
190,182,Lamar Stevens,PF,27,MEM,2,0,6.0,1.0,4.5,.222,0.0,1.5,.000,1.0,3.0,.333,.222,0.0,0.0,,0.0,2.0,2.0,0.5,0.0,0.0,0.5,0.5,2.0
191,183,Isaiah Stewart,C,23,DET,1,0,19.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,2.0,0.0,5.0,2.0
192,184,Julian Strawther,SG,22,DEN,9,0,9.8,1.4,3.3,.433,0.7,1.3,.500,0.8,2.0,.389,.533,0.7,0.8,.857,0.4,0.6,1.0,0.2,0.2,0.1,0.6,1.2,4.2
193,185,Max Strus,SF,28,CLE,9,9,28.1,4.1,9.9,.416,2.9,7.4,.388,1.2,2.4,.500,.562,0.6,0.7,.833,1.8,3.9,5.7,3.9,0.7,0.2,0.8,2.6,11.7
194,186,Jayson Tatum,PF,26,BOS,8,8,40.3,9.3,21.9,.423,3.6,9.8,.372,5.6,12.1,.464,.506,6.0,6.8,.889,1.1,10.4,11.5,5.4,2.1,0.8,3.3,2.6,28.1
195,187,Amen Thompson,SF,22,HOU,7,7,33.0,6.0,12.1,.494,0.1,0.6,.250,5.9,11.6,.506,.500,3.6,5.1,.694,2.7,4.1,6.9,3.3,1.7,0.9,1.7,2.6,15.7
196,188,Ausar Thompson,SF,22,DET,6,6,22.5,4.0,7.0,.571,0.0,0.3,.000,4.0,6.7,.600,.571,3.5,6.0,.583,1.3,3.8,5.2,1.0,1.2,0.8,1.8,4.2,11.5
197,189,Tristan Thompson,C,33,CLE,3,0,9.7,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.3,1.0,.333,0.7,4.3,5.0,0.3,0.3,0.7,0.7,0.7,2.3
198,190,Xavier Tillman Sr.,C,26,BOS,1,0,8.0,1.0,4.0,.250,0.0,2.0,.000,1.0,2.0,.500,.250,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
199,191,Obi Toppin,PF,26,IND,23,0,19.1,3.6,7.4,.485,1.1,3.4,.321,2.5,4.0,.624,.558,1.1,1.6,.694,0.6,3.3,3.8,1.3,0.7,0.3,1.0,2.0,9.4
200,192,Karl-Anthony Towns,C,29,NYK,18,18,35.5,7.7,15.8,.488,1.4,4.1,.351,6.3,11.7,.536,.533,4.6,5.4,.845,2.1,9.5,11.6,1.3,0.7,0.7,2.2,4.3,21.4
201,193,Gary Trent Jr.,SG,26,MIL,5,3,34.2,6.4,12.4,.516,4.4,8.8,.500,2.0,3.6,.556,.694,1.6,2.0,.800,0.2,2.0,2.2,1.2,2.6,0.0,0.6,1.8,18.8
202,194,P.J. Tucker,SF,39,NYK,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
203,195,Myles Turner,C,28,IND,23,23,29.3,4.6,9.5,.484,1.3,3.9,.344,3.3,5.6,.581,.555,3.2,4.2,.771,1.2,3.6,4.8,1.4,0.5,2.0,1.7,3.0,13.8
204,196,Hunter Tyson,PF,24,DEN,5,0,6.0,1.0,2.0,.500,0.2,1.0,.200,0.8,1.0,.800,.550,0.8,0.8,1.000,0.8,0.8,1.6,0.4,0.2,0.0,0.2,0.6,3.0
205,197,Jaylon Tyson,SG,22,CLE,4,0,7.8,1.8,3.8,.467,1.3,2.3,.556,0.5,1.5,.333,.633,1.3,1.5,.833,0.8,1.0,1.8,1.8,0.5,0.3,0.5,1.0,6.0
206,198,Jarred Vanderbilt,PF,25,LAL,5,0,12.0,0.4,1.2,.333,0.0,0.2,.000,0.4,1.0,.400,.333,0.6,0.8,.750,0.8,3.0,3.8,1.0,0.6,0.2,0.6,1.8,1.4
207,199,Fred VanVleet,PG,30,HOU,7,7,40.0,5.7,13.3,.430,3.9,8.9,.435,1.9,4.4,.419,.575,3.4,3.4,1.000,0.4,3.7,4.1,4.4,1.0,0.3,1.9,2.3,18.7
208,200,Gabe Vincent,PG,28,LAL,5,0,19.8,1.0,2.8,.357,0.8,2.6,.308,0.2,0.2,1.000,.500,0.0,0.0,,0.0,1.0,1.0,1.0,0.2,0.4,0.2,1.6,2.8
209,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
210,201,Dean Wade,PF,28,CLE,9,1,15.8,0.7,2.0,.333,0.3,1.6,.214,0.3,0.4,.750,.417,0.0,0.0,,1.1,3.1,4.2,0.7,0.3,0.1,0.3,1.1,1.7
211,202,Franz Wagner,SF,23,ORL,5,5,39.0,10.2,23.0,.443,1.4,7.4,.189,8.8,15.6,.564,.474,4.0,5.2,.769,0.6,4.2,4.8,5.6,1.2,0.4,2.0,3.2,25.8
212,203,Jarace Walker,PF,21,IND,12,0,9.8,1.1,2.8,.382,0.7,1.7,.400,0.4,1.2,.357,.500,0.2,0.3,.500,0.2,1.6,1.8,0.7,0.2,0.2,0.6,0.8,3.0
213,204,Cason Wallace,SG,21,OKC,23,3,22.4,2.2,5.2,.429,0.9,2.7,.323,1.3,2.5,.544,.513,0.3,0.4,.667,1.0,1.7,2.7,2.1,1.4,0.4,0.7,2.2,5.6
214,205,Jordan Walsh,PF,20,BOS,5,0,3.0,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
215,206,Kel'el Ware,C,20,MIA,4,4,18.3,2.0,4.5,.444,0.8,2.8,.273,1.3,1.8,.714,.528,0.0,0.0,,1.0,3.8,4.8,1.0,0.3,0.5,0.5,0.8,4.8
216,207,Peyton Watson,SF,22,DEN,14,0,14.2,1.7,4.2,.407,0.5,1.4,.368,1.2,2.9,.425,.466,0.6,1.1,.500,1.0,1.9,2.9,0.3,0.8,0.6,0.6,1.5,4.5
217,208,Russell Westbrook,PG,36,DEN,13,0,24.1,4.0,10.2,.391,1.5,4.8,.317,2.5,5.4,.457,.466,2.2,3.1,.700,1.5,2.2,3.7,2.6,0.9,0.1,2.3,3.2,11.7
218,209,Derrick White,SG,30,BOS,11,11,37.7,6.2,13.4,.463,3.6,9.5,.385,2.5,3.9,.651,.599,2.8,3.3,.861,1.3,3.8,5.1,3.5,0.6,1.1,1.2,2.0,18.8
219,210,Cam Whitmore,SF,20,HOU,3,0,1.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
220,211,Aaron Wiggins,SG,26,OKC,22,0,13.8,2.1,5.4,.395,1.1,3.1,.362,1.0,2.3,.440,.500,0.6,0.8,.765,0.6,1.6,2.3,0.9,0.5,0.3,0.8,1.0,6.0
221,212,Andrew Wiggins,SF,29,MIA,4,4,30.5,4.0,10.8,.372,1.8,5.0,.350,2.3,5.8,.391,.453,1.8,2.5,.700,1.0,2.3,3.3,2.3,0.3,1.3,2.8,1.5,11.5
222,213,Jalen Williams,SG,23,OKC,23,23,34.6,7.7,17.2,.449,1.5,5.0,.304,6.2,12.2,.509,.494,4.4,5.6,.789,1.0,4.5,5.5,4.8,1.4,0.4,1.8,2.2,21.4
223,214,Jaylin Williams,PF,22,OKC,17,0,8.3,0.9,2.1,.429,0.5,1.5,.360,0.4,0.6,.600,.557,0.4,0.6,.545,0.2,1.6,1.9,1.0,0.5,0.1,0.7,1.8,2.6
224,215,Kenrich Williams,PF,30,OKC,16,0,8.6,1.0,2.5,.400,0.3,1.3,.200,0.8,1.3,.600,.450,0.2,0.4,.500,0.5,1.7,2.2,0.4,0.4,0.1,0.4,0.4,2.4
225,216,Nate Williams,SG,25,HOU,3,0,1.7,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0
226,217,Vince Williams Jr.,SG,24,MEM,3,0,12.7,1.3,2.3,.571,1.3,2.3,.571,0.0,0.0,,.857,0.7,0.7,1.000,0.3,2.0,2.3,1.3,0.7,0.3,1.0,1.0,4.7
227,218,Delon Wright,PG,32,NYK,6,0,8.0,0.3,1.5,.222,0.2,1.0,.167,0.2,0.5,.333,.278,0.3,0.3,1.000,0.2,0.2,0.3,0.8,0.5,0.2,0.2,0.0,1.2
228,219,Ivica Zubac,C,27,LAC,7,7,36.6,7.7,11.7,.659,0.0,0.0,,7.7,11.7,.659,.659,2.0,3.7,.538,3.9,6.3,10.1,2.3,0.7,1.0,1.6,2.7,17.4
