,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
92,89,De'Andre Hunter,SF,27,CLE,8,0,23.1,3.4,7.9,.429,1.5,3.3,.462,1.9,4.6,.405,.524,2.8,3.3,.846,0.8,2.9,3.6,1.0,0.5,0.1,0.9,2.1,11.0
93,90,Jonathan Isaac,PF,27,ORL,5,0,13.8,1.4,2.4,.583,0.2,0.8,.250,1.2,1.6,.750,.625,0.6,1.0,.600,1.0,1.0,2.0,0.4,0.4,0.2,0.4,0.6,3.6
94,91,Andre Jackson Jr.,SG,23,MIL,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,92,Jaren Jackson Jr.,C,25,MEM,4,4,34.3,5.5,14.5,.379,0.8,2.8,.273,4.8,11.8,.404,.405,4.3,5.0,.850,2.3,2.8,5.0,1.5,1.0,0.5,2.8,3.5,16.0
96,93,Trayce Jackson-Davis,C,24,GSW,9,3,8.9,1.8,2.0,.889,0.0,0.0,,1.8,2.0,.889,.889,0.6,1.4,.385,1.0,1.3,2.3,0.2,0.3,0.2,0.1,1.7,4.1
97,94,Bronny James,SG,20,LAL,2,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,95,LeBron James,SF,40,LAL,5,5,40.8,8.6,17.6,.489,2.0,5.6,.357,6.6,12.0,.550,.545,6.2,8.0,.775,2.4,6.6,9.0,5.6,2.0,1.8,2.6,1.6,25.4
99,96,Jaime Jaquez Jr.,SF,23,MIA,3,0,6.3,0.3,2.0,.167,0.0,0.7,.000,0.3,1.3,.250,.167,0.7,0.7,1.000,1.0,0.3,1.3,0.3,0.0,0.0,0.3,0.3,1.3
100,97,Ty Jerome,SG,27,CLE,9,1,21.2,4.1,10.2,.402,1.6,4.0,.389,2.6,6.2,.411,.478,1.9,2.2,.850,0.6,1.9,2.4,3.6,0.6,0.1,1.2,1.8,11.7
101,98,Isaiah Joe,SG,25,OKC,21,0,10.0,1.7,3.5,.493,1.1,2.7,.411,0.6,0.8,.765,.651,0.6,0.7,.857,0.3,1.0,1.4,0.7,0.3,0.1,0.3,0.6,5.1
102,99,James Johnson,PF,37,IND,5,0,3.6,0.6,1.0,.600,0.0,0.2,.000,0.6,0.8,.750,.600,0.2,0.4,.500,0.0,0.2,0.2,0.4,0.4,0.4,0.2,0.6,1.4
103,100,Keshad Johnson,SF,23,MIA,2,0,4.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0
104,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
