,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
0,1,Nickeil Alexander-Walker,SG,27,ATL,6,6,35.5,4.5,11.8,.380,3.0,7.2,.419,1.5,4.7,.321,.507,1.7,2.5,.667,0.5,1.8,2.3,2.7,0.5,0.8,2.8,2.0,13.7
1,2,Grayson Allen,SG,30,PHO,2,0,19.0,3.0,6.5,.462,2.0,5.5,.364,1.0,1.0,1.000,.615,1.5,2.0,.750,0.5,1.5,2.0,2.0,0.0,1.0,0.0,1.5,9.5
2,3,Jarrett Allen,C,27,CLE,18,18,29.4,4.8,7.6,.635,0.0,0.0,,4.8,7.6,.635,.635,3.1,5.3,.579,3.2,4.0,7.2,1.1,1.0,1.7,0.9,2.0,12.7
3,4,Jose Alvarado,PG,27,NYK,18,0,9.4,1.6,3.7,.433,0.7,1.9,.353,0.9,1.8,.515,.522,0.3,0.3,.833,0.1,1.3,1.4,1.2,0.6,0.1,0.6,1.2,4.2
4,5,Kyle Anderson,SF,32,MIN,8,0,7.6,0.8,2.1,.353,0.0,0.1,.000,0.8,2.0,.375,.353,0.4,1.0,.375,0.3,0.6,0.9,1.9,0.3,0.0,0.8,0.8,1.9
5,6,OG Anunoby,PF,28,NYK,17,17,34.5,6.5,11.6,.561,2.6,5.3,.489,3.9,6.4,.620,.672,4.5,5.2,.854,0.9,5.4,6.3,1.6,1.5,1.1,0.6,2.6,20.1
6,7,Deni Avdija,SF,25,POR,5,5,34.8,7.0,15.6,.449,1.4,4.0,.350,5.6,11.6,.483,.494,6.8,9.4,.723,0.6,5.4,6.0,4.6,0.4,0.6,3.4,3.8,22.2
7,8,Deandre Ayton,C,27,LAL,10,10,28.5,4.6,8.4,.548,0.0,0.0,,4.6,8.4,.548,.548,0.8,1.3,.615,3.7,5.9,9.6,0.9,0.2,0.8,1.3,2.8,10.0
8,9,Paolo Banchero,PF,23,ORL,7,7,39.0,8.6,20.4,.420,2.0,6.0,.333,6.6,14.4,.455,.469,7.1,10.6,.676,1.3,7.7,9.0,6.3,1.4,0.7,3.4,2.6,26.3
9,10,Desmond Bane,SG,27,ORL,7,7,36.1,6.1,15.7,.391,3.6,8.3,.431,2.6,7.4,.346,.505,2.3,2.9,.800,1.4,3.3,4.7,1.9,1.9,0.3,1.6,4.0,18.1
10,11,Dalano Banton,PG,26,BOS,2,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,12,Dominick Barlow,PF,22,PHI,9,0,10.7,1.1,1.9,.588,0.0,0.1,.000,1.1,1.8,.625,.588,0.7,0.8,.857,0.7,1.0,1.7,0.1,0.2,0.4,0.2,1.0,2.9
12,13,Harrison Barnes,PF,33,SAS,20,0,9.2,0.7,2.0,.333,0.3,1.3,.231,0.4,0.7,.538,.410,0.7,0.9,.824,0.8,0.5,1.3,0.3,0.1,0.1,0.3,0.4,2.3
13,14,Scottie Barnes,PF,24,TOR,7,7,39.0,8.4,16.6,.509,1.1,3.0,.381,7.3,13.6,.537,.543,6.1,7.7,.796,1.6,4.6,6.1,8.6,1.1,1.7,3.4,3.0,24.1
14,15,RJ Barrett,SF,25,TOR,7,7,38.7,9.0,18.9,.477,2.4,6.3,.386,6.6,12.6,.523,.542,3.7,5.9,.634,2.0,5.0,7.0,4.0,1.3,0.3,3.6,3.4,24.1
15,16,Jamison Battle,SF,24,TOR,6,0,11.8,1.8,3.2,.579,1.2,1.8,.636,0.7,1.3,.500,.763,0.0,0.0,,0.5,1.3,1.8,0.2,0.0,0.0,0.2,1.0,4.8
16,17,Joan Beringer,PF,19,MIN,5,0,4.6,1.0,1.8,.556,0.0,0.0,,1.0,1.8,.556,.556,1.2,1.6,.750,1.0,1.2,2.2,0.0,0.4,0.4,0.6,0.0,3.2
17,18,Goga Bitadze,C,26,ORL,6,0,13.8,1.0,2.5,.400,0.0,0.0,,1.0,2.5,.400,.400,0.8,1.2,.714,2.2,1.8,4.0,0.3,0.3,1.7,0.7,2.3,2.8
18,19,Bismack Biyombo,C,33,SAS,9,0,2.8,0.3,0.8,.429,0.0,0.0,,0.3,0.8,.429,.429,0.0,0.0,,0.1,0.2,0.3,0.0,0.0,0.2,0.2,0.4,0.7
19,20,Anthony Black,PG,22,ORL,7,0,28.0,2.9,7.7,.370,1.0,3.1,.318,1.9,4.6,.406,.435,1.9,3.0,.619,0.3,2.9,3.1,1.4,2.1,0.7,0.7,2.7,8.6
20,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,21,Adem Bona,C,22,PHI,10,3,9.6,0.8,1.6,.500,0.0,0.0,,0.8,1.6,.500,.500,1.0,1.6,.625,1.1,1.0,2.1,0.1,0.1,0.7,1.1,2.3,2.6
22,22,Devin Booker,SG,29,PHO,4,4,38.3,7.3,15.8,.460,1.3,5.0,.250,6.0,10.8,.558,.500,5.5,7.0,.786,2.5,1.8,4.3,4.8,0.3,0.3,4.0,3.8,21.3
23,23,Jamaree Bouyea,PG,26,PHO,4,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.3,0.5,.500,0.3,0.5,0.8,0.3,0.3,0.0,0.0,0.0,1.3
24,24,Tony Bradley,C,28,ATL,4,0,10.3,0.8,1.0,.750,0.3,0.3,1.000,0.5,0.8,.667,.875,1.0,1.5,.667,0.3,2.5,2.8,0.8,0.5,0.8,0.3,1.8,2.8
25,25,Christian Braun,SG,24,DEN,6,6,31.2,2.5,6.0,.417,1.0,2.3,.429,1.5,3.7,.409,.500,2.3,3.2,.737,0.3,3.2,3.5,1.7,1.0,0.8,0.7,2.2,8.3
26,26,Mikal Bridges,SF,29,NYK,19,19,32.0,5.5,9.9,.559,1.2,3.3,.365,4.3,6.6,.656,.620,1.2,1.3,.920,0.4,2.8,3.2,2.7,1.0,0.3,0.9,1.9,13.5
27,27,Dillon Brooks,SF,30,PHO,4,4,37.3,9.8,21.3,.459,3.5,8.0,.438,6.3,13.3,.472,.541,3.0,3.0,1.000,1.3,4.8,6.0,1.8,0.3,0.3,1.5,4.5,26.0
28,28,Johni Broome,C,23,PHI,2,0,4.0,1.5,3.0,.500,0.5,2.0,.250,1.0,1.0,1.000,.583,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,3.5
29,29,Bruce Brown,SG,29,DEN,6,0,19.3,2.5,5.7,.441,0.5,1.8,.273,2.0,3.8,.522,.485,0.8,1.5,.556,0.5,2.2,2.7,1.7,1.7,0.0,1.5,2.7,6.3
30,30,Jaylen Brown,SF,29,BOS,7,7,35.6,9.3,20.4,.455,2.4,6.0,.405,6.9,14.4,.475,.514,4.7,6.6,.717,1.6,4.1,5.7,3.3,0.9,1.1,3.6,3.0,25.7
31,31,Jalen Brunson,PG,29,NYK,19,19,36.9,10.1,21.7,.465,2.4,6.5,.363,7.7,15.2,.509,.519,5.8,6.8,.846,0.6,2.6,3.2,6.1,1.2,0.0,2.7,2.1,28.4
32,32,Carter Bryant,PF,20,SAS,22,0,8.5,1.0,2.0,.500,0.5,1.3,.414,0.5,0.7,.667,.636,0.1,0.3,.333,0.4,1.3,1.7,0.7,0.1,0.3,0.6,1.8,2.6
33,33,Thomas Bryant,C,28,CLE,9,0,4.6,0.7,2.3,.286,0.2,1.3,.167,0.4,1.0,.444,.333,0.3,0.3,1.000,0.3,0.9,1.2,0.2,0.2,0.1,0.2,0.4,1.9
34,34,Jamal Cain,SF,26,ORL,7,3,17.6,1.7,4.1,.414,0.4,1.7,.250,1.3,2.4,.529,.466,0.7,1.6,.455,1.0,2.4,3.4,0.6,0.3,0.4,0.7,2.0,4.6
35,35,Toumani Camara,PF,25,POR,5,5,33.0,2.2,7.6,.289,1.4,5.4,.259,0.8,2.2,.364,.382,1.2,1.2,1.000,1.6,3.8,5.4,1.2,1.4,0.6,1.4,2.6,7.0
36,36,Clint Capela,C,31,HOU,4,0,5.5,0.8,2.0,.375,0.0,0.0,,0.8,2.0,.375,.375,0.0,0.0,,1.3,0.5,1.8,0.3,0.0,0.3,0.3,0.3,1.5
37,37,Jevon Carter,PG,30,ORL,3,0,5.7,0.3,1.3,.250,0.0,0.7,.000,0.3,0.7,.500,.250,0.0,0.0,,0.3,0.3,0.7,0.7,0.3,0.0,0.0,0.0,0.7
38,38,Wendell Carter Jr.,C,26,ORL,7,7,33.9,3.6,6.9,.521,0.7,2.6,.278,2.9,4.3,.667,.573,3.1,4.4,.710,2.9,4.1,7.0,2.9,0.6,1.7,1.4,4.0,11.0
39,39,Alex Caruso,SG,31,OKC,15,0,23.5,3.7,7.7,.478,2.2,4.9,.446,1.5,2.7,.537,.622,1.5,1.8,.815,0.4,2.6,3.0,2.1,1.4,0.5,0.9,2.1,11.0
40,40,Stephon Castle,PG,21,SAS,23,23,33.0,5.9,12.9,.459,1.5,4.3,.350,4.4,8.5,.515,.519,4.8,5.9,.816,1.4,3.6,5.0,6.1,0.9,0.3,3.5,3.9,18.2
41,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
42,41,Julian Champagnie,SF,24,SAS,23,23,30.7,3.8,8.5,.444,2.7,6.7,.396,1.1,1.8,.619,.599,1.0,1.3,.767,0.9,4.8,5.7,1.6,1.3,0.5,0.6,2.2,11.2
43,42,Sidy Cissoko,SF,21,POR,4,0,6.5,1.0,2.5,.400,0.5,1.3,.400,0.5,1.3,.400,.500,0.3,0.3,1.000,0.5,0.8,1.3,0.3,1.0,0.0,0.3,1.0,2.8
44,43,Jaylen Clark,SG,24,MIN,6,0,9.5,0.5,2.0,.250,0.3,1.3,.250,0.2,0.7,.250,.333,0.3,0.3,1.000,0.3,0.8,1.2,0.5,0.2,0.2,0.0,1.0,1.7
45,44,Jordan Clarkson,SG,33,NYK,18,0,10.8,1.9,4.3,.455,0.2,1.1,.211,1.7,3.2,.534,.481,0.8,1.1,.789,1.0,0.7,1.7,0.6,0.2,0.1,0.9,1.4,4.9
46,45,Donovan Clingan,C,21,POR,5,5,21.4,2.8,9.2,.304,1.0,5.0,.200,1.8,4.2,.429,.359,0.4,0.8,.500,2.8,5.0,7.8,2.2,0.2,0.6,0.6,2.8,7.0
47,46,Amir Coffey,SG,28,PHO,4,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
48,47,Mike Conley,PG,38,MIN,12,5,14.0,1.6,3.2,.500,1.1,2.2,.500,0.5,1.0,.500,.671,0.2,0.2,1.000,0.1,1.2,1.3,2.7,0.7,0.0,0.4,1.3,4.4
49,48,Cade Cunningham,PG,24,DET,14,14,40.9,9.1,21.0,.432,2.9,7.3,.402,6.1,13.7,.448,.502,7.1,8.2,.861,0.9,4.2,5.1,7.5,1.1,0.6,5.6,3.1,28.1
50,49,Tristan Da Silva,SF,24,ORL,7,0,15.3,1.6,4.1,.379,0.7,2.3,.313,0.9,1.9,.462,.466,0.3,0.6,.500,1.0,1.9,2.9,0.1,0.1,0.0,0.7,1.1,4.1
51,50,Pacôme Dadiet,SG,20,NYK,7,0,5.7,1.1,2.3,.500,0.4,1.1,.375,0.7,1.1,.625,.594,0.1,0.3,.500,0.3,0.7,1.0,0.4,0.3,0.0,0.3,0.1,2.9
52,51,Dyson Daniels,SG,22,ATL,6,6,27.7,3.0,6.8,.439,0.7,2.3,.286,2.3,4.5,.519,.488,0.7,1.0,.667,1.5,4.7,6.2,5.0,1.8,0.3,1.8,2.0,7.3
53,52,JD Davison,PG,23,HOU,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
