,league,season,rank,player,team,position,salary
91,mlb,2017,92,Nolan Arenado,COL,3B,"$11,750,000"
92,mlb,2017,,Denard Span,SF,CF,"$11,750,000"
93,mlb,2017,94,Evan Longoria,TB,3B,"$11,525,000"
94,mlb,2017,95,Carlos Gomez,TEX,CF,"$11,500,000"
95,mlb,2017,,Manny Machado,BAL,3B,"$11,500,000"
96,mlb,2017,,Brian McCann,HOU,C,"$11,500,000"
97,mlb,2017,,Martín Prado,MIA,3B,"$11,500,000"
98,mlb,2017,,Mark Trumbo,BAL,DH,"$11,500,000"
99,mlb,2017,100,Zack Britton,BAL,RP,"$11,400,000"
100,mlb,2017,101,Lorenzo Cain,KC,CF,"$11,000,000"
101,mlb,2017,,Yovani Gallardo,SEA,RP,"$11,000,000"
102,mlb,2017,,Ian Kinsler,DET,2B,"$11,000,000"
103,mlb,2017,104,Jose Abreu,CHW,1B,"$10,825,000"
104,mlb,2017,105,Rusney Castillo,BOS,LF,"$10,500,000"
105,mlb,2017,,Nick Markakis,ATL,RF,"$10,500,000"
106,mlb,2017,,Kyle Seager,SEA,3B,"$10,500,000"
107,mlb,2017,108,Chris Tillman,BAL,SP,"$10,050,000"
108,mlb,2017,109,Andrew Cashner,TEX,SP,"$10,000,000"
109,mlb,2017,,Wade Davis,CHC,RP,"$10,000,000"
110,mlb,2017,,Brandon McCarthy,LAD,SP,"$10,000,000"
111,mlb,2017,,Kendrys Morales,TOR,DH,"$10,000,000"
112,mlb,2017,,James Shields,CHW,SP,"$10,000,000"
113,mlb,2017,114,Matt Carpenter,STL,1B/3B,"$9,750,000"
114,mlb,2017,,Ivan Nova,PIT,SP,"$9,750,000"
115,mlb,2017,116,Wei-Yin Chen,MIA,SP,"$9,500,000"
116,mlb,2017,,Matt Kemp,ATL,RF,"$9,500,000"
117,mlb,2017,118,Dallas Keuchel,HOU,SP,"$9,150,000"
118,mlb,2017,119,Starlin Castro,NYY,2B,"$9,000,000"
119,mlb,2017,,Francisco Cervelli,PIT,C,"$9,000,000"
120,mlb,2017,,Jason Kipnis,CLE,2B,"$9,000,000"
121,mlb,2017,,Andrew Miller,CLE,RP,"$9,000,000"
122,mlb,2017,,Salvador Perez,KC,C,"$9,000,000"
123,mlb,2017,,Huston Street,LAA,RP,"$9,000,000"
124,mlb,2017,,Edinson Volquez,MIA,SP,"$9,000,000"
125,mlb,2017,126,Charlie Morton,HOU,SP,"$8,875,000"
126,mlb,2017,127,Paul Goldschmidt,ARI,1B,"$8,850,000"
127,mlb,2017,128,Brandon Belt,SF,1B,"$8,800,000"
128,mlb,2017,129,Wade Miley,BAL,SP,"$8,750,000"
129,mlb,2017,130,Mike Moustakas,KC,3B,"$8,700,000"
130,mlb,2017,131,Jason Castro,MIN,C,"$8,500,000"
131,mlb,2017,,Brett Cecil,STL,RP,"$8,500,000"
132,mlb,2017,,Lance Lynn,STL,SP,"$8,500,000"
133,mlb,2017,134,Asdrubal Cabrera,NYM,2B,"$8,250,000"
134,mlb,2017,135,Brandon Crawford,SF,SS,"$8,000,000"
135,mlb,2017,,Ian Desmond,COL,LF,"$8,000,000"
136,mlb,2017,,Jon Jay,CHC,CF,"$8,000,000"
137,mlb,2017,,Scott Kazmir,LAD,SP,"$8,000,000"
138,mlb,2017,,Ricky Nolasco,LAA,SP,"$8,000,000"
139,mlb,2017,,Gerardo Parra,COL,LF,"$8,000,000"
140,mlb,2017,,Hector Santiago,MIN,RP,"$8,000,000"
141,mlb,2017,,Andrelton Simmons,LAA,SS,"$8,000,000"
142,mlb,2017,,Joakim Soria,KC,RP,"$8,000,000"
143,mlb,2017,,Jason Vargas,KC,SP,"$8,000,000"
144,mlb,2017,145,Corey Kluber,CLE,SP,"$7,750,000"
145,mlb,2017,146,Michael Brantley,CLE,LF,"$7,500,000"
146,mlb,2017,,R.A. Dickey,ATL,SP,"$7,500,000"
147,mlb,2017,,Josh Harrison,PIT,2B,"$7,500,000"
148,mlb,2017,,Dee Strange-Gordon,MIA,2B,"$7,500,000"
149,mlb,2017,150,Michael Pineda,NYY,SP,"$7,400,000"
150,mlb,2017,151,Cody Allen,CLE,RP,"$7,350,000"
151,mlb,2017,152,Charlie Blackmon,COL,CF,"$7,300,000"
152,mlb,2017,153,Kenta Maeda,LAD,SP,"$7,250,000"
153,mlb,2017,154,Devin Mesoraco,CIN,C,"$7,200,000"
154,mlb,2017,155,Yunel Escobar,LAA,3B,"$7,000,000"
155,mlb,2017,,Matt Moore,SF,SP,"$7,000,000"
156,mlb,2017,,Anthony Rizzo,CHC,1B,"$7,000,000"
157,mlb,2017,,Hyun-Jin Ryu,LAD,SP,"$7,000,000"
158,mlb,2017,,Seth Smith,BAL,RF,"$7,000,000"
159,mlb,2017,,Brad Ziegler,MIA,RP,"$7,000,000"
160,mlb,2017,161,Miguel Montero,TOR,C,"$6,961,773"
161,mlb,2017,162,Garrett Richards,LAA,SP,"$6,850,000"
162,mlb,2017,,Drew Smyly,SEA,SP,"$6,850,000"
163,mlb,2017,164,Jeurys Familia,NYM,RP,"$6,816,393"
164,mlb,2017,165,A.J. Pollock,ARI,CF,"$6,750,000"
165,mlb,2017,166,Jesse Chavez,LAA,RP,"$6,550,000"
166,mlb,2017,167,Carlos Carrasco,CLE,SP,"$6,500,000"
167,mlb,2017,,Alcides Escobar,KC,SS,"$6,500,000"
168,mlb,2017,,Jed Lowrie,OAK,2B,"$6,500,000"
169,mlb,2017,,Glen Perkins,MIN,RP,"$6,500,000"
170,mlb,2017,,Yasiel Puig,LAD,RF,"$6,500,000"
171,mlb,2017,,Luis Valbuena,LAA,3B,"$6,500,000"
172,mlb,2017,,Chris Young,BOS,RF,"$6,500,000"
173,mlb,2017,174,Trevor Rosenthal,STL,RP,"$6,400,000"
174,mlb,2017,175,Julio Teherán,ATL,SP,"$6,300,000"
175,mlb,2017,176,David Freese,PIT,3B,"$6,250,000"
176,mlb,2017,,Luke Gregerson,HOU,RP,"$6,250,000"
177,mlb,2017,,Steven Pearce,TOR,LF,"$6,250,000"
178,mlb,2017,179,Jean Segura,SEA,SS,"$6,200,000"
179,mlb,2017,180,Jeremy Hellickson,BAL,SP,"$6,109,289"
180,mlb,2017,181,Brian Dozier,MIN,2B,"$6,025,000"
181,mlb,2017,182,Kole Calhoun,LAA,RF,"$6,000,000"
182,mlb,2017,,Welington Castillo,BAL,C,"$6,000,000"
183,mlb,2017,,Jim Johnson,ATL,RP,"$6,000,000"
184,mlb,2017,,Mike Napoli,TEX,1B,"$6,000,000"
185,mlb,2017,,Darren O'Day,BAL,RP,"$6,000,000"
186,mlb,2017,,Tony Sipp,HOU,RP,"$6,000,000"
187,mlb,2017,,Yasmany Tomas,ARI,LF,"$6,000,000"
188,mlb,2017,,Koji Uehara,CHC,RP,"$6,000,000"
189,mlb,2017,190,Jake McGee,COL,RP,"$5,900,000"
190,mlb,2017,191,Anthony Rendon,WSH,3B,"$5,800,000"
191,mlb,2017,,Héctor Rondón,CHC,RP,"$5,800,000"
192,mlb,2017,193,Logan Forsythe,LAD,2B,"$5,750,000"
193,mlb,2017,194,Jerry Blevins,NYM,RP,"$5,500,000"
194,mlb,2017,,Santiago Casilla,OAK,RP,"$5,500,000"
195,mlb,2017,,Zach Duke,STL,RP,"$5,500,000"
196,mlb,2017,,Yasmani Grandal,LAD,C,"$5,500,000"
197,mlb,2017,,Daniel Hudson,PIT,RP,"$5,500,000"
198,mlb,2017,,Ender Inciarte,ATL,CF,"$5,500,000"
199,mlb,2017,,Shawn Kelley,WSH,RP,"$5,500,000"
200,mlb,2017,,Boone Logan,CLE,RP,"$5,500,000"
201,mlb,2017,,Mitch Moreland,BOS,1B,"$5,500,000"
202,mlb,2017,,Marc Rzepczynski,SEA,RP,"$5,500,000"
203,mlb,2017,,Pedro Strop,CHC,RP,"$5,500,000"
204,mlb,2017,,Danny Valencia,SEA,3B,"$5,500,000"
205,mlb,2017,,Matt Wieters,WSH,C,"$5,500,000"
206,mlb,2017,207,Danny Espinosa,LAA,SS,"$5,425,000"
207,mlb,2017,208,Zack Cozart,CIN,SS,"$5,325,000"
208,mlb,2017,,Kelvin Herrera,KC,RP,"$5,325,000"
209,mlb,2017,210,Evan Gattis,HOU,C,"$5,200,000"
210,mlb,2017,211,Didi Gregorius,NYY,SS,"$5,100,000"
211,mlb,2017,212,Matt Harvey,NYM,SP,"$5,040,983"
212,mlb,2017,213,Khris Davis,OAK,LF/DH,"$5,000,000"
213,mlb,2017,,Danny Duffy,KC,SP,"$5,000,000"
214,mlb,2017,,Jason Hammel,KC,SP,"$5,000,000"
215,mlb,2017,,Junichi Tazawa,MIA,RP,"$5,000,000"
216,mlb,2017,217,Todd Frazier,NYY,3B,"$4,983,624"
217,mlb,2017,,David Robertson,NYY,RP,"$4,983,624"
218,mlb,2017,219,Matt Joyce,OAK,RF,"$4,945,356"
219,mlb,2017,220,J.D. Martinez,ARI,DH,"$4,879,808"
220,mlb,2017,221,D.J. LeMahieu,COL,2B,"$4,800,000"
221,mlb,2017,222,Chris Archer,TB,SP,"$4,750,000"
222,mlb,2017,223,Justin Verlander,HOU,SP,"$4,743,169"
223,mlb,2017,224,Shelby Miller,ARI,RP,"$4,700,000"
224,mlb,2017,225,Bryan Shaw,CLE,RP,"$4,600,000"
225,mlb,2017,226,Jose Altuve,HOU,2B,"$4,500,000"
226,mlb,2017,,Xander Bogaerts,BOS,SS,"$4,500,000"
227,mlb,2017,,Yan Gomes,CLE,C,"$4,500,000"
228,mlb,2017,,Juan Lagares,NYM,CF,"$4,500,000"
