,league,season,rank,player,team,position,salary
0,mlb,2016,1,Clayton Kershaw,LAD,SP,"$32,000,000"
1,mlb,2016,2,David Price,BOS,SP,"$30,000,000"
2,mlb,2016,3,Miguel Cabrera,DET,1B,"$28,050,000"
3,mlb,2016,4,Justin Verlander,DET,SP,"$28,000,000"
4,mlb,2016,5,Yoenis Céspedes,NYM,CF,"$27,500,000"
5,mlb,2016,6,Felix Hernandez,SEA,SP,"$25,857,142"
6,mlb,2016,7,Ryan Howard,PHI,1B,"$25,000,000"
7,mlb,2016,,Albert Pujols,LAA,DH/1B,"$25,000,000"
8,mlb,2016,,CC Sabathia,NYY,SP,"$25,000,000"
9,mlb,2016,10,Robinson Canó,SEA,2B,"$24,050,000"
10,mlb,2016,11,Zack Greinke,ARI,SP,"$24,000,000"
11,mlb,2016,12,Joe Mauer,MIN,1B,"$23,000,000"
12,mlb,2016,13,Cole Hamels,TEX,SP,"$22,500,000"
13,mlb,2016,,Mark Teixeira,NYY,1B,"$22,500,000"
14,mlb,2016,15,Justin Upton,DET,LF,"$22,125,000"
15,mlb,2016,16,Hanley Ramirez,BOS,DH,"$22,000,000"
16,mlb,2016,,Masahiro Tanaka,NYY,SP,"$22,000,000"
17,mlb,2016,18,Jacoby Ellsbury,NYY,CF,"$21,142,857"
18,mlb,2016,19,Adrián González,LAD,1B,"$21,000,000"
19,mlb,2016,20,Matt Cain,SF,RP,"$20,833,333"
20,mlb,2016,21,Rick Porcello,BOS,SP,"$20,500,000"
21,mlb,2016,22,Stephen Strasburg,WSH,SP,"$20,400,000"
22,mlb,2016,23,Buster Posey,SF,C,"$20,075,000"
23,mlb,2016,24,Shin-Soo Choo,TEX,RF,"$20,000,000"
24,mlb,2016,,Jon Lester,CHC,SP,"$20,000,000"
25,mlb,2016,,Troy Tulowitzki,TOR,SS,"$20,000,000"
26,mlb,2016,,Joey Votto,CIN,1B,"$20,000,000"
27,mlb,2016,,Jered Weaver,LAA,SP,"$20,000,000"
28,mlb,2016,,C.J. Wilson,LAA,SP,"$20,000,000"
29,mlb,2016,,David Wright,NYM,3B,"$20,000,000"
