,league,season,rank,player,team,position,salary
0,mlb,2024,1,Yoshinobu Yamamoto,LAD,SP,"$55,000,000"
1,mlb,2024,2,Jose Altuve,HOU,2B,"$41,000,000"
2,mlb,2024,3,Aaron Judge,NYY,CF,"$40,000,000"
3,mlb,2024,,Jacob deGrom,TEX,SP,"$40,000,000"
4,mlb,2024,5,Will Smith,LAD,C,"$38,550,000"
5,mlb,2024,6,Anthony Rendon,LAA,3B,"$38,000,000"
6,mlb,2024,7,Carlos Correa,MIN,SS,"$36,100,000"
7,mlb,2024,8,Gerrit Cole,NYY,SP,"$36,000,000"
8,mlb,2024,9,Mike Trout,LAA,CF,"$35,450,000"
9,mlb,2024,10,Corey Seager,TEX,SS,"$34,500,000"
10,mlb,2024,11,Blake Snell,SF,SP/SP3,"$32,000,000"
11,mlb,2024,,Giancarlo Stanton,NYY,DH,"$32,000,000"
12,mlb,2024,13,Juan Soto,NYY,RF,"$31,000,000"
13,mlb,2024,14,Alex Bregman,HOU,3B,"$28,500,000"
14,mlb,2024,15,Cody Bellinger,CHC,RF/CF/1B,"$27,500,000"
15,mlb,2024,16,Trea Turner,PHI,SS,"$27,322,727"
16,mlb,2024,17,Francisco Lindor,NYM,SS,"$27,075,000"
17,mlb,2024,18,Kris Bryant,COL,1B/OF,"$27,000,000"
18,mlb,2024,,Carlos Rodon,NYY,SP,"$27,000,000"
19,mlb,2024,20,Bryce Harper,PHI,1B,"$26,100,000"
20,mlb,2024,21,Paul Goldschmidt,STL,1B,"$26,000,000"
21,mlb,2024,,Marcus Semien,TEX,2B,"$26,000,000"
22,mlb,2024,23,Xander Bogaerts,SD,2B,"$25,000,000"
23,mlb,2024,,Javier Báez,DET,SS,"$25,000,000"
24,mlb,2024,,Patrick Corbin,WSH,SP,"$25,000,000"
25,mlb,2024,,Rafael Devers,BOS,3B,"$25,000,000"
26,mlb,2024,,Tyler Glasnow,LAD,SP,"$25,000,000"
27,mlb,2024,,Jordan Montgomery,ARI,SP,"$25,000,000"
28,mlb,2024,,Dansby Swanson,CHC,SS,"$25,000,000"
