,league,season,rank,player,team,position,salary
0,nhl,2020,1,Connor McDavid,EDM,C,"$12,500,000"
1,nhl,2020,2,Artemi Panarin,NYR,LW,"$11,642,857"
2,nhl,2020,3,Auston Matthews,TOR,C,"$11,640,250"
3,nhl,2020,4,Erik Karlsson,SJS,D,"$11,500,000"
4,nhl,2020,5,Drew Doughty,LAK,D,"$11,000,000"
5,nhl,2020,,John Tavares,TOR,C,"$11,000,000"
6,nhl,2020,7,Mitchell Marner,TOR,RW,"$10,903,000"
7,nhl,2020,8,Patrick Kane,CHI,RW,"$10,500,000"
8,nhl,2020,,Carey Price,MTL,G,"$10,500,000"
9,nhl,2020,,Jonathan Toews,CHI,C,"$10,500,000"
10,nhl,2020,11,Sergei Bobrovsky,FLA,G,"$10,000,000"
11,nhl,2020,,Jack Eichel,BUF,C,"$10,000,000"
12,nhl,2020,,Anze Kopitar,LAK,C,"$10,000,000"
13,nhl,2020,14,Tyler Seguin,DAL,C,"$9,850,000"
14,nhl,2020,15,Alex Ovechkin,WAS,LW,"$9,538,462"
15,nhl,2020,16,Jamie Benn,DAL,LW,"$9,500,000"
16,nhl,2020,,Nikita Kucherov,TBL,RW,"$9,500,000"
17,nhl,2020,,Evgeni Malkin,PIT,C,"$9,500,000"
18,nhl,2020,,Mark Stone,VGK,RW,"$9,500,000"
19,nhl,2020,,Andrei Vasilevskiy,TBL,G,"$9,500,000"
20,nhl,2020,21,Mikko Rantanen,COL,RW,"$9,250,000"
21,nhl,2020,22,Nicklas Backstrom,WAS,C,"$9,200,000"
22,nhl,2020,23,Roman Josi,NSH,D,"$9,059,000"
23,nhl,2020,24,Jeff Skinner,BUF,LW,"$9,000,000"
24,nhl,2020,,P.K. Subban,NJD,D,"$9,000,000"
25,nhl,2020,26,Alex Pietrangelo,VGK,D,"$8,800,000"
26,nhl,2020,27,Sidney Crosby,PIT,C,"$8,700,000"
27,nhl,2020,28,Leon Draisaitl,EDM,C,"$8,500,000"
28,nhl,2020,,Steven Stamkos,TBL,C,"$8,500,000"
29,nhl,2020,30,Sebastian Aho,CAR,LW,"$8,460,250"
30,nhl,2020,31,Claude Giroux,PHI,C,"$8,275,000"
31,nhl,2020,32,Jakub Voracek,PHI,RW,"$8,250,063"
32,nhl,2020,33,Oliver Ekman-Larsson,ARI,D,"$8,250,000"
33,nhl,2020,,Ryan Getzlaf,ANA,C,"$8,250,000"
34,nhl,2020,,Blake Wheeler,WPG,RW,"$8,250,000"
