,league,season,rank,player,team,position,salary
0,nhl,2024,1,Auston Matthews,TOR,C,"$13,250,000"
1,nhl,2024,2,Nathan MacKinnon,COL,C,"$12,600,000"
2,nhl,2024,3,Connor McDavid,EDM,C,"$12,500,000"
3,nhl,2024,4,Artemi Panarin,NYR,LW,"$11,642,857"
4,nhl,2024,5,Elias Pettersson,VAN,C,"$11,600,000"
5,nhl,2024,6,Erik Karlsson,PIT,D,"$11,500,000"
6,nhl,2024,,William Nylander,TOR,C/RW,"$11,500,000"
7,nhl,2024,8,David Pastrnak,BOS,RW,"$11,250,000"
8,nhl,2024,9,Rasmus Dahlin,BUF,D,"$11,000,000"
9,nhl,2024,,Drew Doughty,LAK,D,"$11,000,000"
10,nhl,2024,,John Tavares,TOR,C,"$11,000,000"
11,nhl,2024,12,Mitchell Marner,TOR,RW,"$10,903,000"
12,nhl,2024,13,Jonathan Huberdeau,CGY,LW,"$10,500,000"
13,nhl,2024,,Carey Price,MTL,G,"$10,500,000"
14,nhl,2024,15,Aleksander Barkov,FLA,C,"$10,000,000"
15,nhl,2024,,Sergei Bobrovsky,FLA,G,"$10,000,000"
16,nhl,2024,,Jack Eichel,VGK,C,"$10,000,000"
17,nhl,2024,18,Tyler Seguin,DAL,C,"$9,850,000"
18,nhl,2024,19,Sebastian Aho,CAR,LW,"$9,750,000"
19,nhl,2024,20,Zachary Werenski,CBJ,D,"$9,583,333"
20,nhl,2024,21,Jamie Benn,DAL,LW,"$9,500,000"
21,nhl,2024,,Adam Fox,NYR,D,"$9,500,000"
22,nhl,2024,,Seth Jones,FLA,D,"$9,500,000"
23,nhl,2024,,Nikita Kucherov,TBL,RW,"$9,500,000"
24,nhl,2024,,Charlie McAvoy,BOS,D,"$9,500,000"
25,nhl,2024,,Alex Ovechkin,WAS,LW,"$9,500,000"
26,nhl,2024,,Brayden Point,TBL,C,"$9,500,000"
27,nhl,2024,,Mark Stone,VGK,RW,"$9,500,000"
28,nhl,2024,,Matthew Tkachuk,FLA,LW,"$9,500,000"
29,nhl,2024,,Andrei Vasilevskiy,TBL,G,"$9,500,000"
30,nhl,2024,31,Darnell Nurse,EDM,D,"$9,250,000"
31,nhl,2024,,Mikko Rantanen,DAL,RW,"$9,250,000"
32,nhl,2024,33,Nicklas Backstrom,WAS,C,"$9,200,000"
33,nhl,2024,34,Mathew Barzal,NYI,C,"$9,150,000"
34,nhl,2024,35,Roman Josi,NSH,D,"$9,059,000"
35,nhl,2024,36,Jake Guentzel,TBL,C/LW,"$9,000,000"
36,nhl,2024,,Dougie Hamilton,NJD,D,"$9,000,000"
37,nhl,2024,,Kirill Kaprizov,MIN,LW,"$9,000,000"
38,nhl,2024,,Cale Makar,COL,D,"$9,000,000"
39,nhl,2024,40,Timo Meier,NJD,LW,"$8,800,000"
40,nhl,2024,,Alex Pietrangelo,VGK,D,"$8,800,000"
41,nhl,2024,42,Sidney Crosby,PIT,C,"$8,700,000"
42,nhl,2024,,Patrik Laine,MTL,RW,"$8,700,000"
43,nhl,2024,,Dylan Larkin,DET,C,"$8,700,000"
44,nhl,2024,45,Sam Reinhart,FLA,C,"$8,625,000"
45,nhl,2024,46,Moritz Seider,DET,D,"$8,550,000"
46,nhl,2024,47,Leon Draisaitl,EDM,C,"$8,500,000"
47,nhl,2024,,Pierre-Luc Dubois,WAS,LW,"$8,500,000"
48,nhl,2024,,Filip Forsberg,NSH,C,"$8,500,000"
49,nhl,2024,,Connor Hellebuyck,WPG,G,"$8,500,000"
50,nhl,2024,,Bo Horvat,NYI,C,"$8,500,000"
51,nhl,2024,,Mark Scheifele,WPG,C,"$8,500,000"
52,nhl,2024,,Mikhail Sergachev,UTA,D,"$8,500,000"
53,nhl,2024,,Mika Zibanejad,NYR,C,"$8,500,000"
54,nhl,2024,55,Miro Heiskanen,DAL,D,"$8,450,000"
55,nhl,2024,,Roope Hintz,DAL,LW,"$8,450,000"
56,nhl,2024,57,Owen Power,BUF,D,"$8,350,000"
57,nhl,2024,,Tim Stützle,OTT,C,"$8,350,000"
58,nhl,2024,59,Ilya Sorokin,NYI,G,"$8,250,000"
59,nhl,2024,,Jeremy Swayman,BOS,G,"$8,250,000"
60,nhl,2024,61,Brady Tkachuk,OTT,LW,"$8,205,714"
61,nhl,2024,62,Tomas Hertl,VGK,C,"$8,137,500"
62,nhl,2024,63,Jordan Kyrou,STL,C,"$8,125,000"
63,nhl,2024,,Robert Thomas,STL,C,"$8,125,000"
64,nhl,2024,65,Lucas Raymond,DET,RW,"$8,075,000"
65,nhl,2024,66,Jake Sanderson,OTT,D,"$8,050,000"
66,nhl,2024,67,Brent Burns,CAR,D,"$8,000,000"
67,nhl,2024,,John Carlson,WAS,D,"$8,000,000"
68,nhl,2024,,Thomas Chabot,OTT,D,"$8,000,000"
69,nhl,2024,,Logan Couture,SJS,C,"$8,000,000"
70,nhl,2024,,Jack Hughes,NJD,C,"$8,000,000"
71,nhl,2024,,J.T. Miller,NYR,C,"$8,000,000"
72,nhl,2024,,Steven Stamkos,NSH,C,"$8,000,000"
73,nhl,2024,,Jacob Trouba,ANA,D,"$8,000,000"
74,nhl,2024,75,Josh Norris,BUF,C,"$7,950,000"
75,nhl,2024,76,Jesper Bratt,NJD,LW,"$7,875,000"
76,nhl,2024,,Alexander Debrincat,DET,RW,"$7,875,000"
77,nhl,2024,,Kevin Fiala,LAK,LW,"$7,875,000"
78,nhl,2024,,Victor Hedman,TBL,D,"$7,875,000"
79,nhl,2024,,Nick Suzuki,MTL,C,"$7,875,000"
80,nhl,2024,81,Shea Weber,CHI,D,"$7,857,143"
81,nhl,2024,82,Cole Caufield,MTL,RW,"$7,850,000"
82,nhl,2024,,Quinn Hughes,VAN,D,"$7,850,000"
83,nhl,2024,84,Sean Couturier,PHI,C,"$7,750,000"
84,nhl,2024,,Elias Lindholm,BOS,C/RW,"$7,750,000"
85,nhl,2024,,Dmitry Orlov,CAR,D,"$7,750,000"
86,nhl,2024,,Jason Robertson,DAL,LW,"$7,750,000"
87,nhl,2024,,Andrei Svechnikov,CAR,RW,"$7,750,000"
88,nhl,2024,89,Jared Spurgeon,MIN,D,"$7,575,000"
89,nhl,2024,90,Aaron Ekblad,FLA,D,"$7,500,000"
90,nhl,2024,,Morgan Rielly,TOR,D,"$7,500,000"
91,nhl,2024,92,Seth Jarvis,CAR,RW,"$7,420,087"
92,nhl,2024,93,Vince Dunn,SEA,D,"$7,350,000"
93,nhl,2024,,Noah Hanifin,VGK,D,"$7,350,000"
94,nhl,2024,95,Nico Hischier,NJD,C,"$7,250,000"
95,nhl,2024,,Filip Hronek,VAN,D,"$7,250,000"
96,nhl,2024,,Devon Toews,COL,D,"$7,250,000"
97,nhl,2024,98,Clayton Keller,UTA,C,"$7,150,000"
98,nhl,2024,99,Matthew Beniers,SEA,C,"$7,142,857"
99,nhl,2024,,Kyle Connor,WPG,LW,"$7,142,857"
100,nhl,2024,,Kevin Hayes,PIT,C,"$7,142,857"
101,nhl,2024,,Brandon Montour,SEA,D,"$7,142,857"
102,nhl,2024,,Tage Thompson,BUF,C,"$7,142,857"
103,nhl,2024,104,Timmy Washe,ANA,C,"$7,117,500"
104,nhl,2024,105,Dylan Cozens,OTT,C,"$7,100,000"
105,nhl,2024,106,Matthew Boldy,MIN,LW,"$7,000,000"
106,nhl,2024,,Nazem Kadri,CGY,C,"$7,000,000"
107,nhl,2024,,Anze Kopitar,LAK,C,"$7,000,000"
108,nhl,2024,,Gabriel Landeskog,COL,LW,"$7,000,000"
109,nhl,2024,,Anders Lee,NYI,C,"$7,000,000"
110,nhl,2024,,Brady Skjei,NSH,D,"$7,000,000"
111,nhl,2024,,Troy Terry,ANA,RW,"$7,000,000"
112,nhl,2024,,Marc-Edouard Vlasic,SJS,D,"$7,000,000"
113,nhl,2024,114,Ryan McDonagh,TBL,D,"$6,750,000"
114,nhl,2024,115,Brock Boeser,VAN,RW,"$6,650,000"
115,nhl,2024,116,Justin Faulk,STL,D,"$6,500,000"
116,nhl,2024,,Cam Fowler,STL,D,"$6,500,000"
117,nhl,2024,,Brendan Gallagher,MTL,RW,"$6,500,000"
118,nhl,2024,,Claude Giroux,OTT,C,"$6,500,000"
119,nhl,2024,,Brandon Hagel,TBL,LW,"$6,500,000"
120,nhl,2024,,Chris Kreider,NYR,LW,"$6,500,000"
121,nhl,2024,,Torey Krug,STL,D,"$6,500,000"
122,nhl,2024,,Hampus Lindholm,BOS,D,"$6,500,000"
123,nhl,2024,,Martin Necas,COL,C,"$6,500,000"
124,nhl,2024,,Colton Parayko,STL,D,"$6,500,000"
125,nhl,2024,,Brayden Schenn,STL,C,"$6,500,000"
126,nhl,2024,,Thomas Wilson,WAS,RW,"$6,500,000"
127,nhl,2024,128,John Gibson,ANA,G,"$6,400,000"
128,nhl,2024,129,Quinton Byfield,LAK,C,"$6,250,000"
129,nhl,2024,,Anthony Cirelli,TBL,C,"$6,250,000"
130,nhl,2024,,Mattias Ekholm,EDM,D,"$6,250,000"
131,nhl,2024,,Ryan Ellis,PHI,D,"$6,250,000"
132,nhl,2024,,Alexander Killorn,ANA,C,"$6,250,000"
133,nhl,2024,,Joshua Morrissey,WPG,D,"$6,250,000"
134,nhl,2024,,Jeff Petry,DET,D,"$6,250,000"
135,nhl,2024,,Travis Sanheim,PHI,D,"$6,250,000"
136,nhl,2024,,Damon Severson,CBJ,D,"$6,250,000"
137,nhl,2024,,Chandler Stephenson,SEA,C,"$6,250,000"
138,nhl,2024,,MacKenzie Weegar,CGY,D,"$6,250,000"
139,nhl,2024,140,Owen Tippett,PHI,RW,"$6,200,000"
140,nhl,2024,141,Ryan Pulock,NYI,D,"$6,150,000"
141,nhl,2024,142,Brad Marchand,FLA,LW,"$6,125,000"
142,nhl,2024,,Valeri Nichushkin,COL,RW,"$6,125,000"
143,nhl,2024,144,Kris Letang,PIT,D,"$6,100,000"
144,nhl,2024,,Evgeni Malkin,PIT,C,"$6,100,000"
145,nhl,2024,146,Jordan Binnington,STL,G,"$6,000,000"
146,nhl,2024,,Jonas Brodin,MIN,D,"$6,000,000"
147,nhl,2024,,Sean Durzi,UTA,D,"$6,000,000"
148,nhl,2024,,Nikolaj Ehlers,WPG,LW,"$6,000,000"
149,nhl,2024,,Taylor Hall,CAR,LW,"$6,000,000"
150,nhl,2024,,Brock Nelson,COL,C,"$6,000,000"
151,nhl,2024,,Ondrej Palat,NJD,LW,"$6,000,000"
152,nhl,2024,,Tyler Toffoli,SJS,RW/LW,"$6,000,000"
153,nhl,2024,154,Phillip Grubauer,SEA,G,"$5,900,000"
154,nhl,2024,,William Karlsson,VGK,C,"$5,900,000"
155,nhl,2024,156,Vladislav Gavrikov,LAK,D,"$5,875,000"
156,nhl,2024,,Neal Pionk,WPG,D,"$5,875,000"
157,nhl,2024,158,Nick Schmaltz,UTA,C,"$5,850,000"
158,nhl,2024,159,Pavel Buchnevich,STL,LW,"$5,800,000"
159,nhl,2024,,Esa Lindell,DAL,D,"$5,800,000"
160,nhl,2024,,Andrew Mangiapane,WAS,LW,"$5,800,000"
161,nhl,2024,162,Gustav Forsling,FLA,D,"$5,750,000"
162,nhl,2024,,Casey Mittelstadt,BOS,C,"$5,750,000"
163,nhl,2024,,T.J. Oshie,WAS,RW,"$5,750,000"
164,nhl,2024,,Adam Pelech,NYI,D,"$5,750,000"
165,nhl,2024,,Matt Roy,WAS,D,"$5,750,000"
166,nhl,2024,,Trevor Zegras,ANA,C,"$5,750,000"
167,nhl,2024,168,Igor Shesterkin,NYR,G,"$5,666,667"
168,nhl,2024,169,Andrew Copp,DET,C,"$5,625,000"
169,nhl,2024,,Vincent Trocheck,NYR,C,"$5,625,000"
170,nhl,2024,171,Josh Anderson,MTL,RW,"$5,500,000"
171,nhl,2024,,Tyler Bertuzzi,CHI,LW,"$5,500,000"
172,nhl,2024,,Andre Burakovsky,SEA,LW,"$5,500,000"
173,nhl,2024,,Phillip Danault,LAK,C,"$5,500,000"
174,nhl,2024,,Jake DeBrusk,VAN,LW,"$5,500,000"
175,nhl,2024,,Zach Hyman,EDM,C,"$5,500,000"
176,nhl,2024,,Adrian Kempe,LAK,LW,"$5,500,000"
177,nhl,2024,,Travis Konecny,PHI,C,"$5,500,000"
178,nhl,2024,,Andrei Kuzmenko,LAK,LW,"$5,500,000"
179,nhl,2024,,Jonathan Marchessault,NSH,C,"$5,500,000"
180,nhl,2024,,Sean Monahan,CBJ,C,"$5,500,000"
181,nhl,2024,,Brett Pesce,NJD,D,"$5,500,000"
182,nhl,2024,,Jaden Schwartz,SEA,LW,"$5,500,000"
183,nhl,2024,184,Oliver Bjorkstrand,TBL,RW,"$5,400,000"
184,nhl,2024,,Elvis Merzlikins,CBJ,G,"$5,400,000"
185,nhl,2024,,Teuvo Teravainen,CHI,C/LW/RW,"$5,400,000"
186,nhl,2024,187,Tristan Jarry,PIT,G,"$5,375,000"
187,nhl,2024,188,Jaccob Slavin,CAR,D,"$5,300,000"
188,nhl,2024,189,Charlie Coyle,COL,C,"$5,250,000"
189,nhl,2024,,Joel Eriksson Ek,MIN,C,"$5,250,000"
190,nhl,2024,,Darcy Kuemper,LAK,G,"$5,250,000"
191,nhl,2024,192,Erik Cernak,TBL,D,"$5,200,000"
192,nhl,2024,,Shea Theodore,VGK,D,"$5,200,000"
193,nhl,2024,194,Yanni Gourde,TBL,C,"$5,166,666"
194,nhl,2024,195,Evander Kane,EDM,LW,"$5,125,000"
195,nhl,2024,,Ryan Nugent-Hopkins,EDM,C,"$5,125,000"
196,nhl,2024,,Bryan Rust,PIT,RW,"$5,125,000"
197,nhl,2024,198,J.T Compher,DET,C,"$5,100,000"
198,nhl,2024,,Rasmus Ristolainen,PHI,D,"$5,100,000"
199,nhl,2024,200,Ivan Barbashev,VGK,C,"$5,000,000"
200,nhl,2024,,Thatcher Demko,VAN,G,"$5,000,000"
201,nhl,2024,,Joel Farabee,CGY,LW,"$5,000,000"
202,nhl,2024,,Samuel Girard,COL,D,"$5,000,000"
203,nhl,2024,,Mikael Granlund,DAL,C,"$5,000,000"
204,nhl,2024,,Anton Lundell,FLA,C,"$5,000,000"
205,nhl,2024,,Jared McCann,SEA,LW,"$5,000,000"
206,nhl,2024,,Jean-Gabriel Pageau,NYI,C,"$5,000,000"
207,nhl,2024,,Kyle Palmieri,NYI,RW,"$5,000,000"
208,nhl,2024,,Rickard Rakell,PIT,C,"$5,000,000"
209,nhl,2024,,Juuse Saros,NSH,G,"$5,000,000"
210,nhl,2024,,Reilly Smith,VGK,RW,"$5,000,000"
211,nhl,2024,,Dylan Strome,WAS,C,"$5,000,000"
212,nhl,2024,,Ryan Strome,ANA,C,"$5,000,000"
213,nhl,2024,,Linus Ullmark,OTT,G,"$5,000,000"
214,nhl,2024,,Alexander Wennberg,SJS,C,"$5,000,000"
215,nhl,2024,,Nikita Zadorov,BOS,D,"$5,000,000"
216,nhl,2024,,Jason Zucker,BUF,LW/RW,"$5,000,000"
217,nhl,2024,218,Drake Batherson,OTT,C,"$4,975,000"
218,nhl,2024,219,Conor Garland,VAN,RW,"$4,950,000"
219,nhl,2024,220,Blake Coleman,CGY,C,"$4,900,000"
220,nhl,2024,,Dylan Demelo,WPG,D,"$4,900,000"
221,nhl,2024,,Adin Hill,VGK,G,"$4,900,000"
222,nhl,2024,223,Michael Matheson,MTL,D,"$4,875,000"
223,nhl,2024,224,Jesperi Kotkaniemi,CAR,C,"$4,820,000"
224,nhl,2024,225,Ben Chiarot,DET,D,"$4,750,000"
225,nhl,2024,,Jordan Eberle,SEA,RW,"$4,750,000"
226,nhl,2024,,Ville Husso,ANA,G,"$4,750,000"
227,nhl,2024,,Ukko-Pekka Luukkonen,BUF,G,"$4,750,000"
228,nhl,2024,,Ilya Mikheyev,CHI,LW,"$4,750,000"
229,nhl,2024,,Vladimir Tarasenko,DET,RW,"$4,750,000"
230,nhl,2024,,Alex Tuch,BUF,RW,"$4,750,000"
231,nhl,2024,,Pavel Zacha,BOS,C,"$4,750,000"
232,nhl,2024,233,Ivan Provorov,CBJ,D,"$4,725,000"
233,nhl,2024,234,Jakob Chychrun,WAS,D,"$4,600,000"
234,nhl,2024,,Jamie Oleksiak,SEA,D,"$4,600,000"
235,nhl,2024,,Rasmus Sandin,WAS,D,"$4,600,000"
236,nhl,2024,,Alex Vlasic,CHI,D,"$4,600,000"
237,nhl,2024,,Artem Zub,OTT,D,"$4,600,000"
238,nhl,2024,239,Philip Broberg,STL,D,"$4,580,917"
239,nhl,2024,240,Rasmus Andersson,CGY,D,"$4,550,000"
240,nhl,2024,241,Mikael Backlund,CGY,C,"$4,500,000"
241,nhl,2024,,Michael Bunting,NSH,LW,"$4,500,000"
242,nhl,2024,,Nick Foligno,CHI,LW/RW,"$4,500,000"
243,nhl,2024,,Ryan Graves,PIT,D,"$4,500,000"
244,nhl,2024,,Spencer Knight,CHI,G,"$4,500,000"
245,nhl,2024,,Artturi Lehkonen,COL,LW,"$4,500,000"
246,nhl,2024,,Ryan Lindgren,COL,D,"$4,500,000"
247,nhl,2024,,Josh Manson,COL,D,"$4,500,000"
248,nhl,2024,,Mason Marchment,DAL,LW,"$4,500,000"
249,nhl,2024,,Ryan O'Reilly,NSH,C,"$4,500,000"
250,nhl,2024,,Chris Tanev,TOR,D,"$4,500,000"
251,nhl,2024,252,Christian Dvorak,MTL,C,"$4,450,000"
252,nhl,2024,253,Filip Chytil,VAN,LW,"$4,437,500"
253,nhl,2024,254,Sam Bennett,FLA,C,"$4,425,000"
254,nhl,2024,255,John Marino,UTA,D,"$4,400,000"
255,nhl,2024,,Connor Murphy,CHI,D,"$4,400,000"
256,nhl,2024,257,Lawson Crouse,UTA,LW,"$4,300,000"
257,nhl,2024,258,Mattias Samuelsson,BUF,D,"$4,285,714"
258,nhl,2024,259,Jason Dickinson,CHI,C,"$4,250,000"
259,nhl,2024,,Petr Mrazek,DET,G,"$4,250,000"
260,nhl,2024,261,Trevor Moore,LAK,LW,"$4,200,000"
261,nhl,2024,262,Carter Verhaeghe,FLA,C,"$4,166,667"
262,nhl,2024,263,Michael Anderson,LAK,D,"$4,125,000"
263,nhl,2024,,Jacob Markstrom,NJD,G,"$4,125,000"
264,nhl,2024,,Mats Zuccarello-Aasen,MIN,RW/LW,"$4,125,000"
265,nhl,2024,266,Brandon Carlo,TOR,D,"$4,100,000"
266,nhl,2024,267,Nick Jensen,OTT,D,"$4,050,000"
267,nhl,2024,268,Marcus Pettersson,VAN,D,"$4,025,175"
268,nhl,2024,269,Viktor Arvidsson,EDM,LW/RW,"$4,000,000"
269,nhl,2024,,Ross Colton,COL,C,"$4,000,000"
270,nhl,2024,,Brenden Dillon,NJD,D,"$4,000,000"
271,nhl,2024,,Noah Dobson,NYI,D,"$4,000,000"
272,nhl,2024,,Robby Fabbri,ANA,C,"$4,000,000"
273,nhl,2024,,Marcus Foligno,MIN,LW,"$4,000,000"
274,nhl,2024,,Radko Gudas,ANA,D,"$4,000,000"
275,nhl,2024,,Erik Gudbranson,CBJ,D,"$4,000,000"
276,nhl,2024,,Thomas Harley,DAL,D,"$4,000,000"
277,nhl,2024,,Ryan Hartman,MIN,RW,"$4,000,000"
278,nhl,2024,,Alex Iafallo,WPG,C,"$4,000,000"
279,nhl,2024,,Patrick Kane,DET,RW/C,"$4,000,000"
280,nhl,2024,,Joonas Korpisalo,BOS,G,"$4,000,000"
281,nhl,2024,,Adam Larsson,SEA,D,"$4,000,000"
282,nhl,2024,,Nick Leddy,STL,D,"$4,000,000"
283,nhl,2024,,Alec Martinez,CHI,D,"$4,000,000"
284,nhl,2024,,Jake McCabe,TOR,D,"$4,000,000"
285,nhl,2024,,Dawson Mercer,NJD,RW,"$4,000,000"
286,nhl,2024,,Nino Niederreiter,WPG,RW,"$4,000,000"
287,nhl,2024,,Jake Oettinger,DAL,G,"$4,000,000"
288,nhl,2024,,David Perron,OTT,LW/RW,"$4,000,000"
289,nhl,2024,290,Evan Bouchard,EDM,D,"$3,900,000"
290,nhl,2024,291,K'Andre Miller,NYR,D,"$3,872,000"
291,nhl,2024,292,Jake Allen,NJD,G,"$3,850,000"
292,nhl,2024,,Bowen Byram,BUF,D,"$3,850,000"
293,nhl,2024,,Joel Edmundson,LAK,D,"$3,850,000"
294,nhl,2024,,Kirill Marchenko,CBJ,LW,"$3,850,000"
295,nhl,2024,296,T.J. Brodie,CHI,D,"$3,750,000"
296,nhl,2024,,Alex Carrier,MTL,D,"$3,750,000"
297,nhl,2024,,Max Domi,TOR,LW/C,"$3,750,000"
298,nhl,2024,,Mathew Dumba,DAL,D,"$3,750,000"
299,nhl,2024,,Filip Gustavsson,MIN,G,"$3,750,000"
300,nhl,2024,,Boone Jenner,CBJ,C,"$3,750,000"
301,nhl,2024,,Shane Pinto,OTT,C,"$3,750,000"
302,nhl,2024,303,Frank Vatrano,ANA,LW,"$3,650,000"
303,nhl,2024,304,Barclay Goodrow,SJS,LW,"$3,641,666"
304,nhl,2024,305,Sean Walker,CAR,D,"$3,600,000"
305,nhl,2024,306,Anthony Duclair,NYI,LW/RW,"$3,500,000"
306,nhl,2024,,Oliver Ekman-Larsson,TOR,D,"$3,500,000"
307,nhl,2024,,Warren Foegele,LAK,LW,"$3,500,000"
308,nhl,2024,,Alexander Kerfoot,UTA,C,"$3,500,000"
309,nhl,2024,,Anthony Mantha,CGY,RW,"$3,500,000"
310,nhl,2024,,Scott Mayfield,NYI,D,"$3,500,000"
311,nhl,2024,,Thomas Novak,PIT,C,"$3,500,000"
312,nhl,2024,,David Savard,MTL,D,"$3,500,000"
313,nhl,2024,,Brandon Tanev,WPG,C,"$3,500,000"
314,nhl,2024,,Yakov Trenin,MIN,C,"$3,500,000"
315,nhl,2024,316,Eeli Tolvanen,SEA,RW,"$3,475,000"
316,nhl,2024,317,Gabe Vilardi,WPG,C,"$3,437,500"
317,nhl,2024,318,Matias Maccelli,UTA,LW,"$3,425,000"
318,nhl,2024,319,Frederik Andersen,CAR,G,"$3,400,000"
319,nhl,2024,,Joel Armia,MTL,RW,"$3,400,000"
320,nhl,2024,,Alexander Georgiev,SJS,G,"$3,400,000"
