,league,season,rank,player,team,position,salary
0,nhl,2022,1,Connor McDavid,EDM,C,"$12,500,000"
1,nhl,2022,2,Artemi Panarin,NYR,LW,"$11,642,857"
2,nhl,2022,3,Auston Matthews,TOR,C,"$11,640,250"
3,nhl,2022,4,Erik Karlsson,SJS,D,"$11,500,000"
4,nhl,2022,5,Drew Doughty,LAK,D,"$11,000,000"
5,nhl,2022,,John Tavares,TOR,C,"$11,000,000"
6,nhl,2022,7,Mitchell Marner,TOR,RW,"$10,903,000"
7,nhl,2022,8,Patrick Kane,NYR,RW,"$10,500,000"
8,nhl,2022,,Carey Price,MTL,G,"$10,500,000"
9,nhl,2022,,Jonathan Toews,CHI,C,"$10,500,000"
10,nhl,2022,11,Aleksander Barkov,FLA,C,"$10,000,000"
11,nhl,2022,,Sergei Bobrovsky,FLA,G,"$10,000,000"
12,nhl,2022,,Jack Eichel,VGK,C,"$10,000,000"
13,nhl,2022,,Anze Kopitar,LAK,C,"$10,000,000"
14,nhl,2022,15,Tyler Seguin,DAL,C,"$9,850,000"
15,nhl,2022,16,Johnny Gaudreau,CBJ,LW,"$9,750,000"
16,nhl,2022,17,Zachary Werenski,CBJ,D,"$9,583,333"
17,nhl,2022,18,Jamie Benn,DAL,LW,"$9,500,000"
18,nhl,2022,,Adam Fox,NYR,D,"$9,500,000"
19,nhl,2022,,Seth Jones,CHI,D,"$9,500,000"
20,nhl,2022,,Nikita Kucherov,TBL,RW,"$9,500,000"
21,nhl,2022,,Charlie McAvoy,BOS,D,"$9,500,000"
22,nhl,2022,,Alex Ovechkin,WAS,LW,"$9,500,000"
23,nhl,2022,,Brayden Point,TBL,C,"$9,500,000"
24,nhl,2022,,Mark Stone,VGK,RW,"$9,500,000"
25,nhl,2022,,Matthew Tkachuk,FLA,LW,"$9,500,000"
26,nhl,2022,,Andrei Vasilevskiy,TBL,G,"$9,500,000"
27,nhl,2022,28,Darnell Nurse,EDM,D,"$9,250,000"
28,nhl,2022,,Mikko Rantanen,COL,RW,"$9,250,000"
29,nhl,2022,30,Nicklas Backstrom,WAS,C,"$9,200,000"
30,nhl,2022,31,Roman Josi,NSH,D,"$9,059,000"
31,nhl,2022,32,Dougie Hamilton,NJD,D,"$9,000,000"
32,nhl,2022,,Kirill Kaprizov,MIN,LW,"$9,000,000"
33,nhl,2022,,Cale Makar,COL,D,"$9,000,000"
34,nhl,2022,,Jeff Skinner,BUF,LW,"$9,000,000"
35,nhl,2022,36,Alex Pietrangelo,VGK,D,"$8,800,000"
36,nhl,2022,37,Sidney Crosby,PIT,C,"$8,700,000"
37,nhl,2022,,Patrik Laine,CBJ,RW,"$8,700,000"
38,nhl,2022,39,Leon Draisaitl,EDM,C,"$8,500,000"
39,nhl,2022,,Filip Forsberg,NSH,C,"$8,500,000"
40,nhl,2022,,Steven Stamkos,TBL,C,"$8,500,000"
41,nhl,2022,,Mika Zibanejad,NYR,C,"$8,500,000"
42,nhl,2022,43,Sebastian Aho,CAR,LW,"$8,460,250"
43,nhl,2022,44,Miro Heiskanen,DAL,D,"$8,450,000"
44,nhl,2022,45,Jakub Voracek,ARI,RW,"$8,250,063"
45,nhl,2022,46,Oliver Ekman-Larsson,VAN,D,"$8,250,000"
46,nhl,2022,,Blake Wheeler,WPG,RW,"$8,250,000"
47,nhl,2022,48,Brady Tkachuk,OTT,LW,"$8,205,714"
48,nhl,2022,49,Tomas Hertl,SJS,C,"$8,137,500"
49,nhl,2022,50,Brent Burns,CAR,D,"$8,000,000"
50,nhl,2022,,John Carlson,WAS,D,"$8,000,000"
51,nhl,2022,,Thomas Chabot,OTT,D,"$8,000,000"
52,nhl,2022,,Logan Couture,SJS,C,"$8,000,000"
53,nhl,2022,,Matt Duchene,NSH,C,"$8,000,000"
54,nhl,2022,,Jack Hughes,NJD,C,"$8,000,000"
55,nhl,2022,,Ryan Johansen,NSH,C,"$8,000,000"
56,nhl,2022,,Jacob Trouba,NYR,D,"$8,000,000"
57,nhl,2022,58,Josh Norris,OTT,C,"$7,950,000"
58,nhl,2022,59,Kevin Fiala,LAK,LW,"$7,875,000"
59,nhl,2022,,Victor Hedman,TBL,D,"$7,875,000"
60,nhl,2022,,Nick Suzuki,MTL,C,"$7,875,000"
61,nhl,2022,62,Shea Weber,ARI,D,"$7,857,143"
62,nhl,2022,63,Quinn Hughes,VAN,D,"$7,850,000"
63,nhl,2022,64,Evgeny Kuznetsov,WAS,C,"$7,800,000"
64,nhl,2022,65,Sean Couturier,PHI,C,"$7,750,000"
65,nhl,2022,,Jason Robertson,DAL,LW,"$7,750,000"
66,nhl,2022,,Andrei Svechnikov,CAR,RW,"$7,750,000"
67,nhl,2022,68,Jared Spurgeon,MIN,D,"$7,575,000"
68,nhl,2022,69,Aaron Ekblad,FLA,D,"$7,500,000"
69,nhl,2022,,Ryan O'Reilly,TOR,C,"$7,500,000"
70,nhl,2022,,Morgan Rielly,TOR,D,"$7,500,000"
71,nhl,2022,,Vladimir Tarasenko,NYR,RW,"$7,500,000"
72,nhl,2022,73,Elias Pettersson,VAN,C,"$7,350,000"
73,nhl,2022,74,Nico Hischier,NJD,C,"$7,250,000"
74,nhl,2022,75,Clayton Keller,ARI,C,"$7,150,000"
75,nhl,2022,76,Kyle Connor,WPG,LW,"$7,142,857"
76,nhl,2022,,Kevin Hayes,PHI,C,"$7,142,857"
77,nhl,2022,78,Mathew Barzal,NYI,C,"$7,000,000"
78,nhl,2022,,Nazem Kadri,CGY,C,"$7,000,000"
79,nhl,2022,,John Klingberg,MIN,D,"$7,000,000"
80,nhl,2022,,Gabriel Landeskog,COL,LW,"$7,000,000"
81,nhl,2022,,Anders Lee,NYI,C,"$7,000,000"
82,nhl,2022,,Max Pacioretty,CAR,LW,"$7,000,000"
83,nhl,2022,,James Van Riemsdyk,PHI,LW,"$7,000,000"
84,nhl,2022,,Marc-Edouard Vlasic,SJS,D,"$7,000,000"
85,nhl,2022,86,William Nylander,TOR,C,"$6,962,366"
86,nhl,2022,87,Brent Seabrook,TBL,D,"$6,875,000"
87,nhl,2022,88,Ryan McDonagh,NSH,D,"$6,750,000"
88,nhl,2022,,Ivan Provorov,PHI,D,"$6,750,000"
89,nhl,2022,90,David Pastrnak,BOS,RW,"$6,666,666"
90,nhl,2022,91,Brock Boeser,VAN,RW,"$6,650,000"
91,nhl,2022,92,Justin Faulk,STL,D,"$6,500,000"
92,nhl,2022,,Cam Fowler,ANA,D,"$6,500,000"
93,nhl,2022,,Brendan Gallagher,MTL,RW,"$6,500,000"
94,nhl,2022,,Claude Giroux,OTT,C,"$6,500,000"
95,nhl,2022,,Chris Kreider,NYR,LW,"$6,500,000"
96,nhl,2022,,Torey Krug,STL,D,"$6,500,000"
97,nhl,2022,,Hampus Lindholm,BOS,D,"$6,500,000"
98,nhl,2022,,Colton Parayko,STL,D,"$6,500,000"
99,nhl,2022,,Sam Reinhart,FLA,C,"$6,500,000"
100,nhl,2022,,Brayden Schenn,STL,C,"$6,500,000"
101,nhl,2022,102,Alexander Debrincat,OTT,RW,"$6,400,000"
102,nhl,2022,,John Gibson,ANA,G,"$6,400,000"
103,nhl,2022,104,Sean Monahan,MTL,C,"$6,375,000"
104,nhl,2022,105,Nathan MacKinnon,COL,C,"$6,300,000"
105,nhl,2022,106,Mattias Ekholm,EDM,D,"$6,250,000"
106,nhl,2022,,Ryan Ellis,PHI,D,"$6,250,000"
107,nhl,2022,,Joshua Morrissey,WPG,D,"$6,250,000"
108,nhl,2022,,Matthew Murray,TOR,G,"$6,250,000"
109,nhl,2022,,Jeff Petry,PIT,D,"$6,250,000"
110,nhl,2022,111,Connor Hellebuyck,WPG,G,"$6,166,666"
111,nhl,2022,112,Ryan Pulock,NYI,D,"$6,150,000"
112,nhl,2022,113,Brad Marchand,BOS,LW,"$6,125,000"
113,nhl,2022,,Valeri Nichushkin,COL,RW,"$6,125,000"
114,nhl,2022,,Mark Scheifele,WPG,C,"$6,125,000"
115,nhl,2022,116,Dylan Larkin,DET,C,"$6,100,000"
116,nhl,2022,,Kris Letang,PIT,D,"$6,100,000"
117,nhl,2022,,Evgeni Malkin,PIT,C,"$6,100,000"
118,nhl,2022,119,Jordan Binnington,STL,G,"$6,000,000"
119,nhl,2022,,Jonas Brodin,MIN,D,"$6,000,000"
120,nhl,2022,,Rasmus Dahlin,BUF,D,"$6,000,000"
121,nhl,2022,,Pierre-Luc Dubois,WPG,LW,"$6,000,000"
122,nhl,2022,,Mathew Dumba,MIN,D,"$6,000,000"
123,nhl,2022,,Nikolaj Ehlers,WPG,LW,"$6,000,000"
124,nhl,2022,,Jake Guentzel,PIT,C,"$6,000,000"
125,nhl,2022,,Taylor Hall,BOS,LW,"$6,000,000"
126,nhl,2022,,Erik Johnson,COL,D,"$6,000,000"
127,nhl,2022,,Milan Lucic,CGY,LW,"$6,000,000"
128,nhl,2022,,Jacob Markstrom,CGY,G,"$6,000,000"
129,nhl,2022,,Timo Meier,NJD,LW,"$6,000,000"
130,nhl,2022,,Tyler Myers,VAN,D,"$6,000,000"
131,nhl,2022,,Brock Nelson,NYI,C,"$6,000,000"
132,nhl,2022,,Kyle Okposo,BUF,RW,"$6,000,000"
133,nhl,2022,,Ondrej Palat,NJD,LW,"$6,000,000"
134,nhl,2022,,Jordan Staal,CAR,C,"$6,000,000"
135,nhl,2022,,Mats Zuccarello-Aasen,MIN,RW,"$6,000,000"
136,nhl,2022,137,Nate Schmidt,WPG,D,"$5,950,000"
137,nhl,2022,138,Phillip Grubauer,SEA,G,"$5,900,000"
138,nhl,2022,,Jonathan Huberdeau,CGY,LW,"$5,900,000"
139,nhl,2022,,William Karlsson,VGK,C,"$5,900,000"
140,nhl,2022,141,Cameron Atkinson,PHI,RW,"$5,875,000"
141,nhl,2022,,Neal Pionk,WPG,D,"$5,875,000"
142,nhl,2022,143,Nick Schmaltz,ARI,C,"$5,850,000"
143,nhl,2022,144,Adam Henrique,ANA,C,"$5,825,000"
144,nhl,2022,145,Pavel Buchnevich,STL,LW,"$5,800,000"
145,nhl,2022,,Esa Lindell,DAL,D,"$5,800,000"
146,nhl,2022,,Andrew Mangiapane,CGY,LW,"$5,800,000"
147,nhl,2022,,Jonathan Quick,VGK,G,"$5,800,000"
148,nhl,2022,149,T.J. Oshie,WAS,RW,"$5,750,000"
149,nhl,2022,,Adam Pelech,NYI,D,"$5,750,000"
150,nhl,2022,151,Anthony Mantha,WAS,RW,"$5,700,000"
151,nhl,2022,152,Igor Shesterkin,NYR,G,"$5,666,667"
152,nhl,2022,153,Andrew Copp,DET,C,"$5,625,000"
153,nhl,2022,,Jacob Muzzin,TOR,D,"$5,625,000"
154,nhl,2022,,Vincent Trocheck,NYR,C,"$5,625,000"
155,nhl,2022,156,Josh Anderson,MTL,RW,"$5,500,000"
156,nhl,2022,,Andre Burakovsky,SEA,LW,"$5,500,000"
157,nhl,2022,,Phillip Danault,LAK,C,"$5,500,000"
158,nhl,2022,,Jonathan Drouin,MTL,LW,"$5,500,000"
159,nhl,2022,,Jordan Eberle,SEA,RW,"$5,500,000"
160,nhl,2022,,Bo Horvat,NYI,C,"$5,500,000"
161,nhl,2022,,Zach Hyman,EDM,C,"$5,500,000"
162,nhl,2022,,Adrian Kempe,LAK,LW,"$5,500,000"
163,nhl,2022,,Travis Konecny,PHI,C,"$5,500,000"
164,nhl,2022,,Andrew Ladd,ARI,LW,"$5,500,000"
165,nhl,2022,,Gustav Nyquist,MIN,RW,"$5,500,000"
166,nhl,2022,,Joe Pavelski,DAL,C,"$5,500,000"
167,nhl,2022,,Jaden Schwartz,SEA,LW,"$5,500,000"
168,nhl,2022,,Jason Zucker,PIT,LW,"$5,500,000"
169,nhl,2022,170,Jesper Bratt,NJD,LW,"$5,450,000"
170,nhl,2022,171,Oliver Bjorkstrand,SEA,RW,"$5,400,000"
171,nhl,2022,,Elvis Merzlikins,CBJ,G,"$5,400,000"
172,nhl,2022,,Teuvo Teravainen,CAR,C,"$5,400,000"
173,nhl,2022,174,Mikael Backlund,CGY,C,"$5,350,000"
174,nhl,2022,175,Patric Hornqvist,FLA,RW,"$5,300,000"
175,nhl,2022,,Jaccob Slavin,CAR,D,"$5,300,000"
176,nhl,2022,177,Bryan Little,ARI,C,"$5,291,000"
177,nhl,2022,178,Charlie Coyle,BOS,C,"$5,250,000"
178,nhl,2022,,Joel Eriksson Ek,MIN,C,"$5,250,000"
179,nhl,2022,,Darcy Kuemper,WAS,G,"$5,250,000"
180,nhl,2022,,Alec Martinez,VGK,D,"$5,250,000"
181,nhl,2022,,J.T. Miller,VAN,C,"$5,250,000"
182,nhl,2022,,Jakob Silfverberg,ANA,RW,"$5,250,000"
183,nhl,2022,,Brady Skjei,CAR,D,"$5,250,000"
184,nhl,2022,,Jakub Vrana,STL,LW,"$5,250,000"
185,nhl,2022,186,Shea Theodore,VGK,D,"$5,200,000"
186,nhl,2022,187,Yanni Gourde,SEA,C,"$5,166,666"
187,nhl,2022,,Thomas Wilson,WAS,RW,"$5,166,666"
188,nhl,2022,189,Evander Kane,EDM,LW,"$5,125,000"
189,nhl,2022,,Ryan Nugent-Hopkins,EDM,C,"$5,125,000"
190,nhl,2022,,Bryan Rust,PIT,RW,"$5,125,000"
191,nhl,2022,192,Dmitry Orlov,BOS,D,"$5,100,000"
192,nhl,2022,,Rasmus Ristolainen,PHI,D,"$5,100,000"
193,nhl,2022,194,Josh Bailey,NYI,LW,"$5,000,000"
194,nhl,2022,,T.J. Brodie,TOR,D,"$5,000,000"
195,nhl,2022,,Jack Campbell,EDM,G,"$5,000,000"
196,nhl,2022,,Evgenii Dadonov,DAL,LW,"$5,000,000"
197,nhl,2022,,Anthony DeAngelo,PHI,D,"$5,000,000"
198,nhl,2022,,Thatcher Demko,VAN,G,"$5,000,000"
199,nhl,2022,,Joel Farabee,PHI,LW,"$5,000,000"
200,nhl,2022,,Samuel Girard,COL,D,"$5,000,000"
201,nhl,2022,,Mikael Granlund,PIT,C,"$5,000,000"
202,nhl,2022,,Tyler Johnson,CHI,C,"$5,000,000"
203,nhl,2022,,Robin Lehner,VGK,G,"$5,000,000"
204,nhl,2022,,Jonathan Marchessault,VGK,C,"$5,000,000"
205,nhl,2022,,Jared McCann,SEA,LW,"$5,000,000"
206,nhl,2022,,Jean-Gabriel Pageau,NYI,C,"$5,000,000"
207,nhl,2022,,Kyle Palmieri,NYI,RW,"$5,000,000"
208,nhl,2022,,Rickard Rakell,PIT,C,"$5,000,000"
209,nhl,2022,,Juuse Saros,NSH,G,"$5,000,000"
210,nhl,2022,,Reilly Smith,VGK,RW,"$5,000,000"
211,nhl,2022,,Ryan Strome,ANA,C,"$5,000,000"
212,nhl,2022,,Linus Ullmark,BOS,G,"$5,000,000"
213,nhl,2022,,Semyon Varlamov,NYI,G,"$5,000,000"
214,nhl,2022,215,Drake Batherson,OTT,C,"$4,975,000"
215,nhl,2022,216,Conor Garland,VAN,RW,"$4,950,000"
216,nhl,2022,,Noah Hanifin,CGY,D,"$4,950,000"
217,nhl,2022,218,Ben Bishop,BUF,G,"$4,916,667"
218,nhl,2022,219,Blake Coleman,CGY,C,"$4,900,000"
219,nhl,2022,220,Michael Matheson,MTL,D,"$4,875,000"
220,nhl,2022,221,Elias Lindholm,CGY,C,"$4,850,000"
221,nhl,2022,222,Jesperi Kotkaniemi,CAR,C,"$4,820,000"
222,nhl,2022,223,Anthony Cirelli,TBL,C,"$4,800,000"
223,nhl,2022,,Mikhail Sergachev,TBL,D,"$4,800,000"
224,nhl,2022,225,Tyler Bertuzzi,BOS,LW,"$4,750,000"
225,nhl,2022,,Ben Chiarot,DET,D,"$4,750,000"
226,nhl,2022,,Ville Husso,DET,G,"$4,750,000"
227,nhl,2022,,Ilya Mikheyev,VAN,LW,"$4,750,000"
228,nhl,2022,,Victor Olofsson,BUF,RW,"$4,750,000"
229,nhl,2022,,David Perron,DET,LW,"$4,750,000"
230,nhl,2022,,Alex Tuch,BUF,RW,"$4,750,000"
231,nhl,2022,232,Kevin Labanc,SJS,RW,"$4,725,000"
232,nhl,2022,233,Travis Sanheim,PHI,D,"$4,675,000"
233,nhl,2022,234,Jakob Chychrun,OTT,D,"$4,600,000"
234,nhl,2022,,Jamie Oleksiak,SEA,D,"$4,600,000"
235,nhl,2022,236,Rasmus Andersson,CGY,D,"$4,550,000"
236,nhl,2022,237,Frederik Andersen,CAR,G,"$4,500,000"
237,nhl,2022,,Tyson Barrie,NSH,D,"$4,500,000"
238,nhl,2022,,Shayne Gostisbehere,CAR,D,"$4,500,000"
239,nhl,2022,,Mike Hoffman,MTL,LW,"$4,500,000"
240,nhl,2022,,Artturi Lehkonen,COL,LW,"$4,500,000"
241,nhl,2022,,Josh Manson,COL,D,"$4,500,000"
242,nhl,2022,,Mason Marchment,DAL,LW,"$4,500,000"
243,nhl,2022,,Brandon Saad,STL,LW,"$4,500,000"
244,nhl,2022,,Chris Tanev,CGY,D,"$4,500,000"
245,nhl,2022,,Tomas Tatar,NJD,LW,"$4,500,000"
246,nhl,2022,,Alexander Wennberg,SEA,C,"$4,500,000"
