,league,season,rank,player,team,position,salary
0,nhl,2011,1,Alex Ovechkin,WAS,LW,"$9,538,462"
1,nhl,2011,2,Sidney Crosby,PIT,C,"$8,700,000"
2,nhl,2011,,Evgeni Malkin,PIT,C,"$8,700,000"
3,nhl,2011,4,Eric Staal,CAR,C,"$8,250,000"
4,nhl,2011,5,Rick Nash,CBJ,LW,"$7,800,000"
5,nhl,2011,6,Vincent Lecavalier,TBL,RW,"$7,727,237"
6,nhl,2011,7,Marian Gaborik,NYR,RW,"$7,500,000"
7,nhl,2011,,Dany Heatley,MIN,LW,"$7,500,000"
8,nhl,2011,,Steven Stamkos,TBL,C,"$7,500,000"
9,nhl,2011,,Shea Weber,NSH,D,"$7,500,000"
10,nhl,2011,11,Scott Gomez,MTL,C,"$7,357,143"
11,nhl,2011,12,Brian Campbell,FLA,D,"$7,142,875"
12,nhl,2011,13,Thomas Vanek,BUF,LW,"$7,142,857"
13,nhl,2011,14,Drew Doughty,LAK,D,"$7,000,000"
14,nhl,2011,,Jarome Iginla,CGY,RW,"$7,000,000"
15,nhl,2011,,Jason Spezza,OTT,C,"$7,000,000"
16,nhl,2011,,Joe Thornton,SJS,C,"$7,000,000"
17,nhl,2011,18,Zdeno Chara,BOS,D,"$6,916,665"
18,nhl,2011,19,Patrick Marleau,SJS,LW,"$6,900,000"
19,nhl,2011,20,Henrik Lundqvist,NYR,G,"$6,875,000"
20,nhl,2011,21,Anze Kopitar,LAK,C,"$6,800,000"
21,nhl,2011,22,Mikko Koivu,MIN,C,"$6,750,000"
22,nhl,2011,23,Nicklas Backstrom,WAS,C,"$6,700,000"
23,nhl,2011,,Pavel Datsyuk,DET,C,"$6,700,000"
24,nhl,2011,,Alexander Semin,WAS,RW,"$6,700,000"
25,nhl,2011,26,Jay Bouwmeester,CGY,D,"$6,680,000"
26,nhl,2011,27,Dan Boyle,SJS,D,"$6,666,667"
27,nhl,2011,,Ilya Kovalchuk,NJD,LW,"$6,666,667"
28,nhl,2011,,Brad Richards,NYR,C,"$6,666,667"
29,nhl,2011,30,Paul Stastny,COL,C,"$6,600,000"
30,nhl,2011,31,Daniel Briere,PHI,RW,"$6,500,000"
31,nhl,2011,,Dion Phaneuf,TOR,D,"$6,500,000"
32,nhl,2011,,Wade Redden,NYR,D,"$6,500,000"
33,nhl,2011,34,Kimmo Timonen,PHI,D,"$6,333,333"
34,nhl,2011,35,Patrick Kane,CHI,RW,"$6,300,000"
35,nhl,2011,,Jonathan Toews,CHI,C,"$6,300,000"
36,nhl,2011,,Cam Ward,CAR,G,"$6,300,000"
37,nhl,2011,38,Ryan Miller,BUF,G,"$6,250,000"
38,nhl,2011,,Ryan Smyth,EDM,LW,"$6,250,000"
39,nhl,2011,40,Nicklas Lidstrom,DET,D,"$6,200,000"
40,nhl,2011,41,Daniel Sedin,VAN,LW,"$6,100,000"
41,nhl,2011,,Henrik Sedin,VAN,C,"$6,100,000"
42,nhl,2011,43,Henrik Zetterberg,DET,LW,"$6,083,333"
43,nhl,2011,44,Niklas Backstrom,MIN,G,"$6,000,000"
44,nhl,2011,,Michael Cammalleri,CGY,LW,"$6,000,000"
45,nhl,2011,,Patrik Elias,NJD,C,"$6,000,000"
46,nhl,2011,,Zach Parise,NJD,LW,"$6,000,000"
