,league,season,rank,player,team,position,salary
0,nhl,2021,1,Connor McDavid,EDM,C,"$12,500,000"
1,nhl,2021,2,Artemi Panarin,NYR,LW,"$11,642,857"
2,nhl,2021,3,Auston Matthews,TOR,C,"$11,640,250"
3,nhl,2021,4,Erik Karlsson,SJS,D,"$11,500,000"
4,nhl,2021,5,Drew Doughty,LAK,D,"$11,000,000"
5,nhl,2021,,John Tavares,TOR,C,"$11,000,000"
6,nhl,2021,7,Mitchell Marner,TOR,RW,"$10,903,000"
7,nhl,2021,8,Patrick Kane,CHI,RW,"$10,500,000"
8,nhl,2021,,Carey Price,MTL,G,"$10,500,000"
9,nhl,2021,,Jonathan Toews,CHI,C,"$10,500,000"
10,nhl,2021,11,Sergei Bobrovsky,FLA,G,"$10,000,000"
11,nhl,2021,,Jack Eichel,VGK,C,"$10,000,000"
12,nhl,2021,,Anze Kopitar,LAK,C,"$10,000,000"
13,nhl,2021,14,Tyler Seguin,DAL,C,"$9,850,000"
14,nhl,2021,15,Jamie Benn,DAL,LW,"$9,500,000"
15,nhl,2021,,Nikita Kucherov,TBL,RW,"$9,500,000"
16,nhl,2021,,Evgeni Malkin,PIT,C,"$9,500,000"
17,nhl,2021,,Alex Ovechkin,WAS,LW,"$9,500,000"
18,nhl,2021,,Mark Stone,VGK,RW,"$9,500,000"
19,nhl,2021,,Andrei Vasilevskiy,TBL,G,"$9,500,000"
20,nhl,2021,21,Mikko Rantanen,COL,RW,"$9,250,000"
21,nhl,2021,22,Nicklas Backstrom,WAS,C,"$9,200,000"
22,nhl,2021,23,Roman Josi,NSH,D,"$9,059,000"
23,nhl,2021,24,Dougie Hamilton,NJD,D,"$9,000,000"
24,nhl,2021,,Kirill Kaprizov,MIN,LW,"$9,000,000"
25,nhl,2021,,Cale Makar,COL,D,"$9,000,000"
26,nhl,2021,,Jeff Skinner,BUF,LW,"$9,000,000"
27,nhl,2021,,P.K. Subban,NJD,D,"$9,000,000"
28,nhl,2021,29,Alex Pietrangelo,VGK,D,"$8,800,000"
29,nhl,2021,30,Sidney Crosby,PIT,C,"$8,700,000"
30,nhl,2021,31,Leon Draisaitl,EDM,C,"$8,500,000"
31,nhl,2021,,Steven Stamkos,TBL,C,"$8,500,000"
32,nhl,2021,33,Sebastian Aho,CAR,LW,"$8,460,250"
33,nhl,2021,34,Miro Heiskanen,DAL,D,"$8,450,000"
34,nhl,2021,35,Brady Tkachuk,OTT,LW,"$8,330,674"
35,nhl,2021,36,Claude Giroux,FLA,C,"$8,275,000"
36,nhl,2021,37,Jakub Voracek,CBJ,RW,"$8,250,063"
37,nhl,2021,38,Oliver Ekman-Larsson,VAN,D,"$8,250,000"
38,nhl,2021,,Blake Wheeler,WPG,RW,"$8,250,000"
39,nhl,2021,40,Brent Burns,SJS,D,"$8,000,000"
40,nhl,2021,,John Carlson,WAS,D,"$8,000,000"
41,nhl,2021,,Thomas Chabot,OTT,D,"$8,000,000"
42,nhl,2021,,Logan Couture,SJS,C,"$8,000,000"
43,nhl,2021,,Matt Duchene,NSH,C,"$8,000,000"
44,nhl,2021,,Ryan Johansen,NSH,C,"$8,000,000"
45,nhl,2021,,Jacob Trouba,NYR,D,"$8,000,000"
46,nhl,2021,47,Victor Hedman,TBL,D,"$7,875,000"
47,nhl,2021,48,Shea Weber,MTL,D,"$7,857,143"
48,nhl,2021,49,Quinn Hughes,VAN,D,"$7,850,000"
49,nhl,2021,50,Evgeny Kuznetsov,WAS,C,"$7,800,000"
50,nhl,2021,51,Andrei Svechnikov,CAR,RW,"$7,750,000"
51,nhl,2021,52,Jared Spurgeon,MIN,D,"$7,575,000"
52,nhl,2021,53,Aaron Ekblad,FLA,D,"$7,500,000"
53,nhl,2021,,Patrik Laine,CBJ,RW,"$7,500,000"
54,nhl,2021,,Ryan O'Reilly,STL,C,"$7,500,000"
55,nhl,2021,,Vladimir Tarasenko,STL,RW,"$7,500,000"
56,nhl,2021,57,Elias Pettersson,VAN,C,"$7,350,000"
57,nhl,2021,58,Nico Hischier,NJD,C,"$7,250,000"
58,nhl,2021,,Kris Letang,PIT,D,"$7,250,000"
59,nhl,2021,60,Clayton Keller,ARI,C,"$7,150,000"
60,nhl,2021,61,Kyle Connor,WPG,LW,"$7,142,857"
61,nhl,2021,,Kevin Hayes,PHI,C,"$7,142,857"
62,nhl,2021,63,Mathew Barzal,NYI,C,"$7,000,000"
63,nhl,2021,,Marc-Andre Fleury,MIN,G,"$7,000,000"
64,nhl,2021,,Gabriel Landeskog,COL,LW,"$7,000,000"
65,nhl,2021,,Anders Lee,NYI,C,"$7,000,000"
66,nhl,2021,,Max Pacioretty,VGK,LW,"$7,000,000"
67,nhl,2021,,Joe Pavelski,DAL,C,"$7,000,000"
68,nhl,2021,,Matthew Tkachuk,CGY,LW,"$7,000,000"
69,nhl,2021,,James Van Riemsdyk,PHI,LW,"$7,000,000"
70,nhl,2021,,Marc-Edouard Vlasic,SJS,D,"$7,000,000"
71,nhl,2021,72,William Nylander,TOR,C,"$6,962,366"
72,nhl,2021,73,Patrice Bergeron,BOS,C,"$6,875,000"
73,nhl,2021,,Ryan Kesler,ARI,C,"$6,875,000"
74,nhl,2021,,Brent Seabrook,TBL,D,"$6,875,000"
75,nhl,2021,76,Philip Kessel,ARI,RW,"$6,800,000"
76,nhl,2021,77,Johnny Gaudreau,CGY,LW,"$6,750,000"
77,nhl,2021,,Mark Giordano,TOR,D,"$6,750,000"
78,nhl,2021,,Ryan McDonagh,TBL,D,"$6,750,000"
79,nhl,2021,,Brayden Point,TBL,C,"$6,750,000"
80,nhl,2021,,Ivan Provorov,PHI,D,"$6,750,000"
81,nhl,2021,82,David Pastrnak,BOS,RW,"$6,666,666"
82,nhl,2021,83,Justin Faulk,STL,D,"$6,500,000"
83,nhl,2021,,Cam Fowler,ANA,D,"$6,500,000"
84,nhl,2021,,Brendan Gallagher,MTL,RW,"$6,500,000"
85,nhl,2021,,Chris Kreider,NYR,LW,"$6,500,000"
86,nhl,2021,,Torey Krug,STL,D,"$6,500,000"
87,nhl,2021,,Sam Reinhart,FLA,C,"$6,500,000"
88,nhl,2021,,Brayden Schenn,STL,C,"$6,500,000"
89,nhl,2021,90,Alexander Debrincat,CHI,RW,"$6,400,000"
90,nhl,2021,,John Gibson,ANA,G,"$6,400,000"
91,nhl,2021,92,Sean Monahan,CGY,C,"$6,375,000"
92,nhl,2021,93,Nathan MacKinnon,COL,C,"$6,300,000"
93,nhl,2021,94,Ryan Ellis,PHI,D,"$6,250,000"
94,nhl,2021,,Joshua Morrissey,WPG,D,"$6,250,000"
95,nhl,2021,,Matthew Murray,OTT,G,"$6,250,000"
96,nhl,2021,,Jeff Petry,MTL,D,"$6,250,000"
97,nhl,2021,,Alexander Radulov,DAL,RW,"$6,250,000"
98,nhl,2021,99,Connor Hellebuyck,WPG,G,"$6,166,666"
99,nhl,2021,100,Brad Marchand,BOS,LW,"$6,125,000"
100,nhl,2021,,Mark Scheifele,WPG,C,"$6,125,000"
101,nhl,2021,102,Jesperi Kotkaniemi,CAR,C,"$6,100,035"
102,nhl,2021,103,Dylan Larkin,DET,C,"$6,100,000"
103,nhl,2021,104,Jordan Binnington,STL,G,"$6,000,000"
104,nhl,2021,,Johnny Boychuk,BUF,D,"$6,000,000"
105,nhl,2021,,Jonas Brodin,MIN,D,"$6,000,000"
106,nhl,2021,,Rasmus Dahlin,BUF,D,"$6,000,000"
107,nhl,2021,,Mathew Dumba,MIN,D,"$6,000,000"
108,nhl,2021,,Nikolaj Ehlers,WPG,LW,"$6,000,000"
109,nhl,2021,,Loui Eriksson,ARI,RW,"$6,000,000"
110,nhl,2021,,Filip Forsberg,NSH,C,"$6,000,000"
111,nhl,2021,,Jake Guentzel,PIT,C,"$6,000,000"
112,nhl,2021,,Taylor Hall,BOS,LW,"$6,000,000"
113,nhl,2021,,Erik Johnson,COL,D,"$6,000,000"
114,nhl,2021,,Milan Lucic,CGY,LW,"$6,000,000"
115,nhl,2021,,Jacob Markstrom,CGY,G,"$6,000,000"
116,nhl,2021,,Timo Meier,SJS,LW,"$6,000,000"
117,nhl,2021,,Tyler Myers,VAN,D,"$6,000,000"
118,nhl,2021,,Brock Nelson,NYI,C,"$6,000,000"
119,nhl,2021,,Kyle Okposo,BUF,RW,"$6,000,000"
120,nhl,2021,,Jordan Staal,CAR,C,"$6,000,000"
121,nhl,2021,,Mats Zuccarello-Aasen,MIN,RW,"$6,000,000"
122,nhl,2021,123,Nate Schmidt,WPG,D,"$5,950,000"
123,nhl,2021,124,Aleksander Barkov,FLA,C,"$5,900,000"
124,nhl,2021,,Phillip Grubauer,SEA,G,"$5,900,000"
125,nhl,2021,,Jonathan Huberdeau,FLA,LW,"$5,900,000"
126,nhl,2021,,William Karlsson,VGK,C,"$5,900,000"
127,nhl,2021,128,Cameron Atkinson,PHI,RW,"$5,875,000"
