,league,season,rank,player,team,position,salary
0,nhl,2015,1,Patrick Kane,CHI,RW,"$10,500,000"
1,nhl,2015,,Jonathan Toews,CHI,C,"$10,500,000"
2,nhl,2015,3,Alex Ovechkin,WAS,LW,"$9,538,462"
3,nhl,2015,4,Evgeni Malkin,PIT,C,"$9,500,000"
4,nhl,2015,5,P.K. Subban,MTL,D,"$9,000,000"
5,nhl,2015,6,Sidney Crosby,PIT,C,"$8,700,000"
6,nhl,2015,7,Corey Perry,ANA,RW,"$8,625,000"
7,nhl,2015,8,Henrik Lundqvist,NYR,G,"$8,500,000"
8,nhl,2015,9,Claude Giroux,PHI,C,"$8,275,000"
9,nhl,2015,10,Ryan Getzlaf,ANA,C,"$8,250,000"
10,nhl,2015,,Eric Staal,NYR,C,"$8,250,000"
11,nhl,2015,12,Shea Weber,NSH,D,"$7,857,143"
12,nhl,2015,13,Rick Nash,NYR,LW,"$7,800,000"
13,nhl,2015,14,Zach Parise,MIN,LW,"$7,538,462"
14,nhl,2015,,Ryan Suter,MIN,D,"$7,538,462"
15,nhl,2015,16,Pavel Datsyuk,DET,C,"$7,500,000"
16,nhl,2015,,Jason Spezza,DAL,C,"$7,500,000"
17,nhl,2015,,Steven Stamkos,TBL,C,"$7,500,000"
18,nhl,2015,,Vladimir Tarasenko,STL,RW,"$7,500,000"
19,nhl,2015,20,Sergei Bobrovsky,CBJ,G,"$7,425,000"
20,nhl,2015,21,David Krejci,BOS,C,"$7,250,000"
21,nhl,2015,,Kris Letang,PIT,D,"$7,250,000"
22,nhl,2015,,Bobby Ryan,OTT,RW,"$7,250,000"
23,nhl,2015,24,Brian Campbell,FLA,D,"$7,142,875"
24,nhl,2015,25,Drew Doughty,LAK,D,"$7,000,000"
25,nhl,2015,,Tuukka Rask,BOS,G,"$7,000,000"
26,nhl,2015,,Pekka Rinne,NSH,G,"$7,000,000"
27,nhl,2015,,Daniel Sedin,VAN,LW,"$7,000,000"
28,nhl,2015,,Henrik Sedin,VAN,C,"$7,000,000"
29,nhl,2015,,Paul Stastny,STL,C,"$7,000,000"
30,nhl,2015,31,Zdeno Chara,BOS,D,"$6,916,667"
31,nhl,2015,32,Patrice Bergeron,BOS,C,"$6,875,000"
32,nhl,2015,33,Philip Kessel,PIT,RW,"$6,800,000"
33,nhl,2015,,Anze Kopitar,LAK,C,"$6,800,000"
34,nhl,2015,35,Mikko Koivu,MIN,C,"$6,750,000"
35,nhl,2015,,Joe Thornton,SJS,C,"$6,750,000"
36,nhl,2015,37,Nicklas Backstrom,WAS,C,"$6,700,000"
37,nhl,2015,38,Patrick Marleau,SJS,LW,"$6,666,666"
38,nhl,2015,39,Erik Karlsson,OTT,D,"$6,500,000"
39,nhl,2015,,Alex Pietrangelo,STL,D,"$6,500,000"
40,nhl,2015,,Carey Price,MTL,G,"$6,500,000"
41,nhl,2015,,Derek Stepan,NYR,C,"$6,500,000"
42,nhl,2015,,Thomas Vanek,MIN,LW,"$6,500,000"
43,nhl,2015,44,Cam Ward,CAR,G,"$6,300,000"
44,nhl,2015,45,Braden Holtby,WAS,G,"$6,100,000"
45,nhl,2015,46,Henrik Zetterberg,DET,LW,"$6,083,333"
46,nhl,2015,47,Johnny Boychuk,NYI,D,"$6,000,000"
47,nhl,2015,,Logan Couture,SJS,C,"$6,000,000"
48,nhl,2015,,Corey Crawford,CHI,G,"$6,000,000"
49,nhl,2015,,Matt Duchene,COL,C,"$6,000,000"
50,nhl,2015,,Jordan Eberle,EDM,RW,"$6,000,000"
51,nhl,2015,,Mike Green,DET,D,"$6,000,000"
52,nhl,2015,,Taylor Hall,EDM,LW,"$6,000,000"
53,nhl,2015,,Milan Lucic,LAK,LW,"$6,000,000"
54,nhl,2015,,Ryan Miller,VAN,G,"$6,000,000"
55,nhl,2015,,Ryan Nugent-Hopkins,EDM,C,"$6,000,000"
56,nhl,2015,,Ryan O'Reilly,BUF,C,"$6,000,000"
57,nhl,2015,,Joe Pavelski,SJS,LW,"$6,000,000"
58,nhl,2015,,Brandon Saad,CBJ,LW,"$6,000,000"
59,nhl,2015,,Cory Schneider,NJD,G,"$6,000,000"
60,nhl,2015,,Jordan Staal,CAR,C,"$6,000,000"
61,nhl,2015,62,Ben Bishop,TBL,G,"$5,950,000"
62,nhl,2015,63,Kari Lehtonen,DAL,G,"$5,900,000"
63,nhl,2015,,Patrick Sharp,DAL,LW,"$5,900,000"
64,nhl,2015,,Semyon Varlamov,COL,G,"$5,900,000"
65,nhl,2015,66,Dustin Brown,LAK,RW,"$5,875,000"
66,nhl,2015,67,Brandon Dubinsky,CBJ,C,"$5,850,000"
67,nhl,2015,68,Ryan Callahan,TBL,RW,"$5,800,000"
68,nhl,2015,,Jonathan Quick,LAK,G,"$5,800,000"
69,nhl,2015,,Brent Seabrook,CHI,D,"$5,800,000"
70,nhl,2015,,Alexander Steen,STL,LW,"$5,800,000"
71,nhl,2015,72,Brent Burns,SJS,D,"$5,760,000"
72,nhl,2015,73,Tobias Enstrom,WPG,D,"$5,750,000"
73,nhl,2015,,Marc-Andre Fleury,PIT,G,"$5,750,000"
74,nhl,2015,,Dougie Hamilton,CGY,D,"$5,750,000"
75,nhl,2015,,Andrei Markov,MTL,D,"$5,750,000"
76,nhl,2015,,Matt Niskanen,WAS,D,"$5,750,000"
77,nhl,2015,,Tyler Seguin,DAL,C,"$5,750,000"
78,nhl,2015,,Travis Zajac,NJD,C,"$5,750,000"
79,nhl,2015,80,Jeff Skinner,CAR,LW,"$5,725,000"
80,nhl,2015,81,Marc Staal,NYR,D,"$5,700,000"
81,nhl,2015,82,Mike Smith,ARI,G,"$5,666,667"
82,nhl,2015,83,Jason Pominville,MIN,RW,"$5,600,000"
83,nhl,2015,,Blake Wheeler,WPG,RW,"$5,600,000"
84,nhl,2015,85,Gabriel Landeskog,COL,LW,"$5,571,429"
85,nhl,2015,86,Duncan Keith,CHI,D,"$5,538,462"
86,nhl,2015,87,Dave Bolland,FLA,C,"$5,500,000"
87,nhl,2015,,Matt Carle,TBL,D,"$5,500,000"
88,nhl,2015,,Oliver Ekman-Larsson,ARI,D,"$5,500,000"
89,nhl,2015,,Patrik Elias,NJD,C,"$5,500,000"
90,nhl,2015,,Nick Foligno,CBJ,LW,"$5,500,000"
91,nhl,2015,,Dan Girardi,NYR,D,"$5,500,000"
92,nhl,2015,,Nick Leddy,NYI,D,"$5,500,000"
93,nhl,2015,,Tyler Myers,WPG,D,"$5,500,000"
94,nhl,2015,,Brooks Orpik,WAS,D,"$5,500,000"
95,nhl,2015,,Jeff Petry,MTL,D,"$5,500,000"
96,nhl,2015,,Andrej Sekera,EDM,D,"$5,500,000"
97,nhl,2015,,John Tavares,NYI,C,"$5,500,000"
98,nhl,2015,,James Wisniewski,CAR,D,"$5,500,000"
99,nhl,2015,100,Jay Bouwmeester,STL,D,"$5,400,000"
100,nhl,2015,101,Jarome Iginla,COL,RW,"$5,333,333"
101,nhl,2015,102,Shane Doan,ARI,RW,"$5,300,000"
102,nhl,2015,,Nathan Horton,TOR,RW,"$5,300,000"
103,nhl,2015,104,Jimmy Howard,DET,G,"$5,291,667"
104,nhl,2015,105,Marian Hossa,CHI,RW,"$5,275,000"
105,nhl,2015,106,Jeff Carter,LAK,C,"$5,272,727"
106,nhl,2015,107,Jamie Benn,DAL,LW,"$5,250,000"
107,nhl,2015,,David Clarkson,CBJ,RW,"$5,250,000"
108,nhl,2015,,Evander Kane,BUF,LW,"$5,250,000"
109,nhl,2015,,Joffrey Lupul,TOR,RW,"$5,250,000"
110,nhl,2015,,Mark Streit,PHI,D,"$5,250,000"
111,nhl,2015,,Dennis Wideman,CGY,D,"$5,250,000"
112,nhl,2015,,Keith Yandle,NYR,D,"$5,250,000"
113,nhl,2015,114,Dustin Byfuglien,WPG,D,"$5,200,000"
114,nhl,2015,115,Zach Bogosian,BUF,D,"$5,142,857"
115,nhl,2015,116,Derick Brassard,NYR,C,"$5,000,000"
116,nhl,2015,,Michael Cammalleri,NJD,LW,"$5,000,000"
117,nhl,2015,,Alexander Edler,VAN,D,"$5,000,000"
118,nhl,2015,,Valtteri Filppula,TBL,C,"$5,000,000"
119,nhl,2015,,Mikhail Grabovski,NYI,C,"$5,000,000"
120,nhl,2015,,Andy Greene,NJD,D,"$5,000,000"
121,nhl,2015,,Ryan Kesler,ANA,C,"$5,000,000"
122,nhl,2015,,Andrew MacDonald,PHI,D,"$5,000,000"
123,nhl,2015,,Matt Moulson,BUF,LW,"$5,000,000"
124,nhl,2015,,James Neal,NSH,LW,"$5,000,000"
125,nhl,2015,,Tomas Plekanec,MTL,C,"$5,000,000"
126,nhl,2015,,Radim Vrbata,VAN,RW,"$5,000,000"
127,nhl,2015,128,Chris Pronger,ARI,D,"$4,941,429"
128,nhl,2015,129,Marc Methot,OTT,D,"$4,900,000"
129,nhl,2015,130,Marian Gaborik,LAK,RW,"$4,875,000"
