,Player,Age,Team,Season,G,3PA_p100,3P%,eFG%,FT%,MP,PER,TS%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Salary,PercentofCap,season_number,ScoringVolume,PlaymakingVolume,ReboundingVolume,StealsVolume,BlocksVolume,TurnoverVolume,ImpactMinutes,EfficientScoring,OffensiveCreation,Is_Guard,Is_Wing,Is_Big,ShootingGravity,accolades,RookieScale,Expected_Percentage,Expected_Salary,SurplusValuePct,PTS,TRB,AST
110,Tre Mann,24.0,CHO,2025,53.0,11.5,0.323,0.442,0.852,12.6,8.3,0.462,23.3,-0.8,0.7,-0.003,-4.5,-0.8,-5.3,-0.5,8000000.0,0.0517,5,1144.8,339.2,360.4,100.7,21.2,212.0,-66.8,10.0,34.1,1,0,0,-0.3,0,0,0.0434,6715742.4,-0.8274,5.5,1.7,1.6
111,Ausar Thompson,23.0,DET,2025,73.0,0.6,0.25,0.53,0.571,26.0,16.2,0.545,16.9,1.5,4.1,0.144,-0.6,3.6,3.1,2.4,8775000.0,0.0567,3,1343.2,423.4,781.1,270.1,131.4,204.4,80.6,10.0,29.9,0,1,0,-0.1,0,1,0.0481,7440993.6,-0.8584,9.9,5.7,3.1
112,Amen Thompson,23.0,HOU,2025,79.0,2.0,0.216,0.545,0.779,37.4,18.9,0.594,20.0,6.5,3.8,0.167,1.6,1.0,2.6,3.4,9690600.0,0.0627,3,1927.6,560.9,821.6,158.0,63.2,252.8,97.2,14.5,38.3,1,0,0,-0.3,0,1,0.054,8350214.8,-0.8705,18.3,7.8,5.3
113,Zeke Nnaji,25.0,DEN,2025,52.0,4.2,0.259,0.517,0.773,12.0,10.3,0.558,13.7,0.2,0.7,0.066,-3.6,0.0,-3.5,-0.3,8177778.0,0.0529,6,769.6,119.6,551.2,67.6,98.8,109.2,-42.0,8.3,19.0,0,0,1,-0.4,0,0,0.0439,6784636.2,-0.9028,3.7,2.6,0.6
114,Donovan Clingan,21.0,POR,2025,77.0,5.6,0.341,0.582,0.68,27.2,20.9,0.604,16.9,5.1,3.5,0.197,2.4,0.6,3.0,2.6,7178400.0,0.0464,2,1640.1,284.9,1563.1,77.0,231.0,169.4,81.6,12.9,28.6,0,0,1,-0.1,0,1,0.0368,5684011.8,-0.9645,12.1,11.6,2.1
115,Ousmane Dieng,22.0,2TM,2025,57.0,8.2,0.341,0.501,0.711,19.3,10.2,0.516,19.7,-0.6,0.9,0.012,-2.6,-1.2,-3.8,-0.5,6670882.0,0.0431,4,1094.4,347.7,456.0,62.7,45.6,188.1,-73.3,9.9,31.3,0,0,1,-0.1,0,1,0.033,5097177.2,-1.014,7.6,3.2,2.4
116,Cason Wallace,22.0,OKC,2025,77.0,6.8,0.351,0.518,0.809,26.6,12.1,0.538,14.5,1.0,4.2,0.122,-2.1,3.3,1.2,1.7,5820240.0,0.0376,3,1201.2,361.9,431.2,269.5,53.9,130.9,31.9,8.4,25.0,1,0,0,0.0,0,1,0.0274,4233199.9,-1.0227,8.6,3.1,2.6
117,Jakob Poeltl,30.0,TOR,2025,46.0,0.0,0.0,0.7,0.602,25.0,18.1,0.698,15.3,2.6,1.8,0.18,0.2,1.4,1.6,1.0,19500000.0,0.1261,10,961.4,179.4,630.2,78.2,64.4,110.4,40.0,14.6,28.7,0,0,1,-0.0,0,0,0.1159,17916947.9,-1.0243,10.7,7.0,2.0
118,Devin Carter,23.0,SAC,2025,38.0,7.9,0.263,0.466,0.713,18.4,13.8,0.508,23.5,-0.2,0.4,0.012,-1.5,-1.2,-2.6,-0.1,4923720.0,0.0318,2,889.2,266.0,326.8,87.4,22.8,140.6,-47.8,11.9,36.7,1,0,0,-0.7,0,1,0.0213,3294802.2,-1.0495,8.9,3.3,2.7
119,Jordan Hawkins,23.0,NOP,2025,51.0,9.3,0.348,0.457,0.852,13.6,7.6,0.48,18.2,-0.6,0.2,-0.029,-3.2,-3.0,-6.2,-0.7,4741320.0,0.0307,3,907.8,147.9,311.1,45.9,35.7,122.4,-84.3,8.5,23.6,1,0,0,-0.0,0,1,0.0198,3066275.5,-1.0872,5.1,1.7,0.8
120,Jett Howard,22.0,ORL,2025,55.0,10.0,0.372,0.526,0.949,12.6,11.2,0.561,17.2,0.7,0.5,0.087,-0.8,-1.1,-1.8,0.0,5529720.0,0.0358,3,1144.0,170.5,330.0,38.5,44.0,55.0,-22.7,11.7,27.2,0,1,0,0.2,0,1,0.0239,3697614.3,-1.189,5.5,1.6,0.8
121,RJ Barrett,25.0,TOR,2025,57.0,8.0,0.339,0.55,0.717,30.3,17.0,0.585,25.8,2.0,2.0,0.111,1.0,-0.7,0.2,1.0,27705357.0,0.1792,7,1767.0,302.1,484.5,68.4,28.5,159.6,6.1,18.1,41.5,0,1,0,-0.1,0,0,0.1673,25866355.1,-1.1939,19.3,5.3,3.3
122,Ochai Agbaji,25.0,2TM,2025,62.0,6.4,0.266,0.496,0.837,15.7,8.9,0.525,14.6,0.1,0.8,0.046,-3.5,-0.5,-4.0,-0.5,6383525.0,0.0413,4,979.6,148.8,440.2,74.4,55.8,99.2,-62.8,8.3,20.1,1,0,0,-0.5,0,1,0.0286,4422175.6,-1.2705,5.1,2.3,0.8
123,Tyrese Maxey,25.0,PHI,2025,70.0,10.9,0.367,0.536,0.892,38.0,21.9,0.588,29.4,5.9,2.8,0.156,5.0,0.5,5.4,4.9,37958760.0,0.2455,6,2513.0,588.0,371.0,168.0,70.0,217.0,205.2,21.1,52.9,1,0,0,0.2,4,0,0.2327,35984267.4,-1.2814,28.3,4.1,6.6
124,Grant Williams,27.0,CHO,2025,36.0,9.3,0.388,0.568,0.815,19.8,12.9,0.609,14.1,1.1,0.8,0.131,0.6,1.0,1.6,0.7,13645500.0,0.0882,7,633.6,140.4,356.4,43.2,46.8,79.2,31.7,10.7,25.8,0,0,1,0.4,0,0,0.0747,11557176.8,-1.3467,7.0,3.9,1.6
125,Kon Knueppel,20.0,CHO,2025,81.0,12.5,0.425,0.601,0.863,31.5,17.1,0.633,22.3,5.6,2.5,0.151,3.1,-0.4,2.8,3.1,10015680.0,0.0648,1,2357.1,429.3,680.4,89.1,32.4,251.1,88.2,18.4,40.6,0,1,0,0.9,0,1,0.0513,7926195.0,-1.3547,18.5,5.3,3.4
126,Rob Dillingham,21.0,2TM,2025,65.0,6.5,0.316,0.447,0.745,14.9,7.7,0.469,23.1,-2.0,0.9,-0.056,-6.3,-0.9,-7.3,-1.3,6576120.0,0.0425,2,1293.5,448.5,416.0,149.5,19.5,318.5,-108.8,9.3,33.5,1,0,0,-0.2,0,1,0.0279,4309979.1,-1.463,6.3,2.0,2.2
127,Daniel Gafford,27.0,DAL,2025,55.0,0.0,0.0,0.655,0.683,21.7,18.8,0.677,15.8,2.5,1.7,0.167,-0.5,1.2,0.7,0.8,14386320.0,0.093,7,1138.5,126.5,819.5,93.5,148.5,137.5,15.2,14.0,25.3,0,0,1,-0.0,0,0,0.078,12057130.5,-1.5035,9.5,6.9,1.1
128,Taylor Hendricks,22.0,2TM,2025,59.0,7.8,0.342,0.548,0.681,18.9,12.2,0.566,16.2,0.4,0.8,0.049,-1.5,-0.9,-2.4,-0.1,6127080.0,0.0396,3,1091.5,135.7,548.7,123.9,76.7,123.9,-45.4,10.5,23.0,0,0,1,-0.1,0,1,0.0235,3631825.3,-1.6115,7.4,3.7,0.9
129,Nikola Jokić,30.0,DEN,2025,65.0,6.4,0.38,0.618,0.831,34.8,32.3,0.67,30.4,11.5,3.4,0.316,10.1,4.1,14.2,9.2,55224526.0,0.3571,11,2522.0,975.0,1170.0,130.0,71.5,338.0,494.2,26.0,69.0,0,0,1,0.2,4,0,0.3408,52699110.8,-1.633,27.7,12.9,10.7
130,Caleb Martin,30.0,DAL,2025,58.0,3.1,0.351,0.503,0.607,14.8,9.3,0.526,12.5,-0.1,0.9,0.048,-4.0,1.7,-2.2,0.0,9594044.0,0.062,7,725.0,261.0,458.2,127.6,46.4,127.6,-32.6,6.6,21.5,0,1,0,0.0,0,0,0.0445,6875851.9,-1.7538,3.9,2.5,1.4
131,Naz Reid,26.0,MIN,2025,77.0,10.7,0.362,0.549,0.732,26.1,15.4,0.565,22.1,0.9,3.2,0.097,-0.1,1.0,0.9,1.5,21551724.0,0.1394,7,1917.3,308.0,870.1,138.6,146.3,231.0,23.5,14.1,33.0,0,0,1,0.1,0,0,0.1218,18836201.6,-1.7599,13.6,6.2,2.2
132,VJ Edgecombe,20.0,PHI,2025,75.0,7.7,0.354,0.51,0.818,35.0,14.0,0.54,20.1,1.9,2.5,0.081,-0.4,-0.1,-0.5,1.0,11108880.0,0.0718,1,1657.5,435.0,585.0,150.0,52.5,187.5,-17.5,11.9,33.7,1,0,0,0.0,0,1,0.0542,8375943.9,-1.7638,16.0,5.6,4.2
133,Jaylin Williams,23.0,OKC,2025,65.0,9.7,0.383,0.563,0.793,19.6,13.8,0.597,15.6,1.3,2.8,0.155,0.0,2.8,2.7,1.5,8450704.0,0.0546,4,1157.0,390.0,884.0,78.0,104.0,162.5,52.9,10.6,30.1,0,0,1,0.3,0,1,0.0369,5712310.2,-1.7662,7.2,5.5,2.4
134,Keldon Johnson,26.0,SAS,2025,82.0,6.9,0.363,0.582,0.794,23.3,17.3,0.613,21.0,3.9,2.6,0.161,1.2,-0.3,0.9,1.4,18000000.0,0.1164,7,2230.4,229.6,910.2,98.4,24.6,147.6,21.0,16.7,32.9,0,1,0,0.1,0,0,0.0982,15189126.1,-1.8182,13.2,5.4,1.4
135,Ace Bailey,19.0,UTA,2025,72.0,9.4,0.344,0.52,0.75,27.6,11.6,0.533,21.4,-0.4,0.3,-0.001,-1.9,-2.5,-4.4,-1.2,9069840.0,0.0586,1,1684.8,223.2,511.2,100.8,86.4,180.0,-121.4,12.5,29.5,0,1,0,-0.1,0,1,0.0404,6244046.5,-1.8224,13.8,4.2,1.8
136,Michael Porter Jr.,27.0,BRK,2025,52.0,14.2,0.363,0.555,0.859,32.5,19.9,0.595,30.5,1.7,1.3,0.083,4.2,-1.2,3.0,2.1,38333050.0,0.2479,7,1918.8,239.2,556.4,83.2,20.8,187.2,97.5,22.0,46.3,0,1,0,0.2,0,0,0.2294,35480197.0,-1.8473,24.2,7.1,3.0
137,Brandon Miller,23.0,CHO,2025,65.0,13.4,0.383,0.533,0.892,30.3,16.8,0.574,28.1,2.1,2.4,0.109,1.7,-0.1,1.6,1.8,11968800.0,0.0774,3,2145.0,357.5,520.0,110.5,71.5,266.5,48.5,18.9,44.4,0,1,0,0.4,0,1,0.0576,8902854.5,-1.9831,20.2,4.9,3.3
138,Simone Fontecchio,30.0,MIA,2025,70.0,13.0,0.375,0.542,0.843,16.8,13.8,0.579,19.6,1.4,1.2,0.106,0.7,-0.2,0.5,0.7,8307692.0,0.0537,4,1652.0,280.0,581.0,105.0,28.0,133.0,8.4,13.7,31.9,0,1,0,0.3,0,1,0.0337,5217154.8,-1.9964,8.5,3.0,1.4
139,Dennis Schröder,32.0,2TM,2025,70.0,6.5,0.329,0.465,0.834,24.2,12.9,0.526,21.0,0.8,0.7,0.043,-0.9,-1.3,-2.2,-0.1,14104000.0,0.0912,13,1505.0,679.0,378.0,112.0,21.0,245.0,-53.2,11.3,40.8,1,0,0,-0.1,0,0,0.0708,10945405.0,-2.0423,10.8,2.7,4.9
140,Stephen Curry,37.0,GSW,2025,43.0,17.7,0.393,0.587,0.923,30.9,22.6,0.637,32.5,2.9,1.2,0.147,6.3,-1.0,5.4,2.5,59606817.0,0.3854,17,1793.1,318.2,240.8,77.4,25.8,189.2,166.9,26.6,57.3,1,0,0,0.8,1,0,0.365,56439263.5,-2.0445,26.6,3.6,4.7
141,Buddy Hield,33.0,2TM,2025,51.0,12.5,0.349,0.55,0.811,16.1,12.8,0.568,20.3,0.2,0.8,0.06,-0.9,-0.1,-1.0,0.2,9219512.0,0.0596,10,1173.0,214.2,351.9,117.3,25.5,142.8,-16.1,13.1,31.4,1,0,0,-0.0,0,0,0.0388,6006284.9,-2.0761,7.6,2.3,1.4
142,Pascal Siakam,31.0,IND,2025,62.0,6.8,0.358,0.529,0.693,33.2,18.6,0.562,30.1,1.1,1.5,0.062,1.8,-1.0,0.7,1.4,45550512.0,0.2945,10,2126.6,341.0,589.0,99.2,37.2,198.4,23.2,19.3,45.4,0,0,1,0.1,1,0,0.2734,42275395.7,-2.1133,24.0,6.6,3.8
143,Khaman Maluach,19.0,PHO,2025,46.0,2.5,0.238,0.557,0.71,8.9,14.0,0.586,14.8,0.2,0.6,0.099,-3.7,0.0,-3.7,-0.2,6016080.0,0.0389,1,768.2,32.2,736.0,27.6,184.0,138.0,-32.9,9.8,17.8,0,0,1,-0.3,0,1,0.0175,2709277.5,-2.1381,3.0,2.9,0.1
144,Tre Johnson,19.0,WAS,2025,60.0,10.5,0.358,0.508,0.874,24.1,10.6,0.535,22.5,-0.6,-0.1,-0.024,-2.1,-2.9,-5.0,-1.1,8237640.0,0.0533,1,1446.0,240.0,336.0,66.0,36.0,186.0,-120.5,12.9,32.2,1,0,0,0.1,0,1,0.0318,4912478.4,-2.1534,12.2,2.8,2.0
145,Jarred Vanderbilt,26.0,LAL,2025,65.0,4.3,0.293,0.531,0.589,17.4,11.2,0.544,12.4,0.4,1.5,0.079,-2.4,0.9,-1.5,0.1,11571429.0,0.0748,8,812.5,234.0,819.0,156.0,52.0,156.0,-26.1,6.8,19.5,0,0,1,-0.2,0,0,0.0533,8236672.0,-2.1539,4.4,4.5,1.3
146,Collin Murray-Boyles,20.0,TOR,2025,57.0,2.0,0.34,0.604,0.657,21.9,16.4,0.621,15.5,2.1,1.9,0.154,-0.5,1.5,1.0,1.0,6332520.0,0.0409,1,1077.3,233.7,638.4,114.0,119.7,131.1,21.9,11.7,27.1,0,0,1,-0.0,0,1,0.0191,2961052.6,-2.1753,8.5,5.0,1.9
147,Alex Sarr,20.0,WAS,2025,48.0,5.4,0.333,0.52,0.692,27.2,19.4,0.544,25.7,0.7,0.9,0.059,0.8,-0.1,0.7,0.9,11808240.0,0.0764,2,1363.2,225.6,619.2,67.2,163.2,144.0,19.0,15.4,37.7,0,0,1,-0.1,0,1,0.0527,8156370.8,-2.3658,16.3,7.4,2.7
148,OG Anunoby,28.0,NYK,2025,67.0,9.1,0.386,0.581,0.828,33.2,15.8,0.62,19.7,3.1,3.2,0.135,0.9,1.1,2.0,2.3,39568966.0,0.2559,9,1668.3,214.4,522.6,154.1,73.7,180.9,66.4,15.4,31.6,0,0,1,0.3,0,0,0.2304,35623412.2,-2.5547,16.7,5.2,2.2
149,Duncan Robinson,31.0,DET,2025,77.0,12.3,0.41,0.613,0.755,27.4,12.4,0.629,15.8,3.8,2.3,0.139,0.8,-0.1,0.8,1.5,16834692.0,0.1089,8,1655.5,277.2,361.9,77.0,38.5,92.4,21.9,13.5,29.4,1,0,0,0.7,0,0,0.083,12833070.6,-2.5917,12.2,2.7,2.1
150,Chet Holmgren,23.0,OKC,2025,69.0,5.9,0.362,0.614,0.792,28.9,21.6,0.653,21.9,4.4,4.7,0.219,2.4,1.9,4.2,3.1,13731368.0,0.0888,3,1973.4,193.2,1028.1,69.0,220.8,179.4,121.4,18.7,34.3,0,0,1,0.1,4,1,0.0626,9678152.6,-2.6218,17.1,8.9,1.7
151,Rudy Gobert,33.0,MIN,2025,76.0,0.1,0.0,0.682,0.526,31.3,17.5,0.664,12.9,4.8,4.0,0.176,0.0,0.9,1.0,1.8,35000000.0,0.2263,13,1261.6,197.6,1330.0,91.2,190.0,159.6,31.3,11.0,21.8,0,0,1,-0.0,0,0,0.1999,30915627.1,-2.6389,10.9,11.5,1.7
152,Dorian Finney-Smith,32.0,HOU,2025,37.0,8.1,0.27,0.436,0.889,16.8,5.8,0.452,10.7,0.0,0.6,0.042,-4.3,-0.1,-4.3,-0.4,12700000.0,0.0821,10,366.3,107.3,277.5,48.1,18.5,66.6,-72.2,4.5,15.1,0,0,1,-0.6,0,0,0.0548,8472090.3,-2.7317,3.3,2.5,1.0
153,Klay Thompson,35.0,DAL,2025,69.0,16.6,0.383,0.532,0.766,21.7,11.4,0.541,22.7,-0.3,0.9,0.018,0.2,-1.5,-1.4,0.2,16666667.0,0.1078,15,1759.5,207.0,310.5,69.0,48.3,138.0,-30.4,13.8,32.0,0,1,0,0.5,0,0,0.0802,12398530.3,-2.7627,11.7,2.1,1.4
154,Luguentz Dort,26.0,OKC,2025,69.0,9.7,0.344,0.508,0.759,26.8,8.3,0.524,14.1,0.0,3.0,0.078,-2.8,0.8,-2.0,0.0,17722222.0,0.1146,7,1041.9,151.8,441.6,110.4,48.3,96.6,-53.6,7.9,19.4,0,1,0,-0.1,0,0,0.0868,13422284.2,-2.7807,8.3,3.6,1.2
155,Jabari Smith Jr.,22.0,HOU,2025,77.0,9.0,0.363,0.541,0.775,35.1,13.5,0.57,18.2,3.4,3.3,0.118,-0.5,-0.2,-0.7,0.9,12350392.0,0.0799,4,1724.8,200.2,754.6,77.0,100.1,146.3,-24.6,12.8,27.7,0,0,1,0.1,0,1,0.0518,8005967.4,-2.8131,15.8,6.9,1.9
156,Caris LeVert,31.0,DET,2025,60.0,7.5,0.333,0.494,0.679,19.2,10.9,0.518,18.4,-0.2,1.8,0.066,-1.8,1.5,-0.4,0.5,14104000.0,0.0912,10,1116.0,402.0,294.0,126.0,102.0,204.0,-7.7,9.6,31.9,1,0,0,-0.1,0,0,0.0628,9712353.0,-2.8397,7.4,2.0,2.7
157,De'Andre Hunter,28.0,2TM,2025,45.0,10.1,0.305,0.49,0.867,26.1,11.4,0.545,22.9,0.1,1.0,0.044,-2.5,-1.5,-3.9,-0.6,23303571.0,0.1507,7,1129.5,166.5,342.0,54.0,9.0,139.5,-101.8,13.7,32.0,0,1,0,-0.5,0,0,0.1214,18772401.5,-2.9311,13.7,4.1,2.0
158,Jaylen Brown,29.0,BOS,2025,71.0,8.4,0.347,0.522,0.795,34.4,22.0,0.573,36.2,3.5,3.4,0.135,3.5,-0.1,3.3,3.3,53142264.0,0.3436,10,2996.2,532.5,724.2,106.5,42.6,383.4,113.5,24.2,57.2,0,1,0,-0.0,4,0,0.3125,48324331.0,-3.1118,28.7,6.9,5.1
159,Zion Williamson,25.0,NOP,2025,62.0,0.1,0.25,0.6,0.716,29.7,22.6,0.644,25.7,5.0,1.0,0.159,3.5,-0.6,2.9,2.3,39446090.0,0.2551,7,2095.6,322.4,570.4,99.2,55.8,204.6,86.1,21.8,44.2,0,0,1,-0.0,0,0,0.2238,34611425.5,-3.1291,21.0,5.7,3.2
160,Patrick Williams,24.0,CHI,2025,72.0,8.7,0.347,0.472,0.72,20.5,8.2,0.494,16.6,-1.1,1.0,-0.005,-3.4,-1.1,-4.5,-0.9,18000000.0,0.1164,6,1152.0,237.6,489.6,115.2,57.6,172.8,-92.2,7.9,22.6,0,0,1,-0.0,0,0,0.0847,13104197.5,-3.1664,7.0,3.0,1.5
161,Terance Mann,29.0,BRK,2025,63.0,5.0,0.364,0.533,0.788,24.3,10.2,0.564,13.5,1.2,0.6,0.056,-2.7,-0.7,-3.4,-0.6,15500000.0,0.1002,7,926.1,384.3,409.5,81.9,31.5,144.9,-82.6,8.3,27.0,1,0,0,0.1,0,0,0.068,10513456.5,-3.2216,7.2,3.2,3.0
162,Lauri Markkanen,28.0,UTA,2025,42.0,10.5,0.355,0.548,0.896,34.4,21.1,0.608,28.1,3.2,0.3,0.118,4.6,-2.0,2.6,1.6,46394100.0,0.3,9,1533.0,121.8,394.8,58.8,29.4,84.0,89.4,22.2,42.4,0,0,1,0.1,0,0,0.2669,41279637.3,-3.3072,26.7,6.9,2.1
163,De'Aaron Fox,28.0,SAS,2025,72.0,8.5,0.332,0.549,0.76,31.0,17.6,0.578,24.9,3.4,3.0,0.138,1.5,0.6,2.2,2.4,37096620.0,0.2399,9,2073.6,691.2,417.6,136.8,28.8,252.0,68.2,16.6,47.8,1,0,0,-0.2,1,0,0.2066,31954712.7,-3.327,18.6,3.8,6.2
164,Kyle Kuzma,30.0,MIL,2025,69.0,6.5,0.347,0.552,0.726,26.2,14.1,0.581,21.8,0.9,1.0,0.051,-1.0,-1.3,-2.3,-0.1,22560605.0,0.1459,9,1683.6,345.0,586.5,89.7,55.2,220.8,-60.3,14.2,34.4,0,0,1,-0.0,0,0,0.1125,17396946.6,-3.3405,13.0,4.5,2.7
165,Tidjane Salaün,20.0,CHO,2025,37.0,7.2,0.434,0.616,0.65,15.5,12.9,0.629,14.9,0.6,0.8,0.117,-1.2,0.4,-0.8,0.2,7863240.0,0.0508,2,706.7,85.1,473.6,51.8,22.2,81.4,-12.4,12.0,24.3,0,0,1,0.6,0,1,0.0171,2637227.9,-3.3747,6.0,4.0,0.7
166,Gabe Vincent,29.0,2TM,2025,53.0,9.5,0.341,0.488,0.87,16.6,6.5,0.511,12.3,0.1,0.5,0.035,-3.8,-0.5,-4.3,-0.5,11500000.0,0.0744,7,673.1,222.6,159.0,79.5,10.6,79.5,-71.4,6.5,21.0,1,0,0,-0.1,0,0,0.0398,6154617.2,-3.4602,4.4,1.0,1.4
167,Cooper Flagg,19.0,DAL,2025,70.0,4.9,0.295,0.498,0.827,33.5,17.9,0.548,26.9,1.3,2.5,0.078,1.0,0.4,1.4,2.0,13825920.0,0.0894,1,2072.0,448.0,658.0,119.0,91.0,224.0,46.9,16.2,42.1,0,1,0,-0.3,0,1,0.0548,8472272.6,-3.4615,21.0,6.7,4.5
168,Jaden McDaniels,25.0,MIN,2025,73.0,5.2,0.412,0.579,0.835,31.7,14.0,0.611,18.5,2.5,2.7,0.109,-0.9,0.6,-0.3,1.0,24393103.0,0.1577,6,1627.9,299.3,467.2,124.1,109.5,197.1,-9.5,13.6,30.8,0,0,1,0.3,0,0,0.123,19026036.2,-3.4671,14.8,4.2,2.7
169,Maxi Kleber,34.0,LAL,2025,43.0,2.8,0.231,0.493,0.538,10.7,8.1,0.509,9.6,0.2,0.4,0.063,-4.2,0.3,-3.9,-0.2,11000000.0,0.0711,9,391.3,124.7,382.7,81.7,51.6,77.4,-41.7,4.6,14.6,0,0,1,-0.3,0,0,0.0361,5584505.5,-3.4989,2.0,2.0,0.6
170,Kevin Huerter,27.0,2TM,2025,69.0,9.9,0.308,0.535,0.775,22.4,13.2,0.552,18.8,0.8,1.7,0.078,-1.1,0.5,-0.6,0.6,17991071.0,0.1163,8,1462.8,372.6,503.7,131.1,69.0,151.8,-13.4,11.7,31.6,0,1,0,-0.4,0,0,0.0805,12453771.5,-3.577,10.0,3.5,2.6
171,Jaren Jackson Jr.,26.0,2TM,2025,48.0,7.7,0.357,0.534,0.803,30.3,15.7,0.576,26.2,0.1,1.3,0.047,-1.1,0.5,-0.6,0.5,35000000.0,0.2263,8,1454.4,148.8,427.2,81.6,105.6,168.0,-18.2,17.5,36.6,0,0,1,0.1,0,0,0.1886,29169807.5,-3.7678,19.4,5.7,2.0
172,Luka Dončić,26.0,LAL,2025,64.0,14.8,0.366,0.563,0.78,35.8,27.9,0.616,38.1,6.6,2.9,0.199,8.0,1.3,9.3,6.6,45999660.0,0.2974,8,2924.8,723.2,678.4,140.8,44.8,345.6,332.9,28.2,68.5,1,0,0,0.2,4,0,0.2593,40098092.3,-3.8112,33.5,7.7,8.3
173,Corey Kispert,26.0,2TM,2025,58.0,10.4,0.367,0.577,0.794,18.6,13.1,0.609,18.6,1.4,0.5,0.082,0.1,-2.0,-1.9,0.0,13975000.0,0.0904,5,1351.4,232.0,336.4,40.6,23.2,116.0,-35.3,14.2,31.5,0,1,0,0.2,0,0,0.0509,7864177.1,-3.9548,9.2,2.3,1.6
174,Darius Garland,26.0,2TM,2025,45.0,11.2,0.396,0.551,0.861,29.9,17.1,0.582,27.4,1.7,0.9,0.092,2.2,-2.4,-0.2,0.6,39446090.0,0.2551,7,1377.0,490.5,175.5,72.0,13.5,211.5,-6.0,17.8,52.9,1,0,0,0.5,0,0,0.2139,33075819.0,-4.1221,18.8,2.4,6.7
175,Paolo Banchero,23.0,ORL,2025,72.0,5.3,0.305,0.496,0.775,34.8,17.6,0.566,27.6,2.0,3.0,0.095,1.4,0.0,1.4,2.1,15334769.0,0.0992,4,2210.4,518.4,835.2,72.0,57.6,309.6,48.7,17.4,44.9,0,0,1,-0.2,0,1,0.0562,8695387.1,-4.2973,22.2,8.4,5.2
176,LaMelo Ball,24.0,CHO,2025,72.0,18.2,0.368,0.516,0.899,28.0,19.7,0.546,32.0,3.6,2.6,0.147,4.8,-0.1,4.7,3.4,37958760.0,0.2455,6,2556.0,907.2,612.0,151.2,28.8,360.0,131.6,19.4,61.0,1,0,0,0.3,0,0,0.2024,31298402.7,-4.3114,20.1,4.8,7.1
177,Harrison Barnes,33.0,SAS,2025,77.0,8.7,0.388,0.577,0.829,25.8,11.8,0.608,14.6,2.7,2.1,0.117,-0.2,0.1,-0.1,1.0,19000000.0,0.1229,14,1424.5,277.2,400.4,92.4,23.1,115.5,-2.6,11.2,26.0,0,0,1,0.3,0,0,0.0778,12030314.2,-4.5108,9.9,2.8,1.9
178,Rui Hachimura,27.0,LAL,2025,68.0,6.6,0.443,0.611,0.694,28.3,11.6,0.62,15.2,2.1,1.1,0.08,-0.8,-1.5,-2.2,-0.1,18259259.0,0.1181,7,1346.4,95.2,387.6,68.0,34.0,74.8,-62.3,12.3,23.2,0,0,1,0.6,0,0,0.073,11283074.1,-4.514,11.5,3.3,0.8
179,Josh Green,25.0,CHO,2025,58.0,7.5,0.42,0.619,0.893,15.7,9.7,0.644,10.6,1.0,0.9,0.099,-1.7,1.0,-0.7,0.3,13666667.0,0.0884,6,788.8,150.8,324.8,110.2,17.4,110.2,-11.0,8.8,19.3,1,0,0,0.5,0,0,0.0423,6543195.9,-4.6089,4.3,1.8,0.8
180,Dylan Harper,19.0,SAS,2025,69.0,5.5,0.343,0.551,0.756,22.6,16.2,0.574,21.8,2.0,2.2,0.13,0.3,1.1,1.4,1.3,12370320.0,0.08,1,1731.9,565.8,496.8,117.3,48.3,213.9,31.6,14.4,41.5,1,0,0,-0.0,0,1,0.0334,5158190.9,-4.6645,11.8,3.4,3.9
181,Collin Sexton,27.0,2TM,2025,68.0,8.4,0.401,0.561,0.855,23.7,17.4,0.615,25.9,2.5,1.4,0.117,1.1,-0.5,0.6,1.1,19175000.0,0.124,8,2142.0,455.6,312.8,156.4,20.4,285.6,14.2,19.4,45.3,1,0,0,0.4,0,0,0.0742,11481142.7,-4.9759,15.4,2.3,3.3
182,Draymond Green,35.0,GSW,2025,68.0,8.0,0.326,0.52,0.702,27.5,10.4,0.54,16.1,-0.4,2.1,0.044,-2.4,1.0,-1.4,0.3,25892857.0,0.1674,14,1006.4,666.4,659.6,108.8,74.8,319.6,-38.5,8.0,34.2,0,0,1,-0.2,0,0,0.1175,18175657.5,-4.987,8.4,5.5,5.5
183,John Collins,28.0,LAC,2025,69.0,5.8,0.406,0.62,0.766,27.1,16.3,0.643,19.5,2.7,1.8,0.117,0.0,-0.5,-0.5,0.7,26580000.0,0.1719,9,1711.2,131.1,676.2,110.4,96.6,172.5,-13.6,15.9,28.9,0,0,1,0.3,0,0,0.1212,18738059.4,-5.0733,13.6,5.3,1.0
184,Jonathan Isaac,28.0,ORL,2025,52.0,3.5,0.184,0.454,0.603,10.0,11.5,0.498,12.4,0.1,0.8,0.085,-2.9,1.3,-1.6,0.1,15000000.0,0.097,9,644.8,104.0,634.4,93.6,150.8,88.4,-16.0,6.2,15.8,0,0,1,-0.6,0,0,0.0453,7000785.2,-5.1731,2.6,2.5,0.4
