,Player,Age,Team,Season,G,3PA_p100,3P%,eFG%,FT%,MP,PER,TS%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Salary,PercentofCap,season_number,ScoringVolume,PlaymakingVolume,ReboundingVolume,StealsVolume,BlocksVolume,TurnoverVolume,ImpactMinutes,EfficientScoring,OffensiveCreation,Is_Guard,Is_Wing,Is_Big,ShootingGravity,accolades,RookieScale,Expected_Percentage,Expected_Salary,SurplusValuePct,PTS,TRB,AST
59,Nicolas Batum,37.0,LAC,2025,74.0,8.8,0.404,0.597,0.818,17.5,8.4,0.603,9.6,0.6,1.2,0.066,-1.7,0.7,-1.0,0.3,5601600.0,0.0362,18,836.2,185.0,525.4,133.2,66.6,103.6,-17.5,6.8,16.8,0,0,1,0.5,0,0,0.0532,8232311.0,1.7033,4.0,2.5,0.9
60,Trey Murphy III,25.0,NOP,2025,66.0,11.5,0.379,0.572,0.886,35.5,18.3,0.613,22.7,4.5,1.6,0.123,3.0,-0.6,2.4,2.6,25000000.0,0.1617,5,1914.0,336.6,508.2,132.0,33.0,165.0,85.2,17.8,39.5,0,1,0,0.3,0,0,0.1784,27583616.7,1.6665,21.5,5.7,3.8
61,Jarrett Allen,27.0,CLE,2025,56.0,0.3,0.1,0.639,0.709,27.1,22.1,0.669,19.9,4.2,2.2,0.202,2.2,0.4,2.6,1.8,20000000.0,0.1293,9,1523.2,179.2,845.6,95.2,84.0,134.4,70.5,18.2,33.5,0,0,1,-0.1,0,0,0.1452,22460731.9,1.5939,15.4,8.5,1.8
62,Jamal Murray,28.0,DEN,2025,75.0,10.4,0.435,0.573,0.887,35.4,21.8,0.622,27.9,7.8,1.7,0.173,5.5,-1.4,4.1,4.1,46394100.0,0.3,10,2632.5,735.0,457.5,90.0,37.5,232.5,145.1,21.8,55.6,1,0,0,0.9,4,0,0.3159,48850893.1,1.5886,25.4,4.4,7.1
63,Bub Carrington,20.0,WAS,2025,82.0,8.6,0.408,0.538,0.73,27.7,9.9,0.556,18.0,-0.3,-0.1,-0.009,-2.2,-2.5,-4.7,-1.6,4677600.0,0.0302,2,1500.6,647.8,475.6,90.2,32.8,328.0,-130.2,10.2,34.6,1,0,0,0.5,0,1,0.0459,7105392.7,1.5746,10.7,3.4,4.6
64,Mikal Bridges,29.0,NYK,2025,82.0,7.7,0.371,0.571,0.827,32.8,15.3,0.587,17.3,4.7,3.3,0.143,1.3,1.4,2.7,3.2,24900000.0,0.161,8,1787.6,459.2,467.4,164.0,90.2,123.0,88.6,12.8,33.2,0,1,0,0.2,0,0,0.175,27069968.1,1.4044,14.4,3.8,3.7
65,Josh Giddey,23.0,CHI,2025,54.0,7.7,0.364,0.52,0.763,32.1,18.0,0.562,24.4,1.6,1.7,0.09,2.3,0.4,2.7,2.0,25000000.0,0.1617,5,1344.6,723.6,653.4,81.0,37.8,286.2,86.7,14.0,51.8,1,0,0,0.1,0,0,0.1745,26979043.4,1.2756,17.0,8.3,9.1
66,Miles Bridges,27.0,CHO,2025,77.0,9.2,0.333,0.531,0.822,31.0,16.0,0.57,22.3,4.0,2.5,0.13,1.2,-0.1,1.1,1.9,25000000.0,0.1617,8,2102.1,392.7,716.1,77.0,53.9,169.4,34.1,15.6,37.3,0,0,1,-0.2,0,0,0.1741,26927281.4,1.2421,17.1,5.8,3.2
67,Aaron Wiggins,27.0,OKC,2025,65.0,9.2,0.356,0.521,0.736,21.8,11.7,0.538,19.9,-0.4,2.5,0.072,-1.7,0.7,-0.9,0.4,9887850.0,0.0639,5,1358.5,240.5,442.0,136.5,65.0,182.0,-19.6,11.2,28.4,1,0,0,0.1,0,0,0.0763,11797289.4,1.2385,9.4,3.1,1.7
68,Dyson Daniels,22.0,ATL,2025,76.0,2.2,0.188,0.532,0.615,33.2,15.5,0.542,16.0,3.1,3.6,0.126,-0.6,1.8,1.3,2.1,7707709.0,0.0498,4,1284.4,638.4,737.2,212.8,45.6,190.0,43.2,9.2,33.3,1,0,0,-0.4,0,1,0.0619,9571510.8,1.2093,11.9,6.8,5.9
