,league,season,rank,player,team,position,salary
0,epl,2025,1,Erling Haaland,MCI,F,"£27,300,000"
1,epl,2025,2,Mohamed Salah,LIV,F,"£20,800,000"
2,epl,2025,3,Carlos Casimiro,MUN,M,"£18,200,000"
3,epl,2025,,Virgil Van Dijk,LIV,D,"£18,200,000"
4,epl,2025,5,Bruno Fernandes,MUN,M,"£15,600,000"
5,epl,2025,,Marcus Rashford,MUN,F,"£15,600,000"
6,epl,2025,,Bernardo Silva,MCI,M,"£15,600,000"
7,epl,2025,8,Omar Marmoush,MCI,F,"£15,340,000"
8,epl,2025,9,Kai Havertz,ARS,F,"£14,560,000"
9,epl,2025,,Alexander Isak,LIV,F,"£14,560,000"
10,epl,2025,11,Gabriel Jesus,ARS,F,"£13,780,000"
11,epl,2025,12,Ruben Dias,MCI,D,"£13,000,000"
12,epl,2025,,Gianluigi Donnarumma,MCI,GK,"£13,000,000"
13,epl,2025,,Marc Guehi,MCI,D,"£13,000,000"
14,epl,2025,,William Saliba,ARS,D,"£13,000,000"
15,epl,2025,,John Stones,MCI,D,"£13,000,000"
16,epl,2025,17,Declan Rice,ARS,M,"£12,480,000"
17,epl,2025,,Martin Ødegaard,ARS,M,"£12,480,000"
18,epl,2025,19,Tijjani Reijnders,MCI,M,"£11,960,000"
19,epl,2025,20,Phil Foden,MCI,M,"£11,700,000"
20,epl,2025,,Jack Grealish,MCI,M,"£11,700,000"
21,epl,2025,22,Rodrigo Hernández Cascante,MCI,M,"£11,440,000"
22,epl,2025,23,Hugo Ekitiké,LIV,F,"£10,400,000"
23,epl,2025,,Wesley Fofana,CHE,D,"£10,400,000"
24,epl,2025,,Cody Gakpo,LIV,F,"£10,400,000"
25,epl,2025,,Josko Gvardiol,MCI,D,"£10,400,000"
26,epl,2025,,Viktor Gyökeres,ARS,F,"£10,400,000"
27,epl,2025,,Reece James,CHE,D,"£10,400,000"
28,epl,2025,,Jadon Sancho,MUN,F,"£10,400,000"
29,epl,2025,,Florian Wirtz,LIV,M,"£10,400,000"
30,epl,2025,31,Cristian Romero,TOT,D,"£10,140,000"
31,epl,2025,,Bukayo Saka,ARS,F,"£10,140,000"
32,epl,2025,,Xavi Simons,TOT,M,"£10,140,000"
33,epl,2025,,Matthijs de Ligt,MUN,D,"£10,140,000"
34,epl,2025,35,Harry Maguire,MUN,D,"£9,880,000"
35,epl,2025,36,Manuel Akanji,MCI,D,"£9,360,000"
36,epl,2025,,Rayan Cherki,MCI,F,"£9,360,000"
37,epl,2025,,Matheus Cunha,MUN,F,"£9,360,000"
38,epl,2025,,Eberech Eze,ARS,M,"£9,360,000"
39,epl,2025,,Enzo Fernández,CHE,M,"£9,360,000"
40,epl,2025,,Gabriel Martinelli,ARS,F,"£9,360,000"
41,epl,2025,42,Marc Cucurella,CHE,D,"£9,100,000"
42,epl,2025,43,James Maddison,TOT,M,"£8,840,000"
43,epl,2025,44,Nathan Ake,MCI,D,"£8,320,000"
44,epl,2025,,Conor Gallagher,TOT,M,"£8,320,000"
45,epl,2025,,Bruno Guimarães,NEW,M,"£8,320,000"
46,epl,2025,,Pedro Neto,CHE,F,"£8,320,000"
47,epl,2025,,Andrew Robertson,LIV,D,"£8,320,000"
48,epl,2025,,Benjamin Sesko,MUN,F,"£8,320,000"
49,epl,2025,50,Alisson Becker,LIV,GK,"£7,800,000"
50,epl,2025,,Jared Bowen,WHU,F,"£7,800,000"
51,epl,2025,,Moises Caicedo,CHE,M,"£7,800,000"
52,epl,2025,,Joelinton Cassio Apolinário de Lira,NEW,M,"£7,800,000"
53,epl,2025,,Federico Chiesa,LIV,F,"£7,800,000"
54,epl,2025,,Anthony Gordon,NEW,F,"£7,800,000"
55,epl,2025,,Ryan Gravenberch,LIV,M,"£7,800,000"
56,epl,2025,,Boubacar Kamara,AVA,M,"£7,800,000"
57,epl,2025,,Mateo Kovacic,MCI,M,"£7,800,000"
58,epl,2025,,Mohammed Kudus,TOT,M,"£7,800,000"
59,epl,2025,,Alexis Mac Allister,LIV,M,"£7,800,000"
60,epl,2025,,Noni Madueke,ARS,F,"£7,800,000"
61,epl,2025,,Gabriel Magalhães,ARS,D,"£7,800,000"
62,epl,2025,,Emiliano Martinez,AVA,GK,"£7,800,000"
63,epl,2025,,Bryan Mbeumo,MUN,F,"£7,800,000"
64,epl,2025,,Mason Mount,MUN,M,"£7,800,000"
65,epl,2025,,Randal Muani,TOT,F,"£7,800,000"
66,epl,2025,,Kalvin Phillips,MCI,M,"£7,800,000"
67,epl,2025,,Jordan Pickford,EVE,GK,"£7,800,000"
68,epl,2025,,Antoine Semenyo,MCI,F,"£7,800,000"
69,epl,2025,,Luke Shaw,MUN,D,"£7,800,000"
70,epl,2025,,Youri Tielemans,AVA,M,"£7,800,000"
71,epl,2025,,Ben White,ARS,D,"£7,800,000"
72,epl,2025,73,Tammy Abraham,AVA,F,"£7,280,000"
73,epl,2025,,Sven Botman,NEW,D,"£7,280,000"
74,epl,2025,,Donyell Malen,AVA,F,"£7,280,000"
75,epl,2025,,Amadou Onana,AVA,M,"£7,280,000"
76,epl,2025,,Dominic Solanke,TOT,F,"£7,280,000"
77,epl,2025,,Yoane Wissa,NEW,F,"£7,280,000"
78,epl,2025,79,Lucas Digne,AVA,D,"£7,020,000"
79,epl,2025,,Noussair Mazraoui,MUN,D,"£7,020,000"
80,epl,2025,,João Palhinha,TOT,M,"£7,020,000"
81,epl,2025,82,Nick Woltemade,NEW,F,"£6,890,000"
82,epl,2025,83,Bernd Leno,FUL,GK,"£6,760,000"
83,epl,2025,,Mikel Merino,ARS,M,"£6,760,000"
84,epl,2025,,Matheus Nunes,MCI,M,"£6,760,000"
85,epl,2025,,Cole Palmer,CHE,M,"£6,760,000"
