,league,season,rank,player,team,position,salary
0,epl,2020,1,Gareth Bale,TOT,F,"£31,200,000"
1,epl,2020,2,Kevin De Bruyne,MCI,M,"£20,800,000"
2,epl,2020,3,Willian da Silva,ARS,F,"£19,600,000"
3,epl,2020,4,David De Gea,MUN,GK,"£19,500,000"
4,epl,2020,5,Raheem Sterling,MCI,F,"£15,600,000"
5,epl,2020,6,N'Golo Kante,CHE,M,"£15,080,000"
6,epl,2020,,Paul Pogba,MUN,M,"£15,080,000"
7,epl,2020,8,Timo Werner,CHE,F,"£14,144,000"
8,epl,2020,9,Pierre-Emerick Aubameyang,ARS,F,"£13,000,000"
9,epl,2020,,Edinson Cavani,MUN,F,"£13,000,000"
10,epl,2020,,Anthony Martial,MUN,F,"£13,000,000"
11,epl,2020,12,Sergio Aguero,MCI,F,"£11,967,000"
12,epl,2020,13,Harry Kane,TOT,F,"£10,400,000"
13,epl,2020,,Tanguy Ndombele,TOT,M,"£10,400,000"
14,epl,2020,,Thomas Partey,ARS,M,"£10,400,000"
15,epl,2020,,Marcus Rashford,MUN,F,"£10,400,000"
16,epl,2020,,Mohamed Salah,LIV,F,"£10,400,000"
17,epl,2020,,Thiago Alcántara do Nascimento,LIV,M,"£10,400,000"
18,epl,2020,19,Ben Chilwell,CHE,D,"£9,880,000"
19,epl,2020,20,Harry Maguire,MUN,D,"£9,875,000"
20,epl,2020,21,Alexandre Lacazette,ARS,F,"£9,467,273"
21,epl,2020,22,Bruno Fernandes,MUN,M,"£9,360,000"
22,epl,2020,,Roberto Firmino,LIV,F,"£9,360,000"
23,epl,2020,,Virgil Van Dijk,LIV,D,"£9,360,000"
24,epl,2020,25,Ruben Dias,MCI,D,"£8,320,000"
25,epl,2020,,Juan Mata,MUN,M,"£8,320,000"
26,epl,2020,27,Kepa Arrizabalaga,CHE,GK,"£7,800,000"
27,epl,2020,,César Azpilicueta,CHE,D,"£7,800,000"
28,epl,2020,,Kai Havertz,CHE,M,"£7,800,000"
29,epl,2020,,Mateo Kovacic,CHE,M,"£7,800,000"
30,epl,2020,,Fernandinho Luis Roza,MCI,M,"£7,800,000"
31,epl,2020,,Christian Pulisic,CHE,F,"£7,800,000"
32,epl,2020,,Luke Shaw,MUN,D,"£7,800,000"
33,epl,2020,,Bernardo Silva,MCI,M,"£7,800,000"
