,league,season,rank,player,team,position,salary
0,nba,2015,1,Kobe Bryant,LAL,SF,"$25,000,000"
1,nba,2015,2,LeBron James,CLE,SF,"$22,970,500"
2,nba,2015,3,Carmelo Anthony,NYK,SF,"$22,875,000"
3,nba,2015,4,Dwight Howard,HOU,C,"$22,359,364"
4,nba,2015,5,Chris Bosh,MIA,PF,"$22,192,730"
5,nba,2015,6,Chris Paul,LAC,PG,"$21,468,696"
6,nba,2015,7,Kevin Durant,OKC,SF,"$20,158,622"
7,nba,2015,8,Derrick Rose,CHI,PG,"$20,093,064"
8,nba,2015,9,Dwyane Wade,MIA,SG,"$20,000,000"
9,nba,2015,10,LaMarcus Aldridge,SAS,PF,"$19,689,000"
10,nba,2015,,Marc Gasol,MEM,C,"$19,689,000"
11,nba,2015,,DeAndre Jordan,LAC,C,"$19,689,000"
12,nba,2015,,Brook Lopez,BKN,C,"$19,689,000"
13,nba,2015,,Kevin Love,CLE,C,"$19,689,000"
14,nba,2015,15,Blake Griffin,LAC,PF,"$18,907,725"
15,nba,2015,16,Paul Millsap,ATL,PF,"$18,671,659"
16,nba,2015,17,Paul George,IND,SF,"$17,120,106"
17,nba,2015,18,Russell Westbrook,OKC,PG,"$16,744,218"
18,nba,2015,19,Jimmy Butler,CHI,SG,"$16,407,500"
19,nba,2015,,Enes Freedom,OKC,C,"$16,407,500"
20,nba,2015,,Kyrie Irving,CLE,PG,"$16,407,500"
21,nba,2015,,Kawhi Leonard,SAS,SF,"$16,407,500"
22,nba,2015,,Wesley Matthews,DAL,SG,"$16,407,500"
23,nba,2015,,Greg Monroe,MIL,C,"$16,407,500"
24,nba,2015,25,Tobias Harris,DET,PF,"$16,000,000"
25,nba,2015,26,DeMarcus Cousins,SAC,C,"$15,851,950"
26,nba,2015,,John Wall,WAS,PG,"$15,851,950"
27,nba,2015,28,James Harden,HOU,SG,"$15,756,438"
28,nba,2015,29,Roy Hibbert,LAL,C,"$15,592,216"
29,nba,2015,30,Eric Gordon,NOP,SG,"$15,514,031"
30,nba,2015,31,Klay Thompson,GSW,SG,"$15,501,000"
31,nba,2015,32,Gordon Hayward,UTA,SF,"$15,409,570"
32,nba,2015,33,Chandler Parsons,DAL,SF,"$15,361,500"
33,nba,2015,34,Goran Dragic,MIA,PG,"$14,783,000"
34,nba,2015,35,Khris Middleton,MIL,SF,"$14,700,000"
35,nba,2015,36,Draymond Green,GSW,PF,"$14,260,870"
36,nba,2015,,Tristan Thompson,CLE,C,"$14,260,870"
37,nba,2015,38,Danilo Gallinari,DEN,SF,"$14,000,000"
38,nba,2015,39,Reggie Jackson,DET,PG,"$13,913,043"
39,nba,2015,40,Andrew Bogut,GSW,C,"$13,800,000"
40,nba,2015,41,DeMarre Carroll,TOR,SF,"$13,600,000"
41,nba,2015,42,Eric Bledsoe,PHX,PG,"$13,500,000"
42,nba,2015,,Al Jefferson,CHA,C,"$13,500,000"
43,nba,2015,,Brandon Knight,PHX,PG,"$13,500,000"
44,nba,2015,45,Tony Parker,SAS,PG,"$13,437,500"
45,nba,2015,46,Joakim Noah,CHI,C,"$13,400,000"
46,nba,2015,47,Nicolas Batum,CHA,SF,"$13,125,307"
47,nba,2015,48,Tyson Chandler,PHX,C,"$13,000,000"
48,nba,2015,,Nene Hilario,WAS,C,"$13,000,000"
49,nba,2015,50,Ricky Rubio,MIN,PG,"$12,700,000"
50,nba,2015,51,Robin Lopez,CHI,C,"$12,650,000"
51,nba,2015,52,Rudy Gay,SAC,SF,"$12,403,101"
52,nba,2015,53,Serge Ibaka,OKC,PF,"$12,250,000"
53,nba,2015,54,Nikola Pekovic,MIN,C,"$12,100,000"
54,nba,2015,55,Derrick Favors,UTA,PF,"$12,000,000"
55,nba,2015,,Al Horford,ATL,C,"$12,000,000"
56,nba,2015,,Amir Johnson,BOS,PF,"$12,000,000"
57,nba,2015,,Kyle Lowry,TOR,PG,"$12,000,000"
58,nba,2015,,Kemba Walker,CHA,PG,"$12,000,000"
59,nba,2015,60,Andre Iguodala,GSW,SF,"$11,710,456"
60,nba,2015,61,Stephen Curry,GSW,PG,"$11,370,786"
61,nba,2015,62,Nikola Vucevic,ORL,C,"$11,250,000"
62,nba,2015,63,Kenneth Faried,DEN,PF,"$11,235,955"
63,nba,2015,,Thaddeus Young,BKN,PF,"$11,235,955"
64,nba,2015,65,Marcin Gortat,WAS,C,"$11,217,391"
65,nba,2015,66,Tyreke Evans,NOP,SG,"$10,734,586"
66,nba,2015,67,Jrue Holiday,NOP,PG,"$10,595,507"
67,nba,2015,68,Wilson Chandler,DEN,SF,"$10,449,438"
68,nba,2015,69,Monta Ellis,IND,SG,"$10,300,000"
69,nba,2015,70,Luol Deng,MIA,SF,"$10,151,612"
70,nba,2015,71,DeMar DeRozan,TOR,SG,"$10,150,000"
71,nba,2015,72,Danny Green,SAS,SG,"$10,000,000"
72,nba,2015,73,Zach Randolph,MEM,PF,"$9,638,555"
73,nba,2015,74,Mike Conley,MEM,PG,"$9,588,426"
74,nba,2015,75,Rajon Rondo,SAC,PG,"$9,500,000"
75,nba,2015,76,Alec Burks,UTA,SG,"$9,463,484"
76,nba,2015,77,Jeff Green,LAC,SF,"$9,300,000"
77,nba,2015,78,Omer Asik,NOP,C,"$9,213,483"
78,nba,2015,79,Lance Stephenson,MEM,SG,"$9,000,000"
79,nba,2015,80,Iman Shumpert,CLE,SG,"$8,988,764"
80,nba,2015,81,Tiago Splitter,ATL,PF,"$8,800,000"
81,nba,2015,82,Ryan Anderson,NOP,PF,"$8,500,000"
82,nba,2015,,Kevin Garnett,MIN,PF,"$8,500,000"
83,nba,2015,,Taj Gibson,CHI,PF,"$8,500,000"
84,nba,2015,85,Brandon Jennings,ORL,PG,"$8,344,497"
85,nba,2015,86,Dirk Nowitzki,DAL,PF,"$8,333,334"
86,nba,2015,87,Corey Brewer,HOU,SG,"$8,229,375"
87,nba,2015,88,Trevor Ariza,HOU,SF,"$8,193,030"
88,nba,2015,89,Channing Frye,CLE,PF,"$8,193,029"
89,nba,2015,90,Al-Farouq Aminu,POR,SF,"$8,042,895"
90,nba,2015,91,Arron Afflalo,NYK,SG,"$8,000,000"
91,nba,2015,,George Hill,IND,PG,"$8,000,000"
92,nba,2015,,O.J. Mayo,MIL,SG,"$8,000,000"
93,nba,2015,,Markieff Morris,WAS,PF,"$8,000,000"
94,nba,2015,,Jeff Teague,ATL,PG,"$8,000,000"
95,nba,2015,96,Ersan Ilyasova,ORL,PF,"$7,900,000"
96,nba,2015,97,Avery Bradley,BOS,SG,"$7,730,337"
97,nba,2015,98,Kosta Koufos,SAC,C,"$7,700,000"
98,nba,2015,99,Boris Diaw,SAS,C,"$7,500,000"
99,nba,2015,100,Pau Gasol,CHI,C,"$7,448,760"
100,nba,2015,101,Jose Calderon,NYK,PG,"$7,402,812"
101,nba,2015,102,J.J. Redick,LAC,SG,"$7,085,000"
102,nba,2015,103,Anthony Davis,NOP,C,"$7,070,730"
103,nba,2015,104,Cory Joseph,TOR,PG,"$7,000,000"
104,nba,2015,,Rodney Stuckey,IND,PG,"$7,000,000"
105,nba,2015,,Louis Williams,LAL,SG,"$7,000,000"
106,nba,2015,,Marvin Williams,CHA,PF,"$7,000,000"
107,nba,2015,108,Ed Davis,POR,PF,"$6,980,802"
108,nba,2015,109,Isaiah Thomas,BOS,PG,"$6,912,869"
109,nba,2015,110,Jae Crowder,BOS,SF,"$6,796,117"
