,league,season,rank,player,team,position,salary
0,nba,2013,1,Kobe Bryant,LAL,SF,"$30,453,805"
1,nba,2013,2,Dirk Nowitzki,DAL,PF,"$22,721,381"
2,nba,2013,3,Amar'e Stoudemire,NYK,PF,"$21,679,893"
3,nba,2013,4,Joe Johnson,BKN,SG,"$21,466,718"
4,nba,2013,5,Carmelo Anthony,NYK,SF,"$21,388,953"
5,nba,2013,6,Dwight Howard,HOU,C,"$20,513,178"
6,nba,2013,7,Pau Gasol,LAL,C,"$19,285,850"
7,nba,2013,8,Chris Bosh,MIA,PF,"$19,067,500"
8,nba,2013,,LeBron James,MIA,PF,"$19,067,500"
9,nba,2013,10,Dwyane Wade,MIA,SG,"$18,673,000"
10,nba,2013,11,Chris Paul,LAC,PG,"$18,668,431"
11,nba,2013,12,Deron Williams,BKN,PG,"$18,466,130"
12,nba,2013,13,Zach Randolph,MEM,PF,"$18,238,333"
13,nba,2013,14,Rudy Gay,SAC,SF,"$17,888,932"
14,nba,2013,15,Kevin Durant,OKC,SF,"$17,832,627"
15,nba,2013,16,Derrick Rose,CHI,PG,"$17,632,688"
16,nba,2013,17,Blake Griffin,LAC,PF,"$16,441,500"
17,nba,2013,18,Paul Pierce,BKN,SF,"$15,333,334"
18,nba,2013,19,Carlos Boozer,CHI,PF,"$15,300,000"
19,nba,2013,20,LaMarcus Aldridge,POR,PF,"$14,878,000"
20,nba,2013,21,Marc Gasol,MEM,C,"$14,860,523"
21,nba,2013,22,Brook Lopez,BKN,C,"$14,693,906"
22,nba,2013,,Kevin Love,MIN,C,"$14,693,906"
23,nba,2013,,Russell Westbrook,OKC,PG,"$14,693,906"
24,nba,2013,25,Emeka Okafor,PHX,C,"$14,487,500"
25,nba,2013,26,Tyson Chandler,NYK,C,"$14,350,537"
26,nba,2013,27,Eric Gordon,NOP,SG,"$14,283,844"
27,nba,2013,,Roy Hibbert,IND,C,"$14,283,844"
28,nba,2013,29,Luol Deng,CLE,SF,"$14,275,000"
29,nba,2013,30,Andrew Bogut,GSW,C,"$14,000,000"
30,nba,2013,31,David Lee,GSW,PF,"$13,878,000"
31,nba,2013,32,James Harden,HOU,SG,"$13,701,250"
32,nba,2013,33,Al Jefferson,CHA,C,"$13,500,000"
33,nba,2013,,Josh Smith,DET,SF,"$13,500,000"
34,nba,2013,35,Nene Hilario,WAS,C,"$13,000,000"
35,nba,2013,36,Andre Iguodala,GSW,SF,"$12,868,632"
36,nba,2013,37,Tony Parker,SAS,PG,"$12,500,000"
