,league,season,rank,player,team,position,salary
415,nba,2012,416,Mickael Gelabale,MIN,SF,"$346,781"
416,nba,2012,,Chris Johnson,MIN,PF,"$346,781"
417,nba,2012,418,Chris Andersen,MIA,PF,"$341,756"
418,nba,2012,419,Patrick Beverley,HOU,PG,"$281,376"
419,nba,2012,420,Kenyon Martin,NYK,PF,"$270,436"
420,nba,2012,421,Derek Fisher,OKC,PG,"$261,343"
421,nba,2012,422,Terrence Williams,BOS,SG,"$249,916"
422,nba,2012,423,Aron Baynes,SAS,C,"$239,588"
423,nba,2012,424,Jarvis Varnado,MIA,PF,"$217,301"
424,nba,2012,425,Shavlik Randolph,BOS,PF,"$163,500"
425,nba,2012,426,Chris Quinn,CLE,PG,"$145,749"
426,nba,2012,,D.J. White,BOS,PF,"$145,749"
427,nba,2012,428,Tim Ohlbrecht,HOU,C,"$144,867"
428,nba,2012,429,Juwan Howard,MIA,PF,"$135,697"
429,nba,2012,430,Keyon Dooling,MEM,SG,"$119,310"
430,nba,2012,431,Shelvin Mack,ATL,PG,"$103,121"
431,nba,2012,432,Terrel Harris,NOH,SG,"$89,670"
432,nba,2012,433,DaJuan Summers,CHA,PF,"$65,336"
433,nba,2012,434,Maalik Wayns,LAC,PG,"$58,504"
434,nba,2012,435,Jerel McNeal,UTA,PG,"$53,802"
435,nba,2012,436,Jannero Pargo,CHA,PG,"$50,258"
436,nba,2012,437,Justin Holiday,PHI,SG,"$47,360"
437,nba,2012,438,Terrel Harris,NOH,SG,"$44,835"
438,nba,2012,,Malcolm Thomas,CHI,PF,"$44,835"
439,nba,2012,440,Scott Machado,GSW,PG,"$27,859"
440,nba,2012,441,Andrew Goudelock,LAL,PG,"$17,934"
441,nba,2012,442,Kris Joseph,BKN,SF,"$16,715"
442,nba,2012,443,Josh Akognon,DAL,PG,"$13,930"
443,nba,2012,444,Tracy McGrady,SAS,SG,"$10,052"
444,nba,2012,,Quentin Richardson,NYK,PF,"$10,052"
445,nba,2012,446,Earl Barron,NYK,PF,"$6,743"
446,nba,2012,447,Dwayne Jones,GSW,C,"$5,839"
447,nba,2012,448,Donte Greene,MEM,SF,"$5,026"
448,nba,2012,449,Scott Machado,GSW,PG,"$2,786"
449,nba,2012,,Willie Reed,MEM,C,"$2,786"
450,nba,2012,1,F,,,50
451,nba,2012,2,G,,,27
452,nba,2012,3,C,,,23
453,nba,2012,1,BKN,,,5
454,nba,2012,2,LAC,,,5
455,nba,2012,3,LAL,,,5
456,nba,2012,4,ORL,,,5
457,nba,2012,5,BOS,,,4
458,nba,2012,6,CHI,,,4
459,nba,2012,7,DET,,,4
460,nba,2012,8,GSW,,,4
461,nba,2012,9,IND,,,4
462,nba,2012,10,MEM,,,4
463,nba,2012,11,MIL,,,4
464,nba,2012,12,OKC,,,4
465,nba,2012,13,SAS,,,4
466,nba,2012,14,UTA,,,4
467,nba,2012,15,ATL,,,3
468,nba,2012,16,CHA,,,3
469,nba,2012,17,DAL,,,3
470,nba,2012,18,DEN,,,3
471,nba,2012,19,MIA,,,3
472,nba,2012,20,NYK,,,3
473,nba,2012,21,PHI,,,3
474,nba,2012,22,POR,,,3
475,nba,2012,23,WAS,,,3
476,nba,2012,24,HOU,,,2
477,nba,2012,25,MIN,,,2
478,nba,2012,26,NOH,,,2
479,nba,2012,27,PHX,,,2
480,nba,2012,28,SAC,,,2
481,nba,2012,29,TOR,,,2
482,nba,2012,30,CLE,,,1
483,nba,2012,1,F,,,50
484,nba,2012,2,G,,,27
485,nba,2012,3,C,,,23
486,nba,2012,1,BKN,,,5
487,nba,2012,2,LAC,,,5
488,nba,2012,3,LAL,,,5
489,nba,2012,4,ORL,,,5
490,nba,2012,5,BOS,,,4
491,nba,2012,6,CHI,,,4
492,nba,2012,7,DET,,,4
493,nba,2012,8,GSW,,,4
494,nba,2012,9,IND,,,4
495,nba,2012,10,MEM,,,4
496,nba,2012,11,MIL,,,4
497,nba,2012,12,OKC,,,4
498,nba,2012,13,SAS,,,4
499,nba,2012,14,UTA,,,4
500,nba,2012,15,ATL,,,3
501,nba,2012,16,CHA,,,3
502,nba,2012,17,DAL,,,3
503,nba,2012,18,DEN,,,3
504,nba,2012,19,MIA,,,3
505,nba,2012,20,NYK,,,3
506,nba,2012,21,PHI,,,3
507,nba,2012,22,POR,,,3
508,nba,2012,23,WAS,,,3
509,nba,2012,24,HOU,,,2
510,nba,2012,25,MIN,,,2
511,nba,2012,26,NOH,,,2
512,nba,2012,27,PHX,,,2
513,nba,2012,28,SAC,,,2
514,nba,2012,29,TOR,,,2
515,nba,2012,30,CLE,,,1
