,league,season,rank,player,team,position,salary
0,nba,2011,1,Kobe Bryant,LAL,SF,"$25,244,493"
1,nba,2011,2,Kevin Garnett,BOS,PF,"$21,247,044"
2,nba,2011,3,Tim Duncan,SAS,PF,"$21,164,619"
3,nba,2011,4,Rashard Lewis,WAS,PF,"$21,136,631"
4,nba,2011,5,Dirk Nowitzki,DAL,PF,"$19,092,873"
5,nba,2011,6,Pau Gasol,LAL,PF,"$18,714,150"
6,nba,2011,7,Carmelo Anthony,NYK,SF,"$18,518,574"
7,nba,2011,8,Amar'e Stoudemire,NYK,PF,"$18,217,705"
8,nba,2011,9,Dwight Howard,ORL,C,"$18,091,770"
9,nba,2011,10,Joe Johnson,ATL,SG,"$18,038,573"
10,nba,2011,11,Elton Brand,PHI,PF,"$17,059,726"
11,nba,2011,12,Chris Paul,LAC,PG,"$16,359,805"
12,nba,2011,,Deron Williams,NJN,PG,"$16,359,805"
13,nba,2011,14,Chris Bosh,MIA,PF,"$16,022,500"
14,nba,2011,,LeBron James,MIA,SF,"$16,022,500"
15,nba,2011,16,Dwyane Wade,MIA,SG,"$15,512,000"
16,nba,2011,17,Kevin Durant,OKC,SF,"$15,506,632"
17,nba,2011,18,Paul Pierce,BOS,SF,"$15,333,334"
18,nba,2011,19,Zach Randolph,MEM,PF,"$15,200,000"
19,nba,2011,20,Antawn Jamison,CLE,PF,"$15,076,715"
20,nba,2011,21,Andrew Bynum,LAL,C,"$14,900,000"
21,nba,2011,22,Al Jefferson,UTA,C,"$14,000,000"
22,nba,2011,23,Andre Iguodala,PHI,SF,"$13,531,750"
23,nba,2011,24,Carlos Boozer,CHI,PF,"$13,500,000"
24,nba,2011,25,Tyson Chandler,NYK,C,"$13,107,838"
25,nba,2011,26,Nene Hilario,WAS,C,"$13,000,000"
26,nba,2011,27,Manu Ginobili,SAS,SG,"$12,981,038"
27,nba,2011,28,Marc Gasol,MEM,C,"$12,922,194"
28,nba,2011,29,Emeka Okafor,NOH,C,"$12,642,500"
29,nba,2011,30,Tony Parker,SAS,PG,"$12,500,000"
30,nba,2011,31,Josh Smith,ATL,SF,"$12,400,000"
31,nba,2011,32,LaMarcus Aldridge,POR,PF,"$12,372,000"
32,nba,2011,33,Luol Deng,CHI,SF,"$12,325,000"
33,nba,2011,34,Rudy Gay,MEM,SF,"$12,099,043"
34,nba,2011,35,Danny Granger,IND,SF,"$12,015,904"
35,nba,2011,36,Andrew Bogut,MIL,C,"$12,000,000"
36,nba,2011,,Al Horford,ATL,C,"$12,000,000"
37,nba,2011,,Joakim Noah,CHI,C,"$12,000,000"
38,nba,2011,39,Steve Nash,PHX,PG,"$11,689,062"
39,nba,2011,40,David Lee,GSW,PF,"$11,610,000"
40,nba,2011,41,Ben Gordon,DET,SG,"$11,600,000"
41,nba,2011,42,Kevin Martin,HOU,SG,"$11,519,840"
42,nba,2011,43,Jason Terry,DAL,SG,"$11,437,500"
43,nba,2011,44,Chris Kaman,NOH,C,"$11,292,439"
44,nba,2011,45,Marcus Camby,POR,C,"$11,071,500"
45,nba,2011,46,Hedo Turkoglu,ORL,SF,"$11,015,850"
46,nba,2011,47,Monta Ellis,GSW,SG,"$11,000,000"
47,nba,2011,48,Corey Maggette,CHA,SF,"$10,262,069"
48,nba,2011,49,Jason Kidd,DAL,PG,"$10,121,000"
49,nba,2011,50,DeAndre Jordan,LAC,C,"$10,079,404"
50,nba,2011,51,Rajon Rondo,BOS,PG,"$10,045,455"
51,nba,2011,52,Ray Allen,BOS,SG,"$10,000,000"
52,nba,2011,,David West,IND,PF,"$10,000,000"
53,nba,2011,54,Jose Calderon,TOR,PG,"$9,780,992"
54,nba,2011,55,Gerald Wallace,CHA,SF,"$9,500,000"
55,nba,2011,56,Devin Harris,UTA,PG,"$9,319,000"
56,nba,2011,57,Richard Jefferson,SAS,SF,"$9,282,000"
57,nba,2011,58,Andrea Bargnani,TOR,C,"$9,250,000"
58,nba,2011,59,Andris Biedrins,GSW,C,"$9,000,000"
59,nba,2011,,Carl Landry,NOH,PF,"$9,000,000"
60,nba,2011,61,Lamar Odom,DAL,PF,"$8,900,000"
61,nba,2011,62,Jameer Nelson,ORL,PG,"$8,600,000"
62,nba,2011,63,Luis Scola,HOU,PF,"$8,591,793"
63,nba,2011,64,John Salmons,MIL,SF,"$8,500,000"
64,nba,2011,,Rodney Stuckey,DET,PG,"$8,500,000"
65,nba,2011,,Mo Williams,LAC,PG,"$8,500,000"
66,nba,2011,67,Paul Millsap,UTA,PF,"$8,103,435"
67,nba,2011,68,Shawn Marion,DAL,SF,"$8,022,449"
68,nba,2011,69,Caron Butler,LAC,SF,"$8,000,000"
69,nba,2011,,Kirk Hinrich,ATL,SG,"$8,000,000"
70,nba,2011,,Kris Humphries,NJN,PF,"$8,000,000"
71,nba,2011,72,Andre Miller,DEN,PG,"$7,807,728"
72,nba,2011,73,Arron Afflalo,DEN,SG,"$7,750,000"
73,nba,2011,74,Anderson Varejao,CLE,PF,"$7,700,000"
74,nba,2011,75,Brendan Haywood,DAL,C,"$7,624,500"
75,nba,2011,76,Leandro Barbosa,TOR,SG,"$7,600,000"
76,nba,2011,77,Raymond Felton,POR,PG,"$7,560,000"
77,nba,2011,78,Charlie Villanueva,DET,PF,"$7,540,000"
78,nba,2011,79,Marvin Williams,ATL,PF,"$7,500,000"
79,nba,2011,80,Thaddeus Young,PHI,PF,"$7,478,261"
80,nba,2011,81,Stephen Jackson,GSW,SF,"$7,450,354"
81,nba,2011,82,Tyrus Thomas,CHA,PF,"$7,305,765"
82,nba,2011,83,Kendrick Perkins,OKC,C,"$7,123,626"
83,nba,2011,84,Samuel Dalembert,HOU,C,"$7,000,000"
84,nba,2011,,Marcus Thornton,SAC,SG,"$7,000,000"
85,nba,2011,86,DeSagana Diop,CHA,C,"$6,925,400"
86,nba,2011,,Beno Udrih,MIL,PG,"$6,925,400"
87,nba,2011,88,Trevor Ariza,WAS,SF,"$6,790,640"
88,nba,2011,,Marcin Gortat,PHX,C,"$6,790,640"
89,nba,2011,,Metta World Peace,LAL,SF,"$6,790,640"
90,nba,2011,91,Kwame Brown,MIL,C,"$6,750,000"
91,nba,2011,,J.J. Redick,ORL,SG,"$6,750,000"
