,league,season,rank,player,team,position,salary
0,nba,2014,1,Kobe Bryant,LAL,SF,"$23,500,000"
1,nba,2014,2,Joe Johnson,BKN,SG,"$23,180,790"
2,nba,2014,3,Carmelo Anthony,NYK,SF,"$22,458,401"
3,nba,2014,4,Dwight Howard,HOU,C,"$21,436,271"
4,nba,2014,5,Chris Bosh,MIA,PF,"$20,644,400"
5,nba,2014,,LeBron James,CLE,SF,"$20,644,400"
6,nba,2014,7,Chris Paul,LAC,PG,"$20,068,563"
7,nba,2014,8,Deron Williams,BKN,PG,"$19,754,465"
8,nba,2014,9,Rudy Gay,SAC,SF,"$19,317,326"
9,nba,2014,10,Kevin Durant,OKC,SF,"$18,995,624"
10,nba,2014,11,Derrick Rose,CHI,PG,"$18,862,876"
11,nba,2014,12,Blake Griffin,LAC,PF,"$17,674,613"
12,nba,2014,13,Zach Randolph,MEM,PF,"$16,500,000"
13,nba,2014,14,LaMarcus Aldridge,POR,PF,"$16,256,000"
14,nba,2014,15,Paul George,IND,SF,"$15,925,680"
15,nba,2014,16,Marc Gasol,MEM,C,"$15,829,688"
16,nba,2014,17,Brook Lopez,BKN,C,"$15,719,063"
17,nba,2014,,Kevin Love,CLE,C,"$15,719,063"
18,nba,2014,19,Russell Westbrook,OKC,PG,"$15,719,062"
19,nba,2014,20,David Lee,GSW,PF,"$15,012,000"
20,nba,2014,21,Dwyane Wade,MIA,SG,"$15,000,000"
21,nba,2014,22,Eric Gordon,NOP,SG,"$14,898,938"
22,nba,2014,,Roy Hibbert,IND,C,"$14,898,938"
23,nba,2014,24,Tyson Chandler,DAL,C,"$14,846,887"
24,nba,2014,25,DeMarcus Cousins,SAC,C,"$14,746,000"
25,nba,2014,,Gordon Hayward,UTA,SF,"$14,746,000"
26,nba,2014,,John Wall,WAS,PG,"$14,746,000"
27,nba,2014,28,James Harden,HOU,SG,"$14,728,844"
28,nba,2014,29,Chandler Parsons,DAL,SF,"$14,700,000"
29,nba,2014,30,Al Jefferson,CHA,C,"$13,500,000"
30,nba,2014,31,Eric Bledsoe,PHX,PG,"$13,000,000"
