,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,Unnamed: 30,Offensive Rating,Defensive Rating,Season
193,194,Delonte West,PG,28,DAL,4,3,88,6.6,15.6,.423,1.8,3.6,.500,4.8,12.0,.400,3.0,3.0,1.000,1.2,3.0,4.2,4.8,1.8,0.0,1.8,3.0,18.1,,112,113,2011-2012
194,195,Russell Westbrook,PG,23,OKC,20,20,767,12.2,28.1,.435,1.2,4.5,.277,11.0,23.6,.465,6.1,7.7,.802,1.5,6.0,7.5,8.1,2.1,0.6,3.1,3.4,31.9,,108,109,2011-2012
195,196,Lou Williams,PG,25,PHI,13,0,358,7.6,21.5,.352,1.2,7.3,.167,6.4,14.2,.447,6.2,7.9,.788,0.5,3.6,4.1,5.9,2.0,0.0,2.4,2.6,22.6,,95,101,2011-2012
196,197,Marvin Williams,SF,25,ATL,6,3,145,6.0,16.9,.356,3.0,6.0,.500,3.0,10.9,.276,2.6,3.4,.778,1.9,10.5,12.4,1.9,1.1,0.8,1.1,3.4,17.7,,101,96,2011-2012
197,198,Mo Williams,SG,29,LAC,11,0,229,9.7,22.2,.436,2.8,7.8,.364,6.8,14.4,.475,2.8,3.1,.923,0.2,1.9,2.1,3.5,1.4,1.2,2.8,3.8,25.0,,101,111,2011-2012
198,199,Sean Williams,C,25,BOS,2,0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.1,9.1,0.0,0.0,0.0,9.1,9.1,0.0,,0,103,2011-2012
199,200,Metta World Peace,SF,32,LAL,6,6,236,5.0,13.7,.367,3.2,8.2,.389,1.8,5.5,.333,2.7,3.6,.750,0.7,4.1,4.8,3.2,3.0,0.9,1.1,4.1,16.0,,113,110,2011-2012
200,201,Brandan Wright,C,24,DAL,4,0,27,3.9,9.8,.400,0.0,0.0,0,3.9,9.8,.400,2.0,3.9,.500,3.9,5.9,9.8,0.0,2.0,2.0,5.9,7.8,9.8,,67,109,2011-2012
201,202,Nick Young,SG,26,LAC,11,0,200,7.8,18.1,.433,4.6,8.9,.515,3.2,9.2,.353,4.3,4.9,.889,0.3,3.0,3.2,0.8,0.8,1.1,1.9,5.4,24.6,,114,112,2011-2012
202,203,Sam Young,SF,26,PHI,2,0,4,0.0,27.1,.000,0.0,13.6,.000,0.0,13.6,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,108,2011-2012
203,204,Thaddeus Young,PF,23,PHI,13,0,277,7.6,17.8,.429,0.0,0.0,0,7.6,17.8,.429,4.3,6.1,.710,4.9,8.4,13.3,2.9,1.4,1.4,2.9,4.9,19.6,,98,98,2011-2012
204,1,Ray Allen,SG,37,MIA,23,0,573,7.1,16.5,.430,3.7,9.2,.406,3.4,7.3,.461,4.5,5.2,.870,1.2,4.9,6.1,2.8,1.2,0.3,2.6,4.0,22.4,,114,107,2012-2013
205,2,Tony Allen,SG,31,MEM,15,15,422,7.0,16.1,.432,0.3,1.0,.250,6.7,15.1,.444,5.7,7.5,.759,4.8,7.0,11.7,3.5,3.9,0.6,2.4,6.2,19.8,,109,100,2012-2013
206,3,Chris Andersen,C,34,MIA,20,0,303,8.3,10.3,.807,0.0,0.0,0,8.3,10.3,.807,6.5,8.9,.735,5.8,8.0,13.8,0.5,1.6,4.0,2.0,9.6,23.2,,150,99,2012-2013
207,4,James Anderson,SG,23,HOU,2,0,18,2.8,14.0,.200,0.0,8.4,.000,2.8,5.6,.500,0.0,0.0,0,2.8,8.4,11.2,0.0,0.0,0.0,0.0,5.6,5.6,,58,115,2012-2013
208,5,Carmelo Anthony,PF,28,NYK,12,12,481,14.5,35.7,.406,2.0,6.6,.298,12.6,29.1,.431,8.9,10.0,.885,1.3,7.8,9.1,2.2,1.5,0.2,3.6,5.3,39.9,,100,100,2012-2013
209,6,Joel Anthony,C,30,MIA,14,0,71,2.3,7.7,.300,0.0,0.0,0,2.3,7.7,.300,0.0,0.0,0,7.7,8.5,16.3,0.0,1.5,3.1,2.3,10.1,4.6,,87,100,2012-2013
210,7,Darrell Arthur,PF,24,MEM,15,0,175,7.8,16.5,.472,0.0,0.6,.000,7.8,15.8,.490,2.5,2.8,.889,4.3,7.5,11.8,1.9,0.6,1.2,2.2,11.2,18.0,,105,106,2012-2013
211,8,Ömer Aşık,C,26,HOU,6,6,208,5.3,9.5,.564,0.0,0.0,0,5.3,9.5,.564,7.3,11.4,.638,5.1,11.2,16.3,0.7,0.7,2.4,2.9,5.3,18.0,,117,109,2012-2013
212,9,D.J. Augustin,PG,25,IND,19,1,316,4.7,12.4,.380,3.3,8.3,.396,1.4,4.0,.348,4.3,5.4,.806,0.3,2.3,2.6,2.3,1.2,0.0,1.7,4.5,17.0,,118,109,2012-2013
213,10,Gustavo Ayón,C,27,MIL,3,0,7,15.1,30.2,.500,0.0,0.0,0,15.1,30.2,.500,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,,95,120,2012-2013
214,11,Jeff Ayres,PF,25,IND,9,0,71,6.2,18.6,.333,0.0,0.8,.000,6.2,17.8,.348,0.0,0.0,0,3.1,10.8,13.9,0.8,0.0,1.5,2.3,10.8,12.4,,75,104,2012-2013
215,12,Harrison Barnes,SF,20,GSW,12,12,461,8.0,17.9,.444,2.1,5.8,.365,5.9,12.2,.482,3.3,3.9,.857,2.0,6.5,8.5,1.7,0.8,0.6,1.8,3.7,21.4,,111,108,2012-2013
216,13,Matt Barnes,SF,32,LAC,6,0,162,8.1,14.8,.545,2.4,5.7,.412,5.7,9.1,.630,5.4,6.4,.842,2.4,7.7,10.1,1.0,1.3,0.7,1.7,7.7,23.9,,131,113,2012-2013
217,14,Brandon Bass,PF,27,BOS,6,5,204,3.8,7.8,.483,0.0,0.0,0,3.8,7.8,.483,3.2,4.1,.800,2.2,8.6,10.8,1.9,0.5,0.3,1.4,4.6,10.8,,111,101,2012-2013
218,15,Shane Battier,SF,34,MIA,22,0,392,3.8,13.0,.290,3.6,12.3,.295,0.1,0.7,.200,3.2,3.9,.821,1.3,4.1,5.3,1.7,0.7,0.8,0.7,6.9,14.4,,108,108,2012-2013
